metric,value,threshold,status
torso_pos_err_peak_mm,415.929308,10.000000,FAIL
torso_ori_err_peak_deg,179.984053,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,82.831211,15.000000,FAIL
hw_saturation_ratio_peak,1.329975,1.000000,FAIL
hw_saturation_ratio_rms,0.771116,0.700000,FAIL
platform_rotation_total_deg,7.858955,5.000000,FAIL
platform_omega_peak_deg_s,0.741728,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.746224,0.950000,FAIL
nmpc_infeasibility_rate,0.138973,0.020000,FAIL
