metric,value,threshold,status
torso_pos_err_peak_mm,36.533496,10.000000,FAIL
torso_ori_err_peak_deg,8.827723,5.000000,FAIL
ee_pos_err_at_dock_mm,3.164540,5.000000,PASS
ee_ori_err_at_dock_deg,0.079399,5.000000,PASS
com_tracking_err_rms_mm,256.520321,15.000000,FAIL
hw_saturation_ratio_peak,1.480109,1.000000,FAIL
hw_saturation_ratio_rms,0.780201,0.700000,FAIL
platform_rotation_total_deg,5.177188,5.000000,FAIL
platform_omega_peak_deg_s,0.491272,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.996139,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,1.048372,5.000000,PASS
torso_ori_peak_deg_DS,8.827723,5.000000,FAIL
torso_ori_peak_deg_global,8.827723,5.000000,FAIL
torso_pos_peak_mm_SS,36.533496,10.000000,FAIL
torso_pos_peak_mm_DS,22.890389,10.000000,FAIL
torso_pos_peak_mm_global,36.533496,10.000000,FAIL
ee_pos_peak_mm_SS,32.433120,5.000000,FAIL
ee_pos_peak_mm_DS,3.164540,5.000000,PASS
ee_pos_peak_mm_global,32.433120,5.000000,FAIL
ee_ori_peak_deg_SS,9.373464,5.000000,FAIL
ee_ori_peak_deg_DS,0.110411,5.000000,PASS
ee_ori_peak_deg_global,9.373464,5.000000,FAIL
hw_sat_peak_SS,0.110971,1.000000,PASS
hw_sat_peak_DS,1.480109,1.000000,FAIL
hw_sat_peak_global,1.480109,1.000000,FAIL
tau_peak_Nm_SS,2.467953,20.000000,PASS
tau_peak_Nm_DS,8.155960,20.000000,PASS
tau_peak_Nm_global,8.155960,20.000000,PASS
tau_w_peak_ratio_SS,0.398740,1.000000,PASS
tau_w_peak_ratio_DS,1.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,PASS
ss_end_torso_ori_deg,1.048372,,INFO
ds_entry_torso_ori_deg,1.054506,,INFO
q_torso_ref_ss_to_ds_jump_deg,0.000002,,INFO
