metric,value,threshold,status
torso_pos_err_peak_mm,2781.556717,10.000000,FAIL
torso_ori_err_peak_deg,140.121939,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,88.070106,15.000000,FAIL
hw_saturation_ratio_peak,1.737531,1.000000,FAIL
hw_saturation_ratio_rms,0.987624,0.700000,FAIL
platform_rotation_total_deg,9.196899,5.000000,FAIL
platform_omega_peak_deg_s,1.002562,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.722054,0.950000,FAIL
nmpc_infeasibility_rate,0.302115,0.020000,FAIL
