metric,value,threshold,status
torso_pos_err_peak_mm,1629.883697,10.000000,FAIL
torso_ori_err_peak_deg,179.628738,5.000000,FAIL
ee_pos_err_at_dock_mm,995.233378,5.000000,FAIL
ee_ori_err_at_dock_deg,0.184966,5.000000,PASS
com_tracking_err_rms_mm,557.365997,15.000000,FAIL
hw_saturation_ratio_peak,0.481775,1.000000,PASS
hw_saturation_ratio_rms,0.296731,0.700000,PASS
platform_rotation_total_deg,19.343203,5.000000,FAIL
platform_omega_peak_deg_s,1.963666,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.850671,0.950000,FAIL
nmpc_infeasibility_rate,0.052013,0.020000,FAIL
torso_ori_peak_deg_SS,4.718806,5.000000,PASS
torso_ori_peak_deg_DS,179.628738,5.000000,FAIL
torso_ori_peak_deg_global,179.628738,5.000000,WARN
torso_pos_peak_mm_SS,139.294425,10.000000,FAIL
torso_pos_peak_mm_DS,1629.883697,10.000000,FAIL
torso_pos_peak_mm_global,1629.883697,10.000000,WARN
ee_pos_peak_mm_SS,995.233378,5.000000,FAIL
ee_pos_peak_mm_DS,2522.591170,5.000000,FAIL
ee_pos_peak_mm_global,2522.591170,5.000000,WARN
ee_ori_peak_deg_SS,12.346362,5.000000,FAIL
ee_ori_peak_deg_DS,179.408460,5.000000,FAIL
ee_ori_peak_deg_global,179.408460,5.000000,WARN
hw_sat_peak_SS,0.481775,1.000000,PASS
hw_sat_peak_DS,0.466125,1.000000,PASS
hw_sat_peak_global,0.481775,1.000000,WARN
tau_peak_Nm_SS,16.772681,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,3.271541,,INFO
ds_entry_torso_ori_deg,3.738115,,INFO
q_torso_ref_ss_to_ds_jump_deg,4.189455,,INFO
