metric,value,threshold,status
torso_pos_err_peak_mm,830.225690,10.000000,FAIL
torso_ori_err_peak_deg,179.356994,5.000000,FAIL
ee_pos_err_at_dock_mm,995.276623,5.000000,FAIL
ee_ori_err_at_dock_deg,0.184957,5.000000,PASS
com_tracking_err_rms_mm,548.555646,15.000000,FAIL
hw_saturation_ratio_peak,0.494904,1.000000,PASS
hw_saturation_ratio_rms,0.262102,0.700000,PASS
platform_rotation_total_deg,23.440544,5.000000,FAIL
platform_omega_peak_deg_s,2.056438,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.888889,0.950000,FAIL
nmpc_infeasibility_rate,0.040404,0.020000,FAIL
torso_ori_peak_deg_SS,4.868452,5.000000,PASS
torso_ori_peak_deg_DS,179.356994,5.000000,FAIL
torso_ori_peak_deg_global,179.356994,5.000000,WARN
torso_pos_peak_mm_SS,142.789054,10.000000,FAIL
torso_pos_peak_mm_DS,830.225690,10.000000,FAIL
torso_pos_peak_mm_global,830.225690,10.000000,WARN
ee_pos_peak_mm_SS,995.276623,5.000000,FAIL
ee_pos_peak_mm_DS,2966.787198,5.000000,FAIL
ee_pos_peak_mm_global,2966.787198,5.000000,WARN
ee_ori_peak_deg_SS,12.363480,5.000000,FAIL
ee_ori_peak_deg_DS,179.810307,5.000000,FAIL
ee_ori_peak_deg_global,179.810307,5.000000,WARN
hw_sat_peak_SS,0.494904,1.000000,PASS
hw_sat_peak_DS,0.393295,1.000000,PASS
hw_sat_peak_global,0.494904,1.000000,WARN
tau_peak_Nm_SS,17.339379,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,0.374670,,INFO
ds_entry_torso_ori_deg,1.923478,,INFO
q_torso_ref_ss_to_ds_jump_deg,2.108270,,INFO
