metric,value,threshold,status
torso_pos_err_peak_mm,44.340887,10.000000,FAIL
torso_ori_err_peak_deg,18.052359,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,108.396104,15.000000,FAIL
hw_saturation_ratio_peak,1.218963,1.000000,FAIL
hw_saturation_ratio_rms,0.600965,0.700000,PASS
platform_rotation_total_deg,6.498220,5.000000,FAIL
platform_omega_peak_deg_s,0.370744,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,1.000000,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,0.533437,5.000000,PASS
torso_ori_peak_deg_DS,18.052359,5.000000,FAIL
torso_ori_peak_deg_global,18.052359,5.000000,WARN
torso_pos_peak_mm_SS,44.340887,10.000000,FAIL
torso_pos_peak_mm_DS,4.989591,10.000000,PASS
torso_pos_peak_mm_global,44.340887,10.000000,WARN
ee_pos_peak_mm_SS,162.382098,5.000000,FAIL
ee_pos_peak_mm_DS,248.476215,5.000000,FAIL
ee_pos_peak_mm_global,248.476215,5.000000,WARN
ee_ori_peak_deg_SS,7.577170,5.000000,FAIL
ee_ori_peak_deg_DS,23.600488,5.000000,FAIL
ee_ori_peak_deg_global,23.600488,5.000000,WARN
hw_sat_peak_SS,0.561917,1.000000,PASS
hw_sat_peak_DS,1.218963,1.000000,FAIL
hw_sat_peak_global,1.218963,1.000000,WARN
tau_peak_Nm_SS,3.163495,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,0.741682,1.000000,PASS
tau_w_peak_ratio_DS,1.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,0.198986,,INFO
ds_entry_torso_ori_deg,3.365100,,INFO
q_torso_ref_ss_to_ds_jump_deg,3.416161,,INFO
