k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,1.880686e-15
2,0.020000,1.950852e-14
3,0.030000,7.914835e-13
4,0.040000,1.724937e-10
5,0.050000,5.743195e-08
6,0.060000,2.003455e-05
7,0.070000,4.549155e-03
8,0.080000,1.195927e-01
9,0.090000,2.215383e-01
10,0.100000,2.226965e-01
11,0.110000,2.208349e-01
12,0.120000,1.699052e-01
13,0.130000,1.906301e-01
14,0.140000,1.732226e-01
15,0.150000,1.844769e-01
16,0.160000,1.790534e-01
17,0.170000,1.836638e-01
18,0.180000,1.816100e-01
19,0.190000,1.757773e-01
20,0.200000,1.859463e-01
21,0.210000,1.679978e-01
22,0.220000,1.904326e-01
23,0.230000,1.623475e-01
24,0.240000,1.947736e-01
25,0.250000,1.591374e-01
26,0.260000,1.989230e-01
27,0.270000,1.581660e-01
28,0.280000,2.027795e-01
29,0.290000,1.583692e-01
30,0.300000,2.061877e-01
31,0.310000,1.597452e-01
32,0.320000,2.086713e-01
33,0.330000,1.620321e-01
34,0.340000,2.099191e-01
35,0.350000,1.649674e-01
36,0.360000,2.097692e-01
37,0.370000,1.683696e-01
38,0.380000,2.082335e-01
39,0.390000,1.721722e-01
40,0.400000,2.055097e-01
41,0.410000,1.764320e-01
42,0.420000,2.019741e-01
43,0.430000,1.813181e-01
44,0.440000,1.981523e-01
45,0.450000,1.870832e-01
46,0.460000,1.946737e-01
47,0.470000,1.940223e-01
48,0.480000,1.922121e-01
49,0.490000,2.024220e-01
50,0.500000,1.914203e-01
