k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,1.880303e-15
2,0.020000,1.908579e-14
3,0.030000,7.113879e-13
4,0.040000,1.427908e-10
5,0.050000,4.475233e-08
6,0.060000,1.491803e-05
7,0.070000,3.508651e-03
8,0.080000,1.167517e-01
9,0.090000,1.555281e-01
10,0.100000,2.611578e-01
11,0.110000,1.688566e-01
12,0.120000,1.926120e-01
13,0.130000,1.493465e-01
14,0.140000,1.933037e-01
15,0.150000,1.703226e-01
16,0.160000,1.906480e-01
17,0.170000,1.701601e-01
18,0.180000,1.907191e-01
19,0.190000,1.659377e-01
20,0.200000,1.917107e-01
21,0.210000,1.630331e-01
22,0.220000,1.922639e-01
23,0.230000,1.619257e-01
24,0.240000,1.919609e-01
25,0.250000,1.622806e-01
26,0.260000,1.908576e-01
27,0.270000,1.636829e-01
28,0.280000,1.890591e-01
29,0.290000,1.659471e-01
30,0.300000,1.866220e-01
31,0.310000,1.690555e-01
32,0.320000,1.840196e-01
33,0.330000,1.727288e-01
34,0.340000,1.814952e-01
35,0.350000,1.769129e-01
36,0.360000,1.792620e-01
37,0.370000,1.816223e-01
38,0.380000,1.775385e-01
39,0.390000,1.868945e-01
40,0.400000,1.765466e-01
41,0.410000,1.927669e-01
42,0.420000,1.764990e-01
43,0.430000,1.992593e-01
44,0.440000,1.775812e-01
45,0.450000,2.063581e-01
46,0.460000,1.799342e-01
47,0.470000,2.140028e-01
48,0.480000,1.836369e-01
49,0.490000,2.220745e-01
50,0.500000,1.886930e-01
