k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,1.953929e-15
2,0.020000,1.161702e-14
3,0.030000,4.170808e-14
4,0.040000,6.113354e-13
5,0.050000,6.912548e-12
6,0.060000,8.725170e-11
7,0.070000,1.113416e-09
8,0.080000,1.457471e-08
9,0.090000,1.942482e-07
10,0.100000,2.627590e-06
11,0.110000,3.595665e-05
12,0.120000,4.961552e-04
13,0.130000,5.795796e-03
14,0.140000,5.245484e-02
15,0.150000,1.490295e-01
16,0.160000,1.317535e-01
17,0.170000,1.400933e-01
18,0.180000,1.368380e-01
19,0.190000,1.332333e-01
20,0.200000,1.414754e-01
21,0.210000,1.319935e-01
22,0.220000,1.454660e-01
23,0.230000,1.337817e-01
24,0.240000,1.486825e-01
25,0.250000,1.363612e-01
26,0.260000,1.556192e-01
27,0.270000,1.355101e-01
28,0.280000,1.493288e-01
29,0.290000,1.392523e-01
30,0.300000,1.474136e-01
31,0.310000,1.401237e-01
32,0.320000,1.465654e-01
33,0.330000,1.410648e-01
34,0.340000,1.456838e-01
35,0.350000,1.416000e-01
36,0.360000,1.451450e-01
37,0.370000,1.416209e-01
38,0.380000,1.449602e-01
39,0.390000,1.413364e-01
40,0.400000,1.451138e-01
41,0.410000,1.409106e-01
42,0.420000,1.456232e-01
43,0.430000,1.404835e-01
44,0.440000,1.464561e-01
45,0.450000,1.401548e-01
46,0.460000,1.475590e-01
47,0.470000,1.399897e-01
48,0.480000,1.488749e-01
49,0.490000,1.400273e-01
50,0.500000,1.503549e-01
