t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
0.000000,0.000002,0.000000,0.049852,0.000676
0.010000,0.000135,0.000016,0.046564,0.001004
0.020000,0.000511,0.000064,0.042943,0.001352
0.030000,0.001091,0.000148,0.039039,0.001715
0.040000,0.001847,0.000267,0.037650,0.002089
0.050000,0.002750,0.000425,0.040715,0.002469
0.060000,0.003778,0.000624,0.043779,0.002855
0.070000,0.004910,0.000864,0.046836,0.003244
0.080000,0.006128,0.001149,0.049884,0.003636
0.090000,0.007416,0.001479,0.052918,0.004028
0.100000,0.008761,0.001857,0.055938,0.004421
0.110000,0.010151,0.002285,0.058942,0.004813
0.120000,0.011576,0.002764,0.061928,0.005204
0.130000,0.013027,0.003296,0.064896,0.005594
0.140000,0.014495,0.003882,0.067845,0.005983
0.150000,0.015976,0.004525,0.070776,0.006369
0.160000,0.017462,0.005227,0.076287,0.006754
0.170000,0.018949,0.005988,0.082532,0.007137
0.180000,0.020433,0.006810,0.088784,0.007517
0.190000,0.021911,0.007696,0.095037,0.007896
0.200000,0.023378,0.008646,0.101289,0.008273
0.210000,0.024834,0.009663,0.107536,0.008647
0.220000,0.026275,0.010747,0.113777,0.009020
0.230000,0.027700,0.011901,0.120009,0.009391
0.240000,0.029107,0.013126,0.126229,0.009760
0.250000,0.030496,0.014423,0.132435,0.010126
0.260000,0.031866,0.015793,0.138626,0.010491
0.270000,0.033215,0.017239,0.144799,0.010854
0.280000,0.034543,0.018762,0.150953,0.011214
0.290000,0.035849,0.020363,0.157086,0.011573
0.300000,0.037134,0.022043,0.163196,0.011929
0.310000,0.038396,0.023803,0.169282,0.012282
0.320000,0.039636,0.025646,0.175343,0.012634
0.330000,0.040852,0.027572,0.181376,0.012982
0.340000,0.042043,0.029582,0.187381,0.013328
0.350000,0.043211,0.031677,0.193355,0.013672
0.360000,0.044353,0.033860,0.199298,0.014012
0.370000,0.045468,0.036130,0.205209,0.014349
0.380000,0.046557,0.038489,0.211086,0.014683
0.390000,0.047616,0.040938,0.216929,0.015014
0.400000,0.048646,0.043478,0.222735,0.015342
0.410000,0.049645,0.046109,0.228505,0.015666
