t_s,e_ee_pos_mm,tau_q_max_Nm
0.000000,0.000002,0.049852
0.010000,0.000135,0.046586
0.020000,0.000511,0.042952
0.030000,0.001091,0.039002
0.040000,0.001846,0.037591
0.050000,0.002748,0.040636
0.060000,0.003775,0.043679
0.070000,0.004906,0.046713
0.080000,0.006123,0.049734
0.090000,0.007412,0.052741
0.100000,0.008759,0.052861
0.110000,0.010203,0.055467
0.120000,0.011784,0.058056
0.130000,0.013488,0.060654
0.140000,0.015308,0.063902
0.150000,0.017236,0.069674
0.160000,0.019267,0.075494
0.170000,0.021398,0.081352
0.180000,0.023627,0.087236
0.190000,0.025956,0.093136
0.200000,0.028386,0.101357
0.210000,0.030952,0.106966
0.220000,0.033695,0.112577
0.230000,0.036619,0.118194
0.240000,0.039734,0.123817
0.250000,0.043046,0.129443
0.260000,0.046567,0.135066
0.270000,0.050306,0.140679
0.280000,0.054273,0.146276
0.290000,0.058480,0.151853
0.300000,0.062936,0.159750
0.310000,0.067659,0.165166
0.320000,0.072669,0.170554
0.330000,0.077983,0.175914
0.340000,0.083618,0.181247
0.350000,0.089592,0.186549
0.360000,0.095919,0.191817
0.370000,0.102614,0.197048
0.380000,0.109693,0.202238
0.390000,0.117167,0.207385
0.400000,0.125048,0.214919
0.410000,0.133324,0.220058
0.420000,0.141985,0.225149
0.430000,0.151057,0.230187
0.440000,0.160561,0.235171
0.450000,0.170517,0.240097
0.460000,0.180944,0.244965
0.470000,0.191858,0.249771
0.480000,0.203276,0.254517
0.490000,0.215210,0.259200
0.500000,0.227675,0.266706
0.510000,0.240637,0.271434
0.520000,0.254073,0.276102
0.530000,0.268013,0.280703
0.540000,0.282484,0.285233
0.550000,0.297509,0.289692
0.560000,0.313110,0.294078
0.570000,0.329306,0.298391
0.580000,0.346116,0.302630
0.590000,0.363556,0.306797
0.600000,0.381641,0.315950
0.610000,0.400365,0.319796
0.620000,0.419734,0.323589
0.630000,0.439789,0.327335
0.640000,0.460564,0.331038
0.650000,0.482093,0.334696
0.660000,0.504406,0.338305
0.670000,0.527528,0.341860
0.680000,0.551484,0.345356
0.690000,0.576295,0.348789
0.700000,0.601983,0.356713
0.710000,0.628496,0.360248
0.720000,0.655799,0.363706
0.730000,0.683940,0.367081
0.740000,0.712959,0.371376
0.750000,0.742897,0.376819
0.760000,0.773788,0.381998
0.770000,0.805665,0.386923
0.780000,0.838558,0.391604
0.790000,0.872495,0.396051
0.800000,0.907503,0.392392
0.810000,0.943493,0.395683
0.820000,0.980395,0.401566
0.830000,1.018261,0.408087
0.840000,1.057140,0.414215
0.850000,1.097075,0.419967
0.860000,1.138109,0.425361
0.870000,1.180279,0.430419
0.880000,1.223620,0.435162
0.890000,1.268167,0.439607
0.900000,1.313951,0.423574
0.910000,1.360853,0.430820
0.920000,1.408771,0.438426
0.930000,1.457762,0.445524
0.940000,1.507875,0.452120
0.950000,1.559159,0.458237
0.960000,1.611657,0.463905
0.970000,1.665412,0.469156
0.980000,1.720462,0.474021
0.990000,1.776845,0.478528
1.000000,1.834596,0.457540
1.010000,1.893585,0.466178
1.020000,1.953695,0.474251
1.030000,2.014986,0.481732
1.040000,2.077512,0.488633
1.050000,2.141324,0.494984
1.060000,2.206470,0.500822
1.070000,2.272996,0.506186
1.080000,2.340945,0.511112
1.090000,2.410357,0.515635
1.100000,2.481274,0.494916
1.110000,2.553566,0.503838
1.120000,2.627121,0.512129
1.130000,2.702006,0.519774
1.140000,2.778282,0.526791
1.150000,2.856007,0.533213
1.160000,2.935235,0.539083
1.170000,3.016017,0.544439
1.180000,3.098404,0.549320
1.190000,3.182443,0.553758
1.200000,3.268180,0.522115
1.210000,3.355454,0.531998
1.220000,3.444119,0.541118
1.230000,3.534243,0.549443
1.240000,3.625888,0.556998
1.250000,3.719114,0.563828
1.260000,3.813980,0.569994
1.270000,3.910543,0.575554
1.280000,4.008858,0.580561
1.290000,4.108978,0.585064
1.300000,4.210956,0.543400
1.310000,4.314605,0.554271
1.320000,4.419750,0.564248
1.330000,4.526460,0.573296
1.340000,4.634796,0.581443
1.350000,4.744820,0.588752
1.360000,4.856592,0.595298
1.370000,4.970173,0.601155
1.380000,5.085620,0.606393
1.390000,5.202993,0.611071
1.400000,5.322346,0.560506
1.410000,5.443476,0.572319
1.420000,5.566185,0.583111
1.430000,5.690537,0.592840
1.440000,5.816593,0.601545
1.450000,5.944412,0.609304
1.460000,6.074056,0.616210
1.470000,6.205585,0.622355
1.480000,6.339063,0.627822
1.490000,6.474547,0.632682
1.500000,6.612099,0.575833
1.510000,6.751507,0.588369
1.520000,6.892562,0.599781
1.530000,7.035324,0.610028
1.540000,7.179852,0.619156
1.550000,7.326206,0.627259
1.560000,7.474445,0.634442
1.570000,7.624633,0.640810
1.580000,7.776833,0.646458
1.590000,7.931107,0.651466
1.600000,8.087518,0.589195
1.610000,8.245852,0.602341
1.620000,8.405895,0.614265
1.630000,8.567703,0.624926
1.640000,8.731332,0.634384
1.650000,8.896839,0.642745
1.660000,9.064286,0.650129
1.670000,9.233735,0.656654
1.680000,9.405253,0.662425
1.690000,9.578903,0.667528
1.700000,9.754751,0.597754
1.710000,9.932580,0.611570
1.720000,10.112167,0.624045
1.730000,10.293559,0.635141
1.740000,10.476806,0.644932
1.750000,10.661961,0.653542
1.760000,10.849085,0.661112
1.770000,11.038241,0.667776
1.780000,11.229494,0.673654
1.790000,11.422911,0.678844
1.800000,11.618559,0.602641
1.810000,11.816223,0.616993
1.820000,12.015676,0.629899
1.830000,12.216956,0.641325
1.840000,12.420105,0.651359
1.850000,12.625171,0.660143
1.860000,12.832212,0.667837
1.870000,13.041289,0.674592
1.880000,13.252467,0.680540
1.890000,13.465814,0.685789
1.900000,13.681394,0.604209
1.910000,13.899005,0.618944
1.920000,14.118421,0.632138
1.930000,14.339668,0.643763
1.940000,14.562779,0.653924
1.950000,14.787795,0.662781
1.960000,15.014770,0.670513
1.970000,15.243762,0.679057
1.980000,15.474834,0.699877
1.990000,15.708053,0.720277
2.000000,15.943485,0.603650
2.010000,16.180942,0.618540
2.020000,16.420210,0.631819
2.030000,16.661301,0.643470
2.040000,16.904239,0.653611
2.050000,17.149061,0.667852
2.060000,17.395813,0.691658
2.070000,17.644551,0.714894
2.080000,17.895337,0.737657
2.090000,18.148236,0.760016
2.100000,18.403312,0.599979
2.110000,18.660398,0.614929
2.120000,18.919295,0.628194
2.130000,19.179999,0.648136
2.140000,19.442525,0.675568
2.150000,19.706899,0.702114
2.160000,19.973165,0.727937
2.170000,20.241375,0.753181
2.180000,20.511586,0.777960
2.190000,20.783863,0.802352
2.200000,21.058269,0.592216
2.210000,21.334661,0.615253
2.220000,21.612853,0.647157
2.230000,21.892827,0.677767
2.240000,22.174583,0.707242
2.250000,22.458138,0.735776
2.260000,22.743530,0.763557
2.270000,23.030803,0.790752
2.280000,23.320015,0.817492
2.290000,23.611225,0.843870
2.300000,23.904495,0.605265
