k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm
0,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,8.948398e-14
1,0.010000,2.057624e-15,2.514712e-15,-4.285820e-13,2.514712e-15,-4.235525e-13,4.235525e-13,3.621573e-06
2,0.020000,5.818816e-15,6.965412e-15,-7.610608e-13,6.965412e-15,-7.471300e-13,7.471300e-13,3.783365e-06
3,0.030000,3.061527e-15,2.650873e-15,-1.860118e-12,2.650873e-15,-1.854816e-12,1.854816e-12,7.206810e-06
4,0.040000,1.131777e-14,1.111061e-14,-6.217909e-12,1.111061e-14,-6.195687e-12,6.195687e-12,1.369968e-05
5,0.050000,1.546359e-14,1.472763e-14,-1.941813e-11,1.472763e-14,-1.938868e-11,1.938868e-11,2.548364e-05
6,0.060000,6.530925e-14,6.402758e-14,-6.671891e-11,6.402758e-14,-6.659085e-11,6.659085e-11,4.771080e-05
7,0.070000,1.895851e-13,1.963565e-13,-2.225630e-10,1.963565e-13,-2.221703e-10,2.221703e-10,8.831043e-05
8,0.080000,6.630781e-13,6.707412e-13,-7.559403e-10,6.707412e-13,-7.545988e-10,7.545988e-10,1.636635e-04
9,0.090000,2.200138e-12,2.275550e-12,-2.554665e-09,2.275550e-12,-2.550114e-09,2.550114e-09,3.022157e-04
