k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm
0,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,8.948398e-14
1,0.010000,1.912700e-15,2.259516e-15,-6.808266e-13,2.259516e-15,-6.763075e-13,6.763075e-13,4.651478e-06
2,0.020000,1.064743e-14,1.246039e-14,-4.788844e-12,1.246039e-14,-4.763923e-12,4.763923e-12,1.046488e-05
3,0.030000,3.404329e-14,3.209079e-14,-5.212991e-11,3.209079e-14,-5.206573e-11,5.206573e-11,3.625011e-05
4,0.040000,5.099425e-13,5.212838e-13,-6.076618e-10,5.212838e-13,-6.066193e-10,6.066193e-10,1.309015e-04
5,0.050000,5.657622e-12,5.750303e-12,-7.338907e-09,5.750303e-12,-7.327406e-09,7.327406e-09,4.813778e-04
6,0.060000,7.091856e-11,7.235242e-11,-9.240811e-08,7.235242e-11,-9.226340e-08,9.226340e-08,1.778375e-03
7,0.070000,8.953503e-10,9.163071e-10,-1.200463e-06,9.163071e-10,-1.198631e-06,1.198631e-06,6.588558e-03
8,0.080000,1.159995e-08,1.189600e-08,-1.599715e-05,1.189600e-08,-1.597336e-05,1.597336e-05,2.447627e-02
9,0.090000,1.529884e-07,1.572027e-07,-2.172190e-04,1.572027e-07,-2.169046e-04,2.169046e-04,9.112732e-02
10,0.100000,2.048326e-06,2.107909e-06,-2.989659e-03,2.107909e-06,-2.985443e-03,2.985443e-03,3.398987e-01
11,0.110000,2.775286e-05,2.859461e-05,-4.153119e-02,2.859461e-05,-4.147400e-02,4.147400e-02,1.269724e+00
12,0.120000,3.794025e-04,3.912955e-04,-5.552422e-01,3.912955e-04,-5.544596e-01,5.544596e-01,4.215613e+00
13,0.130000,4.373112e-03,4.443960e-03,-6.543902e+00,4.443960e-03,-6.535014e+00,6.535014e+00,1.286890e+01
14,0.140000,4.060092e-02,3.958148e-02,-3.583318e+01,3.958148e-02,-3.575402e+01,3.575402e+01,2.000000e+01
15,0.150000,1.300750e-01,1.380933e-01,-8.457111e+01,1.380933e-01,-8.429493e+01,8.429493e+01,2.000000e+01
16,0.160000,1.045620e-01,1.130868e-01,-7.488472e+01,1.130868e-01,-7.465855e+01,7.465855e+01,2.000000e+01
17,0.170000,1.200897e-01,1.200310e-01,-7.558923e+01,1.200310e-01,-7.534917e+01,7.534917e+01,2.000000e+01
18,0.180000,1.123384e-01,1.259956e-01,-7.517299e+01,1.259956e-01,-7.492099e+01,7.492099e+01,2.000000e+01
19,0.190000,1.117666e-01,1.080305e-01,-7.462208e+01,1.080305e-01,-7.440602e+01,7.440602e+01,2.000000e+01
20,0.200000,1.162047e-01,1.336581e-01,-7.567125e+01,1.336581e-01,-7.540393e+01,7.540393e+01,2.000000e+01
21,0.210000,1.087145e-01,1.028013e-01,-7.417146e+01,1.028013e-01,-7.396585e+01,7.396585e+01,2.000000e+01
22,0.220000,1.181836e-01,1.384338e-01,-7.588090e+01,1.384338e-01,-7.560404e+01,7.560404e+01,2.000000e+01
23,0.230000,1.083486e-01,1.006423e-01,-7.400006e+01,1.006423e-01,-7.379878e+01,7.379878e+01,2.000000e+01
24,0.240000,1.192334e-01,1.414088e-01,-7.587010e+01,1.414088e-01,-7.558728e+01,7.558728e+01,2.000000e+01
25,0.250000,1.095549e-01,1.002339e-01,-7.406139e+01,1.002339e-01,-7.386092e+01,7.386092e+01,2.000000e+01
26,0.260000,1.196942e-01,1.429440e-01,-7.568551e+01,1.429440e-01,-7.539962e+01,7.539962e+01,2.000000e+01
27,0.270000,1.116927e-01,1.009133e-01,-7.430988e+01,1.009133e-01,-7.410806e+01,7.410806e+01,2.000000e+01
28,0.280000,1.197626e-01,1.433196e-01,-7.536134e+01,1.433196e-01,-7.507471e+01,7.507471e+01,2.000000e+01
29,0.290000,1.141909e-01,1.021850e-01,-7.464725e+01,1.021850e-01,-7.444288e+01,7.444288e+01,2.000000e+01
30,0.300000,1.197732e-01,1.431543e-01,-7.500308e+01,1.431543e-01,-7.471677e+01,7.471677e+01,2.000000e+01
31,0.310000,1.166867e-01,1.037069e-01,-7.500357e+01,1.037069e-01,-7.479616e+01,7.479616e+01,2.000000e+01
32,0.320000,1.199682e-01,1.429790e-01,-7.475359e+01,1.429790e-01,-7.446764e+01,7.446764e+01,2.000000e+01
33,0.330000,1.191522e-01,1.054257e-01,-7.549369e+01,1.054257e-01,-7.528283e+01,7.528283e+01,2.000000e+01
34,0.340000,1.205029e-01,1.431691e-01,-7.475503e+01,1.431691e-01,-7.446869e+01,7.446869e+01,2.000000e+01
35,0.350000,1.213250e-01,1.070469e-01,-7.598177e+01,1.070469e-01,-7.576768e+01,7.576768e+01,2.000000e+01
36,0.360000,1.212476e-01,1.437024e-01,-7.491191e+01,1.437024e-01,-7.462450e+01,7.462450e+01,2.000000e+01
37,0.370000,1.234366e-01,1.087624e-01,-7.663438e+01,1.087624e-01,-7.641685e+01,7.641685e+01,2.000000e+01
38,0.380000,1.219975e-01,1.444226e-01,-7.511031e+01,1.444226e-01,-7.482146e+01,7.482146e+01,2.000000e+01
