k,t_s,T_full_J,P_weld_W,tau_max_Nm,Jcq_norm_full,Jcq_norm_lin,Jcq_norm_ang,Jcq_A_lin_x,Jcq_A_lin_y,Jcq_A_lin_z,Jcq_A_ang_x,Jcq_A_ang_y,Jcq_A_ang_z,Jcq_B_lin_x,Jcq_B_lin_y,Jcq_B_lin_z,Jcq_B_ang_x,Jcq_B_ang_y,Jcq_B_ang_z
0,0.000000e+00,0.000000e+00,0.000000e+00,8.948398e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-02,6.555913e-07,4.377232e-04,1.175338e-01,2.014476e-03,6.940449e-04,1.891142e-03,-3.455461e-04,2.101752e-04,1.126362e-04,-2.998094e-04,-1.200114e-03,-1.552577e-04,-4.622549e-04,2.355448e-04,1.904593e-04,-5.596252e-04,-1.298025e-03,-1.552493e-04
2,2.000000e-02,1.287791e-02,4.634416e+01,2.000000e+01,1.639384e+00,1.113711e-01,1.635596e+00,6.073845e-02,-2.495367e-02,2.145424e-03,3.620133e-02,1.925457e-01,8.121576e-01,8.095583e-02,-3.894471e-02,-4.067648e-03,1.248046e-01,2.494774e-01,1.378178e+00
3,3.000000e-02,3.827480e+03,8.193316e+01,5.591773e-01,1.089354e+03,4.981165e+01,1.088215e+03,2.417067e+01,-1.588727e+01,-6.183980e+00,-8.688504e+00,7.810343e+01,-8.910041e+02,3.171822e+01,-1.931417e+01,-1.507482e+01,1.639486e+01,1.028473e+02,-6.109841e+02
4,4.000000e-02,1.106884e+12,-1.962559e+05,6.146341e-01,1.531174e+06,5.993694e+05,1.408990e+06,1.711265e+05,1.554613e+05,3.839466e+04,1.717048e+05,-3.221726e+05,7.498493e+04,3.278584e+05,-4.282260e+05,1.159672e+05,4.671872e+05,5.350012e+05,-1.158387e+06
5,5.000000e-02,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
6,6.000000e-02,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
7,7.000000e-02,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
8,8.000000e-02,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
9,9.000000e-02,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
10,1.000000e-01,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
11,1.100000e-01,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
12,1.200000e-01,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
13,1.300000e-01,8.240715e+41,0.000000e+00,0.000000e+00,2.153916e+20,2.153912e+20,3.756954e+17,-1.154481e+20,-9.419277e+19,-3.101966e+19,2.381677e+17,-1.508423e+17,1.087280e+17,-1.154464e+20,-9.444874e+19,-3.133981e+19,-6.158219e+16,-8.587561e+16,1.966748e+17
