metric,value,threshold,status
torso_pos_err_peak_mm,46.083555,10.000000,FAIL
torso_ori_err_peak_deg,2.256627,5.000000,PASS
ee_pos_err_at_dock_mm,0.167272,5.000000,PASS
ee_ori_err_at_dock_deg,0.174430,5.000000,PASS
com_tracking_err_rms_mm,247.755844,15.000000,FAIL
hw_saturation_ratio_peak,0.162460,1.000000,PASS
hw_saturation_ratio_rms,0.076827,0.700000,PASS
platform_rotation_total_deg,0.610564,5.000000,PASS
platform_omega_peak_deg_s,0.076073,2.000000,PASS
tau_w_peak_ratio,0.284272,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.992366,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,1.364219,5.000000,PASS
torso_ori_peak_deg_DS,2.256627,5.000000,PASS
torso_ori_peak_deg_global,2.256627,5.000000,PASS
torso_pos_peak_mm_SS,46.083555,10.000000,FAIL
torso_pos_peak_mm_DS,37.219532,10.000000,FAIL
torso_pos_peak_mm_global,46.083555,10.000000,FAIL
ee_pos_peak_mm_SS,32.223088,5.000000,FAIL
ee_pos_peak_mm_DS,0.167272,5.000000,PASS
ee_pos_peak_mm_global,32.223088,5.000000,FAIL
ee_ori_peak_deg_SS,1.244996,5.000000,PASS
ee_ori_peak_deg_DS,0.174430,5.000000,PASS
ee_ori_peak_deg_global,1.244996,5.000000,PASS
hw_sat_peak_SS,0.162460,1.000000,PASS
hw_sat_peak_DS,0.074154,1.000000,PASS
hw_sat_peak_global,0.162460,1.000000,PASS
tau_peak_Nm_SS,1.662521,20.000000,PASS
tau_peak_Nm_DS,8.064492,20.000000,PASS
tau_peak_Nm_global,8.064492,20.000000,PASS
tau_w_peak_ratio_SS,0.284272,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,0.284272,1.000000,PASS
ss_end_torso_ori_deg,0.485285,,INFO
ds_entry_torso_ori_deg,1.631113,,INFO
q_torso_ref_ss_to_ds_jump_deg,1.325243,,INFO
