metric,value,threshold,status
torso_pos_err_peak_mm,2289.460359,10.000000,FAIL
torso_ori_err_peak_deg,177.325224,5.000000,FAIL
ee_pos_err_at_dock_mm,4.842097,5.000000,PASS
ee_ori_err_at_dock_deg,0.215187,5.000000,PASS
com_tracking_err_rms_mm,252.234265,15.000000,FAIL
hw_saturation_ratio_peak,0.328792,1.000000,PASS
hw_saturation_ratio_rms,0.246024,0.700000,PASS
platform_rotation_total_deg,30.372699,5.000000,FAIL
platform_omega_peak_deg_s,4.704484,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.839806,0.950000,FAIL
nmpc_infeasibility_rate,0.104369,0.020000,FAIL
torso_ori_peak_deg_SS,3.118982,5.000000,PASS
torso_ori_peak_deg_DS,177.325224,5.000000,FAIL
torso_ori_peak_deg_global,177.325224,5.000000,WARN
torso_pos_peak_mm_SS,72.078495,10.000000,FAIL
torso_pos_peak_mm_DS,2289.460359,10.000000,FAIL
torso_pos_peak_mm_global,2289.460359,10.000000,WARN
ee_pos_peak_mm_SS,439.781412,5.000000,FAIL
ee_pos_peak_mm_DS,3025.019472,5.000000,FAIL
ee_pos_peak_mm_global,3025.019472,5.000000,WARN
ee_ori_peak_deg_SS,12.464455,5.000000,FAIL
ee_ori_peak_deg_DS,179.658331,5.000000,FAIL
ee_ori_peak_deg_global,179.658331,5.000000,WARN
hw_sat_peak_SS,0.328792,1.000000,PASS
hw_sat_peak_DS,0.328627,1.000000,PASS
hw_sat_peak_global,0.328792,1.000000,WARN
tau_peak_Nm_SS,15.574974,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,1.499875,,INFO
ds_entry_torso_ori_deg,3.193880,,INFO
q_torso_ref_ss_to_ds_jump_deg,1.843530,,INFO
