t,phase,step_idx,mask_ss,theta_s_deg,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,torso_ref_mode,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.010000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,-0.000000000,ds_hold,0.000000000,0.000000000,0.000000000,0.000000000,nan,0.000000000,,2,2,-1,0
0.020000,DS,-1,0,0.000000000,nan,nan,nan,0.000000009,-0.000000000,0.000000001,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.030000,DS,-1,0,0.000000000,nan,nan,nan,0.000000007,-0.000000003,0.000000008,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.040000,DS,-1,0,0.000000000,nan,nan,nan,0.000000004,-0.000000001,0.000000008,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.050000,DS,-1,0,0.000000000,nan,nan,nan,0.000000001,-0.000000002,0.000000010,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.060000,DS,-1,0,0.000000000,nan,nan,nan,-0.000000000,-0.000000000,0.000000009,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.070000,DS,-1,0,0.000000000,nan,nan,nan,-0.000000001,-0.000000000,0.000000009,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.080000,DS,-1,0,0.000000000,nan,nan,nan,-0.000000002,0.000000000,0.000000008,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.090000,DS,-1,0,0.000000000,nan,nan,nan,-0.000000002,0.000000000,0.000000009,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.100000,DS,-1,0,0.000000000,nan,nan,nan,-0.000000002,0.000000000,0.000000008,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.110000,SS,0,1,0.000126526,0.457020968,-1.444434735,2.471737469,-0.647717308,1.272676841,-1.235408004,planner_track,0.006953013,0.000022931,0.000009428,0.000005775,0.799631168,0.003371617,b,2,2,3,1
0.210000,SS,0,1,0.000754840,0.606892236,-1.413427714,2.706243030,-0.839935282,1.993740748,-2.388136557,planner_track,0.011884476,0.000035501,0.000010026,0.000041540,0.797353401,0.006020830,b,2,2,3,1
