tick,t_s,struct_frame_drift_deg,world_frame_drift_deg
0,0.0100,0.00000,0.00000
1,0.0200,0.00000,0.00000
2,0.0300,0.00000,0.00000
3,0.0400,0.00000,0.00000
4,0.0500,0.00000,0.00000
5,0.0600,0.00000,0.00000
6,0.0700,0.00000,0.00000
7,0.0800,0.00000,0.00000
8,0.0900,0.00000,0.00000
9,0.1000,0.00000,0.00000
10,0.1100,0.00695,0.00695
11,0.2100,0.01184,0.01188
12,0.3100,0.01371,0.01365
13,0.4100,0.01476,0.01396
14,0.5100,0.01657,0.01356
15,0.6100,0.02040,0.01323
16,0.7100,0.02622,0.01328
17,0.8100,0.03354,0.01382
18,0.9100,0.04184,0.01471
19,1.0100,0.05075,0.01574
20,1.1100,0.06005,0.01679
21,1.2100,0.06959,0.01775
22,1.3100,0.07921,0.01849
23,1.4100,0.08871,0.01874
24,1.5100,0.09793,0.01847
25,1.6100,0.10697,0.01844
26,1.7100,0.11455,0.01621
27,1.8100,0.12143,0.01451
28,1.9100,0.12725,0.01343
29,2.0100,0.13164,0.01308
30,2.1100,0.13462,0.01427
31,2.2100,0.13624,0.01684
32,2.3100,0.13664,0.02032
33,2.4100,0.13607,0.02427
34,2.5100,0.13486,0.02842
35,2.6100,0.13343,0.03269
36,2.7100,0.13228,0.03717
37,2.8100,0.13200,0.04211
38,2.9100,0.13025,0.04237
39,3.0100,0.12695,0.03846
40,3.1100,0.12446,0.03541
41,3.2100,0.12285,0.03330
42,3.3200,0.12304,0.03295
43,3.3300,0.12124,0.03418
44,3.3400,0.11792,0.03689
45,3.3500,0.11420,0.04025
46,3.3600,0.11083,0.04357
47,3.3700,0.10810,0.04652
48,3.3800,0.10604,0.04905
49,3.3900,0.10458,0.05122
50,3.4000,0.10362,0.05321
51,3.4100,0.10310,0.05527
52,3.4200,0.10302,0.05768
53,3.4300,0.10341,0.06062
54,3.4400,0.10420,0.06415
55,3.4500,0.10510,0.06820
56,3.4600,0.10583,0.07258
57,3.4700,0.10611,0.07709
58,3.4800,0.10571,0.08152
59,3.4900,0.10449,0.08576
60,3.5000,0.10237,0.08979
61,3.5100,0.09936,0.09363
62,3.5200,0.09557,0.09733
63,3.5300,0.09117,0.10093
64,3.5400,0.08636,0.10444
65,3.5500,0.08128,0.10789
66,3.5600,0.07608,0.11129
67,3.5700,0.07087,0.11467
68,3.5800,0.06578,0.11799
69,3.5900,0.06090,0.12126
70,3.6000,0.05632,0.12443
71,3.6100,0.05210,0.12748
72,3.6200,0.04829,0.13037
73,3.6300,0.04490,0.13307
74,3.6400,0.04193,0.13556
75,3.6500,0.03935,0.13782
76,3.6600,0.03714,0.13985
77,3.6700,0.03525,0.14164
78,3.6800,0.03364,0.14321
79,3.6900,0.03229,0.14456
80,3.7000,0.03117,0.14571
81,3.7100,0.03025,0.14668
82,3.7200,0.02951,0.14748
83,3.7300,0.02895,0.14815
84,3.7400,0.02856,0.14868
85,3.7500,0.02833,0.14911
86,3.7600,0.02826,0.14945
87,3.7700,0.02834,0.14971
88,3.7800,0.02856,0.14990
89,3.7900,0.02891,0.15004
90,3.8000,0.02938,0.15014
91,3.8100,0.02995,0.15019
92,3.8200,0.03060,0.15022
93,3.8300,0.03133,0.15021
94,3.8400,0.03211,0.15017
95,3.8500,0.03294,0.15012
96,3.8600,0.03380,0.15004
97,3.8700,0.03469,0.14995
98,3.8800,0.03560,0.14983
99,3.8900,0.03651,0.14970
100,3.9000,0.03743,0.14956
101,3.9100,0.03835,0.14940
102,3.9200,0.03926,0.14923
103,3.9300,0.04017,0.14905
104,3.9400,0.04107,0.14886
105,3.9500,0.04196,0.14866
106,3.9600,0.04284,0.14845
107,3.9700,0.04370,0.14824
108,3.9800,0.04454,0.14802
109,3.9900,0.04537,0.14780
110,4.0000,0.04618,0.14757
111,4.0100,0.04698,0.14735
