tick,t_s,phase,step_index,Hdot_s_x,Hdot_s_y,Hdot_s_z,Hdot_s_source,tau_w_x,tau_w_y,tau_w_z,dq_joint_norm,T_kin,L_com_norm,hw_norm,settle_exit
0,0.01,DS,-1,-0.0,-0.0,0.0,realized,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0
1,0.02,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.03,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.04,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.05,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.06,DS,-1,0.0,0.0,-0.0,realized,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.07,DS,-1,0.0,0.0,-0.0,realized,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.08,DS,-1,0.0,-0.0,-0.0,realized,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.09,DS,-1,0.0,-0.0,-0.0,realized,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.1,DS,-1,0.0,-0.0,-0.0,realized,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.11,SS,0,0.45702,-1.44443,2.47174,planned,-0.08043,1.38329,-0.40604,0.052352,0.000954907,0.050813,0.04778,0
11,0.21,SS,0,0.66659,-1.29791,3.09122,planned,-0.0392,1.33551,-0.74674,0.104049,0.007844126,0.151988,0.112527,0
12,0.31,SS,0,0.89006,-1.07146,4.26535,planned,-0.05745,1.49717,-0.797,0.199817,0.02975596,0.265836,0.184822,0
13,0.41,SS,0,1.10318,-0.80481,4.99999,planned,-0.14075,1.5391,-0.79353,0.308782,0.075442253,0.405977,0.261578,0
14,0.51,SS,0,1.30218,-0.44688,5.0,planned,-0.2636,1.46289,-0.74521,0.421375,0.150489341,0.559488,0.337067,0
15,0.61,SS,0,1.4535,-0.03373,5.0,planned,-0.41077,1.3165,-0.64614,0.527052,0.25606047,0.7197,0.407341,0
16,0.71,SS,0,1.5331,0.31017,5.0,planned,-0.5304,1.13695,-0.55491,0.618703,0.389024616,0.880079,0.47065,0
17,0.81,SS,0,1.53194,0.59857,5.0,planned,-0.63961,0.9278,-0.46261,0.693735,0.542888019,1.034697,0.52618,0
18,0.91,SS,0,1.44342,0.77802,5.0,planned,-0.70701,0.71934,-0.39828,0.753406,0.708508974,1.177002,0.573965,0
19,1.01,SS,0,1.2702,0.84171,5.0,planned,-0.73044,0.51926,-0.36689,0.801916,0.874872888,1.300831,0.614725,0
