t,phase,step_idx,mask_ss,theta_s_deg,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,torso_ref_mode,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.010000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,0.000000000,0.000000000,0.000000000,nan,0.000000000,,2,2,-1,0
0.020000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.030000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.040000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.050000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.060000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000003,,2,2,-1,0
0.070000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,-0.000000000,0.000000000,nan,0.000000010,,2,2,-1,0
0.080000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000001,0.000000000,0.000000000,0.000000000,nan,0.000000034,,2,2,-1,0
0.090000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000002,-0.000000000,-0.000000000,0.000000000,nan,0.000000121,,2,2,-1,0
0.100000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000008,0.000000000,0.000000000,-0.000000000,nan,0.000000420,,2,2,-1,0
0.110000,SS,0,1,0.000126528,0.457021375,-1.444435897,2.471731458,-0.647717871,1.272677753,-1.235406633,planner_track,0.006953063,0.000022933,0.000009429,0.000005776,0.799631168,0.003363221,b,2,2,3,1
0.210000,SS,0,1,0.000754844,0.606892268,-1.413426981,2.706241589,-0.839935699,1.993740584,-2.388135896,planner_track,0.011884552,0.000035504,0.000010028,0.000041541,0.797353402,0.006003972,b,2,2,3,1
0.310000,SS,0,1,0.002130301,0.678144108,-1.226728565,3.344710397,-1.059581250,2.541465195,-3.258237886,planner_track,0.013654570,-0.000042088,-0.000035084,0.000104039,0.791659446,0.009435194,b,2,2,3,1
0.410000,SS,0,1,0.004434658,0.688968156,-0.981832363,3.891932183,-1.214027235,2.934834724,-3.910493504,planner_track,0.013961218,-0.000260395,-0.000138617,0.000187401,0.781403039,0.016609979,b,2,2,3,1
0.510000,SS,0,1,0.007790471,0.627273176,-0.706138555,4.429170579,-1.274505365,3.160977815,-4.390827624,planner_track,0.013560559,-0.000644767,-0.000299626,0.000283651,0.765801464,0.028221659,b,2,2,3,1
0.610000,SS,0,1,0.012258212,0.501670440,-0.426672484,4.895266710,-1.262580224,3.241944075,-4.681695216,planner_track,0.013232895,-0.001200301,-0.000506441,0.000382691,0.744412607,0.042834625,b,2,2,3,1
0.710000,SS,0,1,0.017843377,0.321734720,-0.136144644,4.999981558,-1.190178771,3.190268910,-4.781795571,planner_track,0.013280088,-0.001916691,-0.000739998,0.000473585,0.717106090,0.058691102,b,2,2,3,1
