t,phase,step_idx,mask_ss,theta_s_deg,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,torso_ref_mode,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.010000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,0.000000000,0.000000000,0.000000000,nan,0.000000000,,2,2,-1,0
0.020000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.030000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.040000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.050000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.060000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000003,,2,2,-1,0
0.070000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,-0.000000000,0.000000000,nan,0.000000010,,2,2,-1,0
0.080000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000001,0.000000000,0.000000000,0.000000000,nan,0.000000034,,2,2,-1,0
0.090000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000002,-0.000000000,-0.000000000,0.000000000,nan,0.000000121,,2,2,-1,0
0.100000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000008,0.000000000,0.000000000,-0.000000000,nan,0.000000420,,2,2,-1,0
0.110000,SS,0,1,0.000127383,0.457021375,-1.444435897,2.471731458,-0.621111517,1.287946047,-1.216178467,planner_track,0.006914174,0.000025038,0.000010135,0.000007625,0.799631519,0.003350396,b,2,2,3,1
0.210000,SS,0,1,0.000747364,0.609822726,-1.406066750,2.713019511,-0.826100177,1.963162335,-2.336409290,planner_track,0.010513967,0.000035329,0.000007371,0.000049236,0.797352749,0.005982583,b,2,2,3,1
0.310000,SS,0,1,0.002101784,0.687037936,-1.219050604,3.367743251,-1.053555479,2.509771600,-3.202550940,planner_track,0.011232354,-0.000057187,-0.000045353,0.000119058,0.791656035,0.009455481,b,2,2,3,1
0.410000,SS,0,1,0.004375397,0.699617021,-0.979770501,3.925585910,-1.221776220,2.911229601,-3.870677619,planner_track,0.010811711,-0.000303414,-0.000159060,0.000209632,0.781396346,0.016603739,b,2,2,3,1
0.510000,SS,0,1,0.007697714,0.638507153,-0.709227914,4.473872401,-1.296747366,3.149757801,-4.379230287,planner_track,0.010000503,-0.000724701,-0.000329150,0.000311281,0.765792251,0.028157542,b,2,2,3,1
0.610000,SS,0,1,0.012137560,0.510360222,-0.434692713,4.943009348,-1.297010907,3.246313396,-4.702122347,planner_track,0.009629251,-0.001319838,-0.000539449,0.000412371,0.744402644,0.042733033,b,2,2,3,1
0.710000,SS,0,1,0.017708244,0.325722210,-0.142395751,4.999984127,-1.232917720,3.208246750,-4.831363871,planner_track,0.009897166,-0.002071534,-0.000766716,0.000500871,0.717097893,0.058598919,b,2,2,3,1
