metric,value,threshold,status
torso_pos_err_peak_mm,77.280999,10.000000,FAIL
torso_ori_err_peak_deg,97.769681,5.000000,FAIL
ee_pos_err_at_dock_mm,1.150301,5.000000,PASS
ee_ori_err_at_dock_deg,4.082131,5.000000,PASS
com_tracking_err_rms_mm,42.172959,15.000000,FAIL
hw_saturation_ratio_peak,0.905645,1.000000,PASS
hw_saturation_ratio_rms,0.427137,0.700000,PASS
platform_rotation_total_deg,3.839998,5.000000,PASS
platform_omega_peak_deg_s,0.620490,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.992537,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
