metric,value,threshold,status
torso_pos_err_peak_mm,32.863671,10.000000,FAIL
torso_ori_err_peak_deg,12.669736,5.000000,FAIL
ee_pos_err_at_dock_mm,3.919049,5.000000,PASS
ee_ori_err_at_dock_deg,0.090099,5.000000,PASS
com_tracking_err_rms_mm,302.592947,15.000000,FAIL
hw_saturation_ratio_peak,1.582635,1.000000,FAIL
hw_saturation_ratio_rms,0.815915,0.700000,FAIL
platform_rotation_total_deg,4.814604,5.000000,PASS
platform_omega_peak_deg_s,0.451923,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.893382,0.950000,FAIL
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,0.876886,5.000000,PASS
torso_ori_peak_deg_DS,12.669736,5.000000,FAIL
torso_ori_peak_deg_global,12.669736,5.000000,FAIL
torso_pos_peak_mm_SS,32.863671,10.000000,FAIL
torso_pos_peak_mm_DS,4.943073,10.000000,PASS
torso_pos_peak_mm_global,32.863671,10.000000,FAIL
ee_pos_peak_mm_SS,32.446655,5.000000,FAIL
ee_pos_peak_mm_DS,3.919049,5.000000,PASS
ee_pos_peak_mm_global,32.446655,5.000000,FAIL
ee_ori_peak_deg_SS,9.373167,5.000000,FAIL
ee_ori_peak_deg_DS,0.105377,5.000000,PASS
ee_ori_peak_deg_global,9.373167,5.000000,FAIL
hw_sat_peak_SS,0.085110,1.000000,PASS
hw_sat_peak_DS,1.582635,1.000000,FAIL
hw_sat_peak_global,1.582635,1.000000,FAIL
tau_peak_Nm_SS,2.486138,20.000000,PASS
tau_peak_Nm_DS,8.248940,20.000000,PASS
tau_peak_Nm_global,8.248940,20.000000,PASS
tau_w_peak_ratio_SS,0.395460,1.000000,PASS
tau_w_peak_ratio_DS,1.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,PASS
ss_end_torso_ori_deg,0.865144,,INFO
ds_entry_torso_ori_deg,1.672397,,INFO
q_torso_ref_ss_to_ds_jump_deg,1.158700,,INFO
