metric,value,threshold,status
torso_pos_err_peak_mm,1033.305239,10.000000,FAIL
torso_ori_err_peak_deg,179.139258,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,362.460434,15.000000,FAIL
hw_saturation_ratio_peak,0.802786,1.000000,PASS
hw_saturation_ratio_rms,0.343985,0.700000,PASS
platform_rotation_total_deg,23.066058,5.000000,FAIL
platform_omega_peak_deg_s,4.797479,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.865815,0.950000,FAIL
nmpc_infeasibility_rate,0.044728,0.020000,FAIL
torso_ori_peak_deg_SS,0.911658,5.000000,PASS
torso_ori_peak_deg_DS,179.139258,5.000000,FAIL
torso_ori_peak_deg_global,179.139258,5.000000,WARN
torso_pos_peak_mm_SS,33.305519,10.000000,FAIL
torso_pos_peak_mm_DS,1033.305239,10.000000,FAIL
torso_pos_peak_mm_global,1033.305239,10.000000,WARN
ee_pos_peak_mm_SS,31.961802,5.000000,FAIL
ee_pos_peak_mm_DS,3805.116052,5.000000,FAIL
ee_pos_peak_mm_global,3805.116052,5.000000,WARN
ee_ori_peak_deg_SS,14.585328,5.000000,FAIL
ee_ori_peak_deg_DS,179.831929,5.000000,FAIL
ee_ori_peak_deg_global,179.831929,5.000000,WARN
hw_sat_peak_SS,0.081300,1.000000,PASS
hw_sat_peak_DS,0.802786,1.000000,PASS
hw_sat_peak_global,0.802786,1.000000,WARN
tau_peak_Nm_SS,2.516951,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,0.452680,1.000000,PASS
tau_w_peak_ratio_DS,1.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,0.674570,,INFO
ds_entry_torso_ori_deg,4.147224,,INFO
q_torso_ref_ss_to_ds_jump_deg,4.068112,,INFO
