metric,value,threshold,status
torso_pos_err_peak_mm,5767.126514,10.000000,FAIL
torso_ori_err_peak_deg,179.966354,5.000000,FAIL
ee_pos_err_at_dock_mm,10.965141,5.000000,FAIL
ee_ori_err_at_dock_deg,0.184957,5.000000,PASS
com_tracking_err_rms_mm,3076.414366,15.000000,FAIL
hw_saturation_ratio_peak,0.652982,1.000000,PASS
hw_saturation_ratio_rms,0.381491,0.700000,PASS
platform_rotation_total_deg,13.024974,5.000000,FAIL
platform_omega_peak_deg_s,0.308509,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.540741,0.950000,FAIL
nmpc_infeasibility_rate,0.044444,0.020000,FAIL
torso_ori_peak_deg_SS,179.966354,5.000000,FAIL
torso_ori_peak_deg_DS,179.749004,5.000000,FAIL
torso_ori_peak_deg_global,179.966354,5.000000,WARN
torso_pos_peak_mm_SS,5767.126514,10.000000,FAIL
torso_pos_peak_mm_DS,673.872162,10.000000,FAIL
torso_pos_peak_mm_global,5767.126514,10.000000,WARN
ee_pos_peak_mm_SS,6359.904023,5.000000,FAIL
ee_pos_peak_mm_DS,12506.314146,5.000000,FAIL
ee_pos_peak_mm_global,12506.314146,5.000000,WARN
ee_ori_peak_deg_SS,179.964137,5.000000,FAIL
ee_ori_peak_deg_DS,179.232937,5.000000,FAIL
ee_ori_peak_deg_global,179.964137,5.000000,WARN
hw_sat_peak_SS,0.652982,1.000000,PASS
hw_sat_peak_DS,0.410642,1.000000,PASS
hw_sat_peak_global,0.652982,1.000000,WARN
tau_peak_Nm_SS,20.000000,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,171.550298,,INFO
ds_entry_torso_ori_deg,14.727488,,INFO
q_torso_ref_ss_to_ds_jump_deg,162.150806,,INFO
