metric,value,threshold,status
torso_pos_err_peak_mm,1228.241347,10.000000,FAIL
torso_ori_err_peak_deg,179.139113,5.000000,FAIL
ee_pos_err_at_dock_mm,4.842097,5.000000,PASS
ee_ori_err_at_dock_deg,0.215187,5.000000,PASS
com_tracking_err_rms_mm,378.967051,15.000000,FAIL
hw_saturation_ratio_peak,0.555812,1.000000,PASS
hw_saturation_ratio_rms,0.381709,0.700000,PASS
platform_rotation_total_deg,15.200187,5.000000,FAIL
platform_omega_peak_deg_s,2.273072,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.954248,0.950000,PASS
nmpc_infeasibility_rate,0.019608,0.020000,PASS
torso_ori_peak_deg_SS,2.781394,5.000000,PASS
torso_ori_peak_deg_DS,179.139113,5.000000,FAIL
torso_ori_peak_deg_global,179.139113,5.000000,WARN
torso_pos_peak_mm_SS,84.536255,10.000000,FAIL
torso_pos_peak_mm_DS,1228.241347,10.000000,FAIL
torso_pos_peak_mm_global,1228.241347,10.000000,WARN
ee_pos_peak_mm_SS,432.764940,5.000000,FAIL
ee_pos_peak_mm_DS,3095.760307,5.000000,FAIL
ee_pos_peak_mm_global,3095.760307,5.000000,WARN
ee_ori_peak_deg_SS,11.648036,5.000000,FAIL
ee_ori_peak_deg_DS,179.803569,5.000000,FAIL
ee_ori_peak_deg_global,179.803569,5.000000,WARN
hw_sat_peak_SS,0.555812,1.000000,PASS
hw_sat_peak_DS,0.555535,1.000000,PASS
hw_sat_peak_global,0.555812,1.000000,WARN
tau_peak_Nm_SS,15.934402,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,2.045173,,INFO
ds_entry_torso_ori_deg,4.622533,,INFO
q_torso_ref_ss_to_ds_jump_deg,3.999217,,INFO
