metric,value,threshold,status
torso_pos_err_peak_mm,1025.198976,10.000000,FAIL
torso_ori_err_peak_deg,179.713057,5.000000,FAIL
ee_pos_err_at_dock_mm,995.359047,5.000000,FAIL
ee_ori_err_at_dock_deg,0.183751,5.000000,PASS
com_tracking_err_rms_mm,513.405414,15.000000,FAIL
hw_saturation_ratio_peak,0.000042,1.000000,PASS
hw_saturation_ratio_rms,0.000013,0.700000,PASS
platform_rotation_total_deg,26.330212,5.000000,FAIL
platform_omega_peak_deg_s,2.392888,2.000000,FAIL
tau_w_peak_ratio,0.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.928058,0.950000,FAIL
nmpc_infeasibility_rate,0.016187,0.020000,PASS
torso_ori_peak_deg_SS,4.871264,5.000000,PASS
torso_ori_peak_deg_DS,179.713057,5.000000,FAIL
torso_ori_peak_deg_global,179.713057,5.000000,WARN
torso_pos_peak_mm_SS,142.521697,10.000000,FAIL
torso_pos_peak_mm_DS,1025.198976,10.000000,FAIL
torso_pos_peak_mm_global,1025.198976,10.000000,WARN
ee_pos_peak_mm_SS,995.359047,5.000000,FAIL
ee_pos_peak_mm_DS,3136.915689,5.000000,FAIL
ee_pos_peak_mm_global,3136.915689,5.000000,WARN
ee_ori_peak_deg_SS,12.341756,5.000000,FAIL
ee_ori_peak_deg_DS,179.450226,5.000000,FAIL
ee_ori_peak_deg_global,179.450226,5.000000,WARN
hw_sat_peak_SS,0.000004,1.000000,PASS
hw_sat_peak_DS,0.000042,1.000000,PASS
hw_sat_peak_global,0.000042,1.000000,WARN
tau_peak_Nm_SS,16.361911,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,0.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,0.000000,1.000000,WARN
ss_end_torso_ori_deg,1.350210,,INFO
ds_entry_torso_ori_deg,2.300543,,INFO
q_torso_ref_ss_to_ds_jump_deg,3.350831,,INFO
