metric,value,threshold,status
torso_pos_err_peak_mm,1167.642481,10.000000,FAIL
torso_ori_err_peak_deg,178.559315,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,478.971355,15.000000,FAIL
hw_saturation_ratio_peak,0.777375,1.000000,PASS
hw_saturation_ratio_rms,0.587901,0.700000,PASS
platform_rotation_total_deg,7.158995,5.000000,FAIL
platform_omega_peak_deg_s,0.299141,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.957895,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,170.459131,5.000000,FAIL
torso_ori_peak_deg_DS,178.559315,5.000000,FAIL
torso_ori_peak_deg_global,178.559315,5.000000,WARN
torso_pos_peak_mm_SS,1167.642481,10.000000,FAIL
torso_pos_peak_mm_DS,990.607237,10.000000,FAIL
torso_pos_peak_mm_global,1167.642481,10.000000,WARN
ee_pos_peak_mm_SS,1404.910960,5.000000,FAIL
ee_pos_peak_mm_DS,2178.306809,5.000000,FAIL
ee_pos_peak_mm_global,2178.306809,5.000000,WARN
ee_ori_peak_deg_SS,177.612314,5.000000,FAIL
ee_ori_peak_deg_DS,179.749515,5.000000,FAIL
ee_ori_peak_deg_global,179.749515,5.000000,WARN
hw_sat_peak_SS,0.777375,1.000000,PASS
hw_sat_peak_DS,0.759324,1.000000,PASS
hw_sat_peak_global,0.777375,1.000000,WARN
tau_peak_Nm_SS,20.000000,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,105.282761,,INFO
ds_entry_torso_ori_deg,25.177525,,INFO
q_torso_ref_ss_to_ds_jump_deg,168.598267,,INFO
