metric,value,threshold,status
torso_pos_err_peak_mm,1936.022862,10.000000,FAIL
torso_ori_err_peak_deg,179.817142,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,899.039458,15.000000,FAIL
hw_saturation_ratio_peak,0.692323,1.000000,PASS
hw_saturation_ratio_rms,0.425408,0.700000,PASS
platform_rotation_total_deg,16.273018,5.000000,FAIL
platform_omega_peak_deg_s,0.346328,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.853535,0.950000,FAIL
nmpc_infeasibility_rate,0.025253,0.020000,FAIL
torso_ori_peak_deg_SS,179.817142,5.000000,FAIL
torso_ori_peak_deg_DS,179.050114,5.000000,FAIL
torso_ori_peak_deg_global,179.817142,5.000000,WARN
torso_pos_peak_mm_SS,1936.022862,10.000000,FAIL
torso_pos_peak_mm_DS,1305.058647,10.000000,FAIL
torso_pos_peak_mm_global,1936.022862,10.000000,WARN
ee_pos_peak_mm_SS,1540.077341,5.000000,FAIL
ee_pos_peak_mm_DS,2285.516799,5.000000,FAIL
ee_pos_peak_mm_global,2285.516799,5.000000,WARN
ee_ori_peak_deg_SS,179.884131,5.000000,FAIL
ee_ori_peak_deg_DS,179.807730,5.000000,FAIL
ee_ori_peak_deg_global,179.884131,5.000000,WARN
hw_sat_peak_SS,0.692323,1.000000,PASS
hw_sat_peak_DS,0.519559,1.000000,PASS
hw_sat_peak_global,0.692323,1.000000,WARN
tau_peak_Nm_SS,20.000000,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,66.364590,,INFO
ds_entry_torso_ori_deg,26.629222,,INFO
q_torso_ref_ss_to_ds_jump_deg,90.260779,,INFO
