metric,value,threshold,status
torso_pos_err_peak_mm,1280.376903,10.000000,FAIL
torso_ori_err_peak_deg,178.808525,5.000000,FAIL
ee_pos_err_at_dock_mm,998.197126,5.000000,FAIL
ee_ori_err_at_dock_deg,0.161174,5.000000,PASS
com_tracking_err_rms_mm,518.365778,15.000000,FAIL
hw_saturation_ratio_peak,0.305752,1.000000,PASS
hw_saturation_ratio_rms,0.152525,0.700000,PASS
platform_rotation_total_deg,21.630782,5.000000,FAIL
platform_omega_peak_deg_s,2.141391,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.802947,0.950000,FAIL
nmpc_infeasibility_rate,0.058932,0.020000,FAIL
torso_ori_peak_deg_SS,5.424863,5.000000,FAIL
torso_ori_peak_deg_DS,178.808525,5.000000,FAIL
torso_ori_peak_deg_global,178.808525,5.000000,WARN
torso_pos_peak_mm_SS,143.795134,10.000000,FAIL
torso_pos_peak_mm_DS,1280.376903,10.000000,FAIL
torso_pos_peak_mm_global,1280.376903,10.000000,WARN
ee_pos_peak_mm_SS,998.197126,5.000000,FAIL
ee_pos_peak_mm_DS,2458.776221,5.000000,FAIL
ee_pos_peak_mm_global,2458.776221,5.000000,WARN
ee_ori_peak_deg_SS,11.971392,5.000000,FAIL
ee_ori_peak_deg_DS,179.627728,5.000000,FAIL
ee_ori_peak_deg_global,179.627728,5.000000,WARN
hw_sat_peak_SS,0.305752,1.000000,PASS
hw_sat_peak_DS,0.189465,1.000000,PASS
hw_sat_peak_global,0.305752,1.000000,WARN
tau_peak_Nm_SS,18.088021,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,4.530796,,INFO
ds_entry_torso_ori_deg,3.928081,,INFO
q_torso_ref_ss_to_ds_jump_deg,6.124957,,INFO
