metric,value,threshold,status
torso_pos_err_peak_mm,2401.783088,10.000000,FAIL
torso_ori_err_peak_deg,147.202436,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,108.396104,15.000000,FAIL
hw_saturation_ratio_peak,1.168901,1.000000,FAIL
hw_saturation_ratio_rms,0.599638,0.700000,PASS
platform_rotation_total_deg,25.947802,5.000000,FAIL
platform_omega_peak_deg_s,3.013613,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.817891,0.950000,FAIL
nmpc_infeasibility_rate,0.092652,0.020000,FAIL
torso_ori_peak_deg_SS,0.533437,5.000000,PASS
torso_ori_peak_deg_DS,147.202436,5.000000,FAIL
torso_ori_peak_deg_global,147.202436,5.000000,WARN
torso_pos_peak_mm_SS,44.340887,10.000000,FAIL
torso_pos_peak_mm_DS,2401.783088,10.000000,FAIL
torso_pos_peak_mm_global,2401.783088,10.000000,WARN
ee_pos_peak_mm_SS,162.382098,5.000000,FAIL
ee_pos_peak_mm_DS,3205.029531,5.000000,FAIL
ee_pos_peak_mm_global,3205.029531,5.000000,WARN
ee_ori_peak_deg_SS,7.577170,5.000000,FAIL
ee_ori_peak_deg_DS,178.865500,5.000000,FAIL
ee_ori_peak_deg_global,178.865500,5.000000,WARN
hw_sat_peak_SS,0.561917,1.000000,PASS
hw_sat_peak_DS,1.168901,1.000000,FAIL
hw_sat_peak_global,1.168901,1.000000,WARN
tau_peak_Nm_SS,3.163495,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,0.741682,1.000000,PASS
tau_w_peak_ratio_DS,1.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,0.198986,,INFO
ds_entry_torso_ori_deg,0.048033,,INFO
q_torso_ref_ss_to_ds_jump_deg,0.198986,,INFO
