t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
0.000000,0.000002,0.000000,0.049633,0.000166
0.010000,0.000102,0.000005,0.046436,0.000397
0.020000,0.000372,0.000018,0.042839,0.000679
0.030000,0.000771,0.000038,0.038900,0.000983
0.040000,0.001266,0.000063,0.038870,0.001302
0.050000,0.001831,0.000093,0.041966,0.001633
0.060000,0.002449,0.000125,0.045080,0.001975
0.070000,0.003110,0.000160,0.048206,0.002325
0.080000,0.003811,0.000194,0.051337,0.002682
0.090000,0.004557,0.000228,0.054469,0.003043
0.100000,0.005358,0.000261,0.057597,0.003409
0.110000,0.006232,0.000291,0.060718,0.003777
0.120000,0.007200,0.000319,0.063828,0.004148
0.130000,0.008284,0.000343,0.066927,0.004521
0.140000,0.009507,0.000363,0.070012,0.004895
0.150000,0.010893,0.000380,0.073081,0.005269
0.160000,0.012459,0.000392,0.079058,0.005644
0.170000,0.014222,0.000399,0.085590,0.006018
0.180000,0.016195,0.000403,0.092118,0.006393
0.190000,0.018387,0.000402,0.098637,0.006767
0.200000,0.020807,0.000398,0.105142,0.007141
0.210000,0.023457,0.000390,0.111628,0.007514
0.220000,0.026341,0.000381,0.118092,0.007886
0.230000,0.029460,0.000370,0.124531,0.008258
0.240000,0.032813,0.000360,0.130940,0.008628
0.250000,0.036399,0.000353,0.137319,0.008998
0.260000,0.040214,0.000350,0.143664,0.009367
0.270000,0.044257,0.000353,0.149972,0.009734
0.280000,0.048523,0.000364,0.156242,0.010100
0.290000,0.053008,0.000385,0.162473,0.010464
0.300000,0.057706,0.000415,0.168661,0.010826
0.310000,0.062612,0.000454,0.174806,0.011187
0.320000,0.067720,0.000501,0.180906,0.011546
0.330000,0.073025,0.000555,0.186960,0.011903
0.340000,0.078520,0.000615,0.192966,0.012257
0.350000,0.084198,0.000680,0.198924,0.012609
0.360000,0.090052,0.000751,0.204832,0.012959
0.370000,0.096076,0.000826,0.210690,0.013306
0.380000,0.102262,0.000906,0.216497,0.013650
0.390000,0.108603,0.000990,0.222251,0.013991
0.400000,0.115093,0.001079,0.227953,0.014329
0.410000,0.121723,0.001174,0.233602,0.014664
0.420000,0.128486,0.001275,0.239198,0.014996
0.430000,0.135376,0.001382,0.244740,0.015324
0.440000,0.142384,0.001498,0.250228,0.015649
0.450000,0.149504,0.001622,0.255661,0.015970
0.460000,0.156728,0.001757,0.261041,0.016288
0.470000,0.164049,0.001902,0.266366,0.016603
0.480000,0.171460,0.002061,0.271637,0.016914
0.490000,0.178955,0.002234,0.276854,0.017221
0.500000,0.186525,0.002422,0.282017,0.017524
0.510000,0.194165,0.002628,0.287127,0.017823
0.520000,0.201868,0.002851,0.292182,0.018119
0.530000,0.209627,0.003094,0.297184,0.018411
0.540000,0.217436,0.003358,0.302133,0.018699
0.550000,0.225288,0.003645,0.307030,0.018984
0.560000,0.233178,0.003954,0.311874,0.019264
0.570000,0.241100,0.004288,0.316665,0.019541
0.580000,0.249047,0.004647,0.321405,0.019814
0.590000,0.257014,0.005032,0.326094,0.020083
0.600000,0.264995,0.005444,0.330731,0.020348
0.610000,0.272986,0.005885,0.335318,0.020609
0.620000,0.280980,0.006354,0.339855,0.020867
0.630000,0.288973,0.006853,0.344341,0.021120
0.640000,0.296960,0.007382,0.348779,0.021370
