k,t_s,T_kinetic_J
0,0.000000,0.000000e+00
1,0.010000,2.019355e-15
2,0.020000,9.183398e-15
3,0.030000,1.580547e-14
4,0.040000,1.653611e-13
5,0.050000,1.147040e-12
6,0.060000,9.644873e-12
7,0.070000,7.924303e-11
8,0.080000,6.634951e-10
9,0.090000,5.581036e-09
10,0.100000,4.716066e-08
11,0.110000,3.996307e-07
12,0.120000,3.392897e-06
13,0.130000,2.884402e-05
14,0.140000,2.453746e-04
15,0.150000,2.085109e-03
16,0.160000,1.410409e-02
17,0.170000,6.649269e-02
18,0.180000,1.276574e-01
19,0.190000,9.789513e-02
20,0.200000,1.154897e-01
21,0.210000,1.048817e-01
22,0.220000,1.070508e-01
23,0.230000,1.063909e-01
24,0.240000,1.017669e-01
25,0.250000,1.068856e-01
26,0.260000,9.905907e-02
27,0.270000,1.068000e-01
28,0.280000,9.824652e-02
29,0.290000,1.061257e-01
30,0.300000,9.878237e-02
31,0.310000,1.051747e-01
32,0.320000,1.008997e-01
33,0.330000,1.050447e-01
34,0.340000,1.037934e-01
35,0.350000,1.037844e-01
36,0.360000,1.065667e-01
37,0.370000,1.028094e-01
38,0.380000,1.083919e-01
39,0.390000,1.026930e-01
40,0.400000,1.099333e-01
41,0.410000,1.025957e-01
42,0.420000,1.115030e-01
43,0.430000,1.028499e-01
44,0.440000,1.127384e-01
45,0.450000,1.035386e-01
46,0.460000,1.138221e-01
47,0.470000,1.044081e-01
48,0.480000,1.149146e-01
49,0.490000,1.053651e-01
50,0.500000,1.160408e-01
