t_s,e_ee_pos_mm,tau_q_max_Nm
0.000000,0.000002,0.049852
0.010000,0.000135,0.046564
0.020000,0.000511,0.042943
0.030000,0.001091,0.039039
0.040000,0.001847,0.037650
0.050000,0.002750,0.040715
0.060000,0.003778,0.043779
0.070000,0.004910,0.046836
0.080000,0.006128,0.049884
0.090000,0.007416,0.052918
0.100000,0.008761,0.055938
0.110000,0.010151,0.058942
0.120000,0.011576,0.061928
0.130000,0.013027,0.064896
0.140000,0.014495,0.067845
0.150000,0.015976,0.070776
0.160000,0.017462,0.076287
0.170000,0.018949,0.082532
0.180000,0.020433,0.088784
0.190000,0.021911,0.095037
0.200000,0.023378,0.101289
0.210000,0.024834,0.107536
0.220000,0.026275,0.113777
0.230000,0.027700,0.120009
0.240000,0.029107,0.126229
0.250000,0.030496,0.132435
0.260000,0.031866,0.138626
0.270000,0.033215,0.144799
0.280000,0.034543,0.150953
0.290000,0.035849,0.157086
0.300000,0.037134,0.163196
0.310000,0.038396,0.169282
0.320000,0.039636,0.175343
0.330000,0.040852,0.181376
0.340000,0.042043,0.187381
0.350000,0.043211,0.193355
0.360000,0.044353,0.199298
0.370000,0.045468,0.205209
0.380000,0.046557,0.211086
0.390000,0.047616,0.216929
0.400000,0.048646,0.222735
0.410000,0.049645,0.228505
0.420000,0.050610,0.234237
0.430000,0.051541,0.239931
0.440000,0.052436,0.245586
0.450000,0.053291,0.251201
0.460000,0.054106,0.256776
0.470000,0.054878,0.262309
0.480000,0.055605,0.267801
0.490000,0.056284,0.273251
0.500000,0.056913,0.278659
0.510000,0.057489,0.284024
0.520000,0.058009,0.289346
0.530000,0.058472,0.294624
0.540000,0.058875,0.299859
0.550000,0.059215,0.305050
0.560000,0.059490,0.310197
0.570000,0.059697,0.315300
0.580000,0.059835,0.320359
0.590000,0.059902,0.325373
0.600000,0.059894,0.330343
0.610000,0.059812,0.335268
0.620000,0.059654,0.340149
0.630000,0.059418,0.344985
0.640000,0.059103,0.349777
0.650000,0.058711,0.354524
0.660000,0.058239,0.359226
0.670000,0.057691,0.363884
0.680000,0.057066,0.368498
0.690000,0.056367,0.373067
0.700000,0.055598,0.377592
0.710000,0.054761,0.382073
0.720000,0.053864,0.386510
0.730000,0.052911,0.390903
0.740000,0.051914,0.395252
0.750000,0.050881,0.399557
0.760000,0.049826,0.403818
0.770000,0.048765,0.408036
0.780000,0.047718,0.412211
0.790000,0.046706,0.416341
0.800000,0.045757,0.420429
0.810000,0.044902,0.424473
0.820000,0.044174,0.428474
0.830000,0.043614,0.432431
0.840000,0.043261,0.436345
0.850000,0.043159,0.440217
0.860000,0.043349,0.444045
0.870000,0.043867,0.447829
0.880000,0.044746,0.451571
0.890000,0.046010,0.455269
0.900000,0.047672,0.458924
0.910000,0.049739,0.462536
0.920000,0.052207,0.466104
0.930000,0.055067,0.469629
0.940000,0.058308,0.473111
0.950000,0.061913,0.476549
0.960000,0.065865,0.479943
0.970000,0.070148,0.483293
0.980000,0.074747,0.486599
0.990000,0.079646,0.489862
1.000000,0.084834,0.493080
1.010000,0.090298,0.496254
1.020000,0.096029,0.499383
1.030000,0.102018,0.502468
1.040000,0.108256,0.505507
1.050000,0.114739,0.508503
1.060000,0.121459,0.511453
1.070000,0.128413,0.514357
1.080000,0.135595,0.517217
1.090000,0.143003,0.520031
1.100000,0.150632,0.522799
1.110000,0.158481,0.525522
1.120000,0.166546,0.528198
1.130000,0.174826,0.530829
1.140000,0.183319,0.533413
1.150000,0.192022,0.535952
1.160000,0.200934,0.538443
1.170000,0.210054,0.540888
1.180000,0.219380,0.543287
1.190000,0.228911,0.545638
1.200000,0.238645,0.547943
1.210000,0.248582,0.550201
1.220000,0.258720,0.552411
1.230000,0.269058,0.554575
1.240000,0.279595,0.556691
1.250000,0.290329,0.558760
1.260000,0.301260,0.560781
1.270000,0.312386,0.562755
1.280000,0.323707,0.564682
1.290000,0.335220,0.566560
1.300000,0.346925,0.568392
1.310000,0.358820,0.570175
1.320000,0.370904,0.571911
1.330000,0.383176,0.573598
1.340000,0.395634,0.575238
1.350000,0.408277,0.576831
1.360000,0.421103,0.578375
1.370000,0.434111,0.579871
1.380000,0.447299,0.581319
1.390000,0.460666,0.582720
1.400000,0.474210,0.584072
1.410000,0.487928,0.585376
1.420000,0.501821,0.586632
1.430000,0.515885,0.587840
1.440000,0.530119,0.589000
1.450000,0.544520,0.590112
1.460000,0.559088,0.591176
1.470000,0.573819,0.592191
1.480000,0.588713,0.593158
1.490000,0.603766,0.594078
1.500000,0.618976,0.594948
1.510000,0.634342,0.595771
1.520000,0.649862,0.596546
1.530000,0.665532,0.597272
1.540000,0.681351,0.597950
1.550000,0.697316,0.598580
1.560000,0.713425,0.599161
1.570000,0.729675,0.599694
1.580000,0.746064,0.600180
1.590000,0.762590,0.600616
1.600000,0.779249,0.601005
1.610000,0.796040,0.601345
1.620000,0.812959,0.601637
1.630000,0.830004,0.601881
1.640000,0.847172,0.602077
1.650000,0.864461,0.602225
1.660000,0.881867,0.602324
1.670000,0.899388,0.602375
1.680000,0.917020,0.602379
1.690000,0.934762,0.602334
1.700000,0.952610,0.602241
1.710000,0.970562,0.602100
1.720000,0.988613,0.601912
1.730000,1.006762,0.601675
1.740000,1.025005,0.601391
1.750000,1.043339,0.601059
1.760000,1.061761,0.600679
1.770000,1.080269,0.600252
1.780000,1.098858,0.599777
1.790000,1.117525,0.599255
1.800000,1.136269,0.598685
1.810000,1.155084,0.598069
1.820000,1.173969,0.597405
1.830000,1.192920,0.596694
1.840000,1.211933,0.595936
1.850000,1.231006,0.595131
1.860000,1.250135,0.594280
1.870000,1.269317,0.593382
1.880000,1.288549,0.592437
1.890000,1.307827,0.591447
1.900000,1.327147,0.590410
1.910000,1.346508,0.589327
1.920000,1.365905,0.588198
1.930000,1.385334,0.587024
1.940000,1.404794,0.585804
1.950000,1.424280,0.584539
1.960000,1.443788,0.583228
1.970000,1.463316,0.581873
1.980000,1.482861,0.580473
1.990000,1.502418,0.579028
2.000000,1.521985,0.577538
2.010000,1.541557,0.576005
2.020000,1.561133,0.574427
2.030000,1.580708,0.572806
2.040000,1.600279,0.571141
2.050000,1.619843,0.569432
2.060000,1.639396,0.567681
2.070000,1.658935,0.565886
2.080000,1.678457,0.564049
2.090000,1.697958,0.562169
2.100000,1.717435,0.560247
2.110000,1.736885,0.558283
2.120000,1.756305,0.556278
2.130000,1.775690,0.554231
2.140000,1.795039,0.552143
2.150000,1.814347,0.550013
2.160000,1.833611,0.547844
2.170000,1.852829,0.545634
2.180000,1.871996,0.543384
2.190000,1.891110,0.541094
2.200000,1.910168,0.538765
2.210000,1.929166,0.536396
2.220000,1.948101,0.533989
2.230000,1.966970,0.531543
2.240000,1.985770,0.529059
2.250000,2.004498,0.526537
2.260000,2.023150,0.523978
2.270000,2.041724,0.521381
2.280000,2.060216,0.518747
2.290000,2.078623,0.516078
2.300000,2.096943,0.513372
2.310000,2.115173,0.510630
2.320000,2.133309,0.507852
2.330000,2.151348,0.505040
2.340000,2.169287,0.502193
2.350000,2.187125,0.499312
2.360000,2.204856,0.496397
2.370000,2.222480,0.493448
2.380000,2.239993,0.490467
2.390000,2.257391,0.487452
2.400000,2.274673,0.484405
2.410000,2.291835,0.481327
2.420000,2.308874,0.478217
2.430000,2.325789,0.475075
2.440000,2.342576,0.471903
2.450000,2.359232,0.468701
2.460000,2.375755,0.465469
2.470000,2.392142,0.462208
2.480000,2.408390,0.458918
2.490000,2.424497,0.455599
2.500000,2.440460,0.452252
2.510000,2.456277,0.448877
2.520000,2.471945,0.445476
2.530000,2.487461,0.442047
2.540000,2.502824,0.439877
2.550000,2.518030,0.439747
2.560000,2.533077,0.439587
2.570000,2.547962,0.439399
2.580000,2.562684,0.439182
2.590000,2.577240,0.438936
2.600000,2.591627,0.438660
2.610000,2.605843,0.438355
2.620000,2.619887,0.438021
2.630000,2.633754,0.437658
2.640000,2.647444,0.437265
2.650000,2.660954,0.436842
2.660000,2.674281,0.436391
2.670000,2.687425,0.435910
2.680000,2.700381,0.435399
2.690000,2.713149,0.434859
2.700000,2.725726,0.434289
2.710000,2.738110,0.433690
2.720000,2.750299,0.433061
2.730000,2.762291,0.432403
2.740000,2.774084,0.431715
2.750000,2.785675,0.430998
2.760000,2.797064,0.430251
2.770000,2.808247,0.429474
2.780000,2.819224,0.428668
2.790000,2.829992,0.427833
2.800000,2.840549,0.426968
2.810000,2.850893,0.426073
2.820000,2.861023,0.425149
2.830000,2.870937,0.424196
2.840000,2.880633,0.423213
2.850000,2.890109,0.422201
2.860000,2.899364,0.421159
2.870000,2.908396,0.420088
2.880000,2.917203,0.418988
2.890000,2.925784,0.417859
2.900000,2.934136,0.416700
2.910000,2.942260,0.415513
2.920000,2.950152,0.414296
2.930000,2.957811,0.413050
2.940000,2.965237,0.411776
2.950000,2.972427,0.410472
2.960000,2.979380,0.409140
2.970000,2.986095,0.407779
2.980000,2.992570,0.406389
2.990000,2.998804,0.404971
3.000000,3.004796,0.403524
3.010000,3.010544,0.402048
3.020000,3.016047,0.400544
3.030000,3.021305,0.399012
3.040000,3.026315,0.397452
3.050000,3.031077,0.395863
3.060000,3.035589,0.394246
3.070000,3.039852,0.392602
3.080000,3.043862,0.390929
3.090000,3.047621,0.389229
3.100000,3.051126,0.387500
3.110000,3.054376,0.385745
3.120000,3.057372,0.383961
3.130000,3.060111,0.382150
3.140000,3.062594,0.380312
3.150000,3.064819,0.378447
3.160000,3.066786,0.376554
3.170000,3.068495,0.374635
3.180000,3.069943,0.372688
3.190000,3.071132,0.370715
3.200000,3.072060,0.368714
3.210000,3.072727,0.366688
3.220000,3.073133,0.364634
3.230000,3.073276,0.362555
3.240000,3.073158,0.360448
3.250000,3.072777,0.358316
3.260000,3.072133,0.356158
3.270000,3.071226,0.353973
3.280000,3.070056,0.351763
3.290000,3.068623,0.349527
3.300000,3.066926,0.347265
3.310000,3.064967,0.344978
3.320000,3.062744,0.342665
3.330000,3.060258,0.340327
3.340000,3.057510,0.337964
3.350000,3.054499,0.335576
3.360000,3.051226,0.333163
3.370000,3.047691,0.330725
3.380000,3.043894,0.328262
3.390000,3.039836,0.325775
3.400000,3.035518,0.323263
3.410000,3.030941,0.320727
3.420000,3.026104,0.318167
3.430000,3.021009,0.315583
3.440000,3.015657,0.312974
3.450000,3.010048,0.310342
3.460000,3.004183,0.307686
3.470000,2.998064,0.305006
3.480000,2.991692,0.302303
3.490000,2.985067,0.299577
3.500000,2.978191,0.296827
3.510000,2.971066,0.294054
3.520000,2.963693,0.291258
3.530000,2.956073,0.288440
3.540000,2.948208,0.285598
3.550000,2.940100,0.282734
3.560000,2.931750,0.279848
3.570000,2.923161,0.276939
3.580000,2.914334,0.274008
3.590000,2.905271,0.271055
3.600000,2.895975,0.268080
3.610000,2.886447,0.265084
3.620000,2.876691,0.264997
3.630000,2.866708,0.265472
3.640000,2.856501,0.265915
3.650000,2.846073,0.266327
3.660000,2.835427,0.266708
3.670000,2.824565,0.267057
3.680000,2.813490,0.267375
3.690000,2.802206,0.267661
3.700000,2.790715,0.267917
3.710000,2.779022,0.268141
3.720000,2.767129,0.268333
3.730000,2.755040,0.268495
3.740000,2.742758,0.268625
3.750000,2.730288,0.268725
3.760000,2.717634,0.268793
3.770000,2.704800,0.268830
3.780000,2.691789,0.268836
3.790000,2.678606,0.268812
3.800000,2.665257,0.268757
3.810000,2.651745,0.268671
3.820000,2.638075,0.268554
3.830000,2.624252,0.268408
3.840000,2.610282,0.268231
3.850000,2.596170,0.268024
3.860000,2.581921,0.267787
3.870000,2.567541,0.267521
3.880000,2.553035,0.267224
3.890000,2.538410,0.266899
3.900000,2.523672,0.266544
3.910000,2.508827,0.266159
3.920000,2.493882,0.265746
3.930000,2.478843,0.265304
3.940000,2.463717,0.264834
3.950000,2.448512,0.264335
3.960000,2.433235,0.263808
3.970000,2.417894,0.263253
3.980000,2.402496,0.262670
3.990000,2.387048,0.262059
4.000000,2.371561,0.261421
4.010000,2.356041,0.260756
4.020000,2.340497,0.260064
4.030000,2.324939,0.259345
4.040000,2.309376,0.258600
4.050000,2.293816,0.257829
4.060000,2.278270,0.257031
4.070000,2.262747,0.256208
4.080000,2.247258,0.255359
4.090000,2.231813,0.254485
4.100000,2.216422,0.253586
4.110000,2.201096,0.255618
4.120000,2.185847,0.257789
4.130000,2.170685,0.259939
4.140000,2.155623,0.262068
4.150000,2.140673,0.264176
4.160000,2.125845,0.266264
4.170000,2.111153,0.268330
4.180000,2.096610,0.270376
4.190000,2.082228,0.272402
4.200000,2.068020,0.274407
4.210000,2.053999,0.276392
4.220000,2.040179,0.278356
4.230000,2.026574,0.280301
4.240000,2.013197,0.282226
4.250000,2.000063,0.284130
4.260000,1.987185,0.286015
4.270000,1.974578,0.287880
4.280000,1.962257,0.289726
4.290000,1.950235,0.291552
4.300000,1.938527,0.293359
4.310000,1.927148,0.295146
4.320000,1.916112,0.296915
4.330000,1.905435,0.298664
4.340000,1.895130,0.300394
4.350000,1.885211,0.302106
4.360000,1.875694,0.303798
4.370000,1.866592,0.305472
4.380000,1.857920,0.307127
4.390000,1.849690,0.308763
4.400000,1.841916,0.310382
4.410000,1.834611,0.311981
4.420000,1.827789,0.313563
4.430000,1.821460,0.315126
4.440000,1.815637,0.316671
4.450000,1.810330,0.318198
4.460000,1.805552,0.319707
4.470000,1.801311,0.321198
4.480000,1.797617,0.322671
4.490000,1.794478,0.324127
4.500000,1.791904,0.325564
4.510000,1.789900,0.326984
4.520000,1.788473,0.328387
4.530000,1.787629,0.329772
4.540000,1.787373,0.331246
4.550000,1.787708,0.333718
4.560000,1.788638,0.336171
4.570000,1.790165,0.338606
4.580000,1.792289,0.341023
4.590000,1.795011,0.343422
4.600000,1.798331,0.345803
4.610000,1.802247,0.348166
4.620000,1.806756,0.350510
4.630000,1.811855,0.352837
4.640000,1.817541,0.355279
4.650000,1.823808,0.358142
4.660000,1.830651,0.360991
4.670000,1.838063,0.363827
4.680000,1.846036,0.366650
4.690000,1.854563,0.369459
4.700000,1.863636,0.372254
4.710000,1.873245,0.375036
4.720000,1.883380,0.377803
4.730000,1.894031,0.380558
4.740000,1.905187,0.383298
4.750000,1.916837,0.386025
4.760000,1.928969,0.388737
4.770000,1.941571,0.391436
4.780000,1.954631,0.394121
4.790000,1.968136,0.396792
4.800000,1.982073,0.399449
4.810000,1.996429,0.402092
4.820000,2.011190,0.404721
4.830000,2.026344,0.407335
4.840000,2.041877,0.409936
4.850000,2.057775,0.412522
4.860000,2.074024,0.415094
4.870000,2.090611,0.417652
4.880000,2.107522,0.420195
4.890000,2.124744,0.422724
