t_s,e_ee_pos_mm,tau_q_max_Nm
0.000000,0.000002,0.049852
0.010000,0.000135,0.046564
0.020000,0.000511,0.042943
0.030000,0.001091,0.039039
0.040000,0.001847,0.037650
0.050000,0.002750,0.040715
0.060000,0.003778,0.043779
0.070000,0.004910,0.046836
0.080000,0.006128,0.049884
0.090000,0.007416,0.052918
0.100000,0.008761,0.055804
0.110000,0.010156,0.058790
0.120000,0.011596,0.061759
0.130000,0.013070,0.064713
0.140000,0.014570,0.067651
0.150000,0.016087,0.070574
0.160000,0.017617,0.076439
0.170000,0.019153,0.082655
0.180000,0.020690,0.088881
0.190000,0.022225,0.095112
0.200000,0.023753,0.101817
0.210000,0.025278,0.107979
0.220000,0.026801,0.114142
0.230000,0.028318,0.120305
0.240000,0.029828,0.126464
0.250000,0.031328,0.132618
0.260000,0.032817,0.138763
0.270000,0.034293,0.144896
0.280000,0.035755,0.151015
0.290000,0.037202,0.157116
0.300000,0.038633,0.163679
0.310000,0.040052,0.169669
0.320000,0.041462,0.175643
0.330000,0.042862,0.181599
0.340000,0.044250,0.187536
0.350000,0.045625,0.193450
0.360000,0.046987,0.199340
0.370000,0.048333,0.205204
0.380000,0.049663,0.211040
0.390000,0.050975,0.216845
0.400000,0.052268,0.223106
0.410000,0.053546,0.228774
0.420000,0.054809,0.234415
0.430000,0.056055,0.240027
0.440000,0.057284,0.245609
0.450000,0.058493,0.251160
0.460000,0.059679,0.256678
0.470000,0.060841,0.262161
0.480000,0.061978,0.267608
0.490000,0.063086,0.273018
0.500000,0.064165,0.278957
0.510000,0.065216,0.284207
0.520000,0.066242,0.289424
0.530000,0.067239,0.294610
0.540000,0.068206,0.299762
0.550000,0.069142,0.304881
0.560000,0.070044,0.309964
0.570000,0.070911,0.315011
0.580000,0.071743,0.320018
0.590000,0.072538,0.324987
0.600000,0.073294,0.330929
0.610000,0.074019,0.335670
0.620000,0.074716,0.340385
0.630000,0.075385,0.345074
0.640000,0.076027,0.349737
0.650000,0.076643,0.354372
0.660000,0.077234,0.358977
0.670000,0.077800,0.363550
0.680000,0.078344,0.368088
0.690000,0.078867,0.372591
0.700000,0.079373,0.378067
0.710000,0.079868,0.382348
0.720000,0.080362,0.386605
0.730000,0.080860,0.390838
0.740000,0.081366,0.395046
0.750000,0.081885,0.399228
0.760000,0.082424,0.403382
0.770000,0.082988,0.407504
0.780000,0.083585,0.411594
0.790000,0.084220,0.415649
0.800000,0.084901,0.420672
0.810000,0.085640,0.424509
0.820000,0.086451,0.428322
0.830000,0.087342,0.432114
0.840000,0.088321,0.435882
0.850000,0.089400,0.439624
0.860000,0.090585,0.443340
0.870000,0.091886,0.447025
0.880000,0.093311,0.450678
0.890000,0.094868,0.454297
0.900000,0.096563,0.458873
0.910000,0.098409,0.462275
0.920000,0.100414,0.465655
0.930000,0.102586,0.469013
0.940000,0.104931,0.472348
0.950000,0.107454,0.475657
0.960000,0.110158,0.478938
0.970000,0.113046,0.482189
0.980000,0.116123,0.485407
0.990000,0.119388,0.488591
1.000000,0.122843,0.492840
1.010000,0.126492,0.495788
1.020000,0.130338,0.498715
1.030000,0.134382,0.501621
1.040000,0.138624,0.504504
1.050000,0.143062,0.507363
1.060000,0.147696,0.510195
1.070000,0.152524,0.512996
1.080000,0.157545,0.515764
1.090000,0.162756,0.518497
1.100000,0.168155,0.522584
1.110000,0.173743,0.525036
1.120000,0.179519,0.527471
1.130000,0.185482,0.529889
1.140000,0.191631,0.532290
1.150000,0.197963,0.534669
1.160000,0.204476,0.537024
1.170000,0.211167,0.539350
1.180000,0.218034,0.541646
1.190000,0.225074,0.543907
1.200000,0.232284,0.547491
1.210000,0.239664,0.549474
1.220000,0.247212,0.551440
1.230000,0.254927,0.553389
1.240000,0.262807,0.555320
1.250000,0.270849,0.557229
1.260000,0.279051,0.559113
1.270000,0.287411,0.560968
1.280000,0.295925,0.562792
1.290000,0.304593,0.564581
1.300000,0.313410,0.567654
1.310000,0.322377,0.569166
1.320000,0.331490,0.570661
1.330000,0.340749,0.572138
1.340000,0.350151,0.573597
1.350000,0.359694,0.575035
1.360000,0.369376,0.576447
1.370000,0.379194,0.577830
1.380000,0.389146,0.579181
1.390000,0.399230,0.580497
1.400000,0.409443,0.583055
1.410000,0.419783,0.584096
1.420000,0.430248,0.585120
1.430000,0.440836,0.586127
1.440000,0.451546,0.587115
1.450000,0.462373,0.588081
1.460000,0.473317,0.589022
1.470000,0.484375,0.589934
1.480000,0.495544,0.590813
1.490000,0.506822,0.591657
1.500000,0.518207,0.593765
1.510000,0.529696,0.594327
1.520000,0.541287,0.594872
1.530000,0.552978,0.595402
1.540000,0.564765,0.595914
1.550000,0.576648,0.596405
1.560000,0.588623,0.596871
1.570000,0.600687,0.597309
1.580000,0.612839,0.597714
1.590000,0.625076,0.598085
1.600000,0.637396,0.599758
1.610000,0.649795,0.599836
1.620000,0.662271,0.599900
1.630000,0.674822,0.599951
1.640000,0.687445,0.599985
1.650000,0.700137,0.600000
1.660000,0.712896,0.599991
1.670000,0.725720,0.599955
1.680000,0.738606,0.599887
1.690000,0.751551,0.599786
1.700000,0.764554,0.600902
1.710000,0.777610,0.600514
1.720000,0.790716,0.600113
1.730000,0.803871,0.599698
1.740000,0.817071,0.599267
1.750000,0.830314,0.598816
1.760000,0.843598,0.598342
1.770000,0.856920,0.597841
1.780000,0.870277,0.597308
1.790000,0.883667,0.596742
1.800000,0.897088,0.595954
1.810000,0.910532,0.595257
1.820000,0.923992,0.594521
1.830000,0.937465,0.593746
1.840000,0.950951,0.592934
1.850000,0.964449,0.592084
1.860000,0.977956,0.591198
1.870000,0.991472,0.590276
1.880000,1.004994,0.589317
1.890000,1.018522,0.588321
1.900000,1.032053,0.587058
1.910000,1.045580,0.585936
1.920000,1.059095,0.584776
1.930000,1.072599,0.583581
1.940000,1.086090,0.582351
1.950000,1.099568,0.581087
1.960000,1.113031,0.579790
1.970000,1.126479,0.578460
1.980000,1.139911,0.577095
1.990000,1.153326,0.575696
2.000000,1.166722,0.574018
2.010000,1.180092,0.572495
2.020000,1.193429,0.570935
2.030000,1.206734,0.569341
2.040000,1.220006,0.567714
2.050000,1.233244,0.566055
2.060000,1.246449,0.564364
2.070000,1.259621,0.562641
2.080000,1.272757,0.560886
2.090000,1.285859,0.559097
2.100000,1.298925,0.557013
2.110000,1.311948,0.555102
2.120000,1.324922,0.553157
2.130000,1.337847,0.551179
2.140000,1.350724,0.549172
2.150000,1.363553,0.547134
2.160000,1.376333,0.545066
2.170000,1.389065,0.542969
2.180000,1.401750,0.540841
2.190000,1.414386,0.538682
2.200000,1.426974,0.536193
2.210000,1.439507,0.533917
2.220000,1.451978,0.531609
2.230000,1.464388,0.529271
2.240000,1.476739,0.526904
2.250000,1.489031,0.524508
2.260000,1.501264,0.522085
2.270000,1.513439,0.519633
2.280000,1.525556,0.517153
2.290000,1.537615,0.514643
2.300000,1.549617,0.511770
2.310000,1.561555,0.509149
2.320000,1.573423,0.506496
2.330000,1.585221,0.503816
2.340000,1.596951,0.501109
2.350000,1.608614,0.498375
2.360000,1.620210,0.495616
2.370000,1.631741,0.492830
2.380000,1.643206,0.490018
2.390000,1.654607,0.487179
2.400000,1.665943,0.483855
2.410000,1.677207,0.480921
2.420000,1.688393,0.477956
2.430000,1.699503,0.474964
2.440000,1.710536,0.471946
2.450000,1.721496,0.468904
2.460000,1.732381,0.465838
2.470000,1.743195,0.462748
2.480000,1.753936,0.459634
2.490000,1.764606,0.456496
2.500000,1.775204,0.452712
2.510000,1.785723,0.449500
2.520000,1.796156,0.446258
2.530000,1.806505,0.442990
2.540000,1.816770,0.439698
2.550000,1.826954,0.436383
2.560000,1.837056,0.434870
2.570000,1.847079,0.434439
2.580000,1.857023,0.433982
2.590000,1.866888,0.433497
2.600000,1.876675,0.432907
2.610000,1.886375,0.432360
2.620000,1.895981,0.431784
2.630000,1.905496,0.431178
2.640000,1.914920,0.430544
2.650000,1.924254,0.429881
2.660000,1.933501,0.429191
2.670000,1.942660,0.428474
2.680000,1.951731,0.427729
2.690000,1.960717,0.426958
2.700000,1.969616,0.426165
2.710000,1.978421,0.425331
2.720000,1.987124,0.424468
2.730000,1.995726,0.423577
2.740000,2.004229,0.422658
2.750000,2.012635,0.421711
2.760000,2.020944,0.420736
2.770000,2.029156,0.419735
2.780000,2.037273,0.418707
2.790000,2.045294,0.417653
2.800000,2.053219,0.416656
2.810000,2.061041,0.415538
2.820000,2.068751,0.414393
2.830000,2.076351,0.413221
2.840000,2.083842,0.412022
2.850000,2.091226,0.410796
2.860000,2.098503,0.409543
2.870000,2.105673,0.408264
2.880000,2.112737,0.406959
2.890000,2.119696,0.405628
2.900000,2.126548,0.404430
2.910000,2.133286,0.403037
2.920000,2.139902,0.401618
2.930000,2.146396,0.400173
2.940000,2.152772,0.398703
2.950000,2.159028,0.397206
2.960000,2.165167,0.395684
2.970000,2.171188,0.394136
2.980000,2.177093,0.392564
2.990000,2.182880,0.390966
3.000000,2.188551,0.389600
3.010000,2.194096,0.387940
3.020000,2.199507,0.386258
3.030000,2.204786,0.384551
3.040000,2.209934,0.382820
3.050000,2.214953,0.381064
3.060000,2.219844,0.379284
3.070000,2.224606,0.377479
3.080000,2.229240,0.375651
3.090000,2.233747,0.373798
3.100000,2.238126,0.372245
3.110000,2.242369,0.370332
3.120000,2.246468,0.368398
3.130000,2.250426,0.366440
3.140000,2.254243,0.364458
3.150000,2.257921,0.362453
3.160000,2.261461,0.360424
3.170000,2.264865,0.358372
3.180000,2.268132,0.356296
3.190000,2.271264,0.354199
3.200000,2.274261,0.352474
3.210000,2.277114,0.350318
3.220000,2.279817,0.348142
3.230000,2.282372,0.345944
3.240000,2.284781,0.343725
3.250000,2.287046,0.341483
3.260000,2.289168,0.339219
3.270000,2.291149,0.336932
3.280000,2.292991,0.334624
3.290000,2.294694,0.332294
3.300000,2.296259,0.330403
3.310000,2.297679,0.328016
3.320000,2.298947,0.325612
3.330000,2.300066,0.323188
3.340000,2.301040,0.320743
3.350000,2.301871,0.318277
3.360000,2.302561,0.315790
3.370000,2.303112,0.313281
3.380000,2.303526,0.310752
3.390000,2.303805,0.308202
3.400000,2.303952,0.306146
3.410000,2.303958,0.303541
3.420000,2.303819,0.300920
3.430000,2.303540,0.298281
3.440000,2.303123,0.295622
3.450000,2.302572,0.292943
3.460000,2.301890,0.290244
3.470000,2.301080,0.287525
3.480000,2.300146,0.284786
3.490000,2.299090,0.282027
3.500000,2.297914,0.279804
3.510000,2.296615,0.276993
3.520000,2.295187,0.274167
3.530000,2.293636,0.271324
3.540000,2.291966,0.268463
3.550000,2.290183,0.265584
3.560000,2.288290,0.262685
3.570000,2.286292,0.259767
3.580000,2.284192,0.256830
3.590000,2.281994,0.253874
3.600000,2.279703,0.251494
3.610000,2.277315,0.248487
3.620000,2.274828,0.245648
3.630000,2.272247,0.246141
3.640000,2.269580,0.246606
3.650000,2.266831,0.247044
3.660000,2.264007,0.247454
3.670000,2.261113,0.247838
3.680000,2.258153,0.248195
3.690000,2.255134,0.248526
3.700000,2.252061,0.250895
3.710000,2.248931,0.251122
3.720000,2.245746,0.251322
3.730000,2.242512,0.251493
3.740000,2.239237,0.251638
3.750000,2.235928,0.251754
3.760000,2.232593,0.251844
3.770000,2.229237,0.251906
3.780000,2.225868,0.251942
3.790000,2.222492,0.251951
3.800000,2.219115,0.254070
3.810000,2.215740,0.253973
3.820000,2.212367,0.253848
3.830000,2.209005,0.253697
3.840000,2.205663,0.253519
3.850000,2.202351,0.253314
3.860000,2.199075,0.253083
3.870000,2.195844,0.252826
3.880000,2.192667,0.252543
3.890000,2.189550,0.252234
3.900000,2.186503,0.254119
3.910000,2.183526,0.253703
3.920000,2.180625,0.253260
3.930000,2.177810,0.252792
3.940000,2.175090,0.252300
3.950000,2.172474,0.251783
3.960000,2.169973,0.251241
3.970000,2.167594,0.250674
3.980000,2.165347,0.250084
3.990000,2.163240,0.249469
4.000000,2.161281,0.251072
4.010000,2.159475,0.250351
4.020000,2.157827,0.249606
4.030000,2.156348,0.248839
4.040000,2.155048,0.248049
4.050000,2.153935,0.247238
4.060000,2.153019,0.246404
4.070000,2.152310,0.245548
4.080000,2.151814,0.247133
4.090000,2.151541,0.249522
4.100000,2.151498,0.250275
4.110000,2.151691,0.252711
4.120000,2.152124,0.255111
4.130000,2.152809,0.257476
4.140000,2.153752,0.259805
4.150000,2.154963,0.262100
4.160000,2.156449,0.264361
4.170000,2.158218,0.266590
4.180000,2.160277,0.268788
4.190000,2.162632,0.270956
4.200000,2.165289,0.271538
4.210000,2.168253,0.273749
4.220000,2.171528,0.275928
4.230000,2.175121,0.278072
4.240000,2.179039,0.280183
4.250000,2.183288,0.282261
4.260000,2.187872,0.284308
4.270000,2.192797,0.286324
4.280000,2.198066,0.288310
4.290000,2.203683,0.290268
4.300000,2.209650,0.290690
4.310000,2.215971,0.292689
4.320000,2.222648,0.294657
4.330000,2.229684,0.296593
4.340000,2.237083,0.298497
4.350000,2.244846,0.300370
4.360000,2.252976,0.302212
4.370000,2.261473,0.304026
4.380000,2.270338,0.305812
4.390000,2.279570,0.307571
4.400000,2.289169,0.307866
4.410000,2.299135,0.309662
4.420000,2.309467,0.311428
4.430000,2.320166,0.313164
4.440000,2.331231,0.314870
4.450000,2.342660,0.316547
4.460000,2.354451,0.318195
4.470000,2.366601,0.319816
4.480000,2.379108,0.321410
4.490000,2.391967,0.322979
4.500000,2.405174,0.323347
4.510000,2.418727,0.325415
4.520000,2.432624,0.327594
4.530000,2.446859,0.329758
4.540000,2.461428,0.331906
4.550000,2.476328,0.334039
4.560000,2.491552,0.336156
4.570000,2.507095,0.338258
4.580000,2.522951,0.340344
4.590000,2.539114,0.342415
4.600000,2.555577,0.344283
4.610000,2.572331,0.346349
4.620000,2.589368,0.348666
4.630000,2.606681,0.351467
4.640000,2.624263,0.354248
4.650000,2.642105,0.357011
4.660000,2.660200,0.359756
4.670000,2.678541,0.362485
4.680000,2.697119,0.365198
4.690000,2.715926,0.367896
4.700000,2.734953,0.370262
4.710000,2.754190,0.372980
4.720000,2.773628,0.375676
4.730000,2.793259,0.378351
4.740000,2.813073,0.381006
4.750000,2.833064,0.383643
4.760000,2.853222,0.386263
4.770000,2.873539,0.388867
4.780000,2.894006,0.391456
4.790000,2.914616,0.394029
4.800000,2.935359,0.396251
4.810000,2.956225,0.398847
4.820000,2.977205,0.401421
4.830000,2.998290,0.403975
4.840000,3.019473,0.406509
4.850000,3.040745,0.409024
4.860000,3.062098,0.411522
4.870000,3.083525,0.414004
4.880000,3.105017,0.416470
4.890000,3.126566,0.418922
