k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm
0,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,8.948398e-14
1,0.010000,1.880686e-15,2.157382e-15,-9.211795e-13,2.157382e-15,-9.168647e-13,9.168647e-13,5.440353e-06
2,0.020000,1.950852e-14,2.187605e-14,-5.719077e-11,2.187605e-14,-5.714702e-11,5.714702e-11,4.003422e-05
3,0.030000,7.914835e-13,7.712524e-13,-1.230292e-08,7.712524e-13,-1.230137e-08,1.230137e-08,5.102420e-04
4,0.040000,1.724938e-10,1.731541e-10,-3.914205e-06,1.731541e-10,-3.913859e-06,3.913859e-06,8.460853e-03
5,0.050000,5.743162e-08,5.803274e-08,-1.360272e-03,5.803274e-08,-1.360156e-03,1.360156e-03,1.609713e-01
6,0.060000,2.003633e-05,2.031261e-05,-4.731375e-01,2.031261e-05,-4.730968e-01,4.730968e-01,3.122578e+00
7,0.070000,4.542382e-03,4.618902e-03,-3.541236e+01,4.618902e-03,-3.540312e+01,3.540312e+01,2.000000e+01
8,0.080000,1.201809e-01,1.209949e-01,-2.320819e+02,1.209949e-01,-2.318399e+02,2.318399e+02,2.000000e+01
9,0.090000,2.408851e-01,2.572415e-01,-3.105664e+02,2.572415e-01,-3.100519e+02,3.100519e+02,2.000000e+01
10,0.100000,1.693592e-01,1.834453e-01,-2.629437e+02,1.834453e-01,-2.625768e+02,2.625768e+02,2.000000e+01
11,0.110000,2.202679e-01,2.378952e-01,-2.902989e+02,2.378952e-01,-2.898231e+02,2.898231e+02,2.000000e+01
12,0.120000,1.559344e-01,1.586737e-01,-2.673454e+02,1.586737e-01,-2.670280e+02,2.670280e+02,2.000000e+01
13,0.130000,2.357676e-01,2.453641e-01,-2.890078e+02,2.453641e-01,-2.885171e+02,2.885171e+02,2.000000e+01
14,0.140000,1.678828e-01,1.681434e-01,-2.701951e+02,1.681434e-01,-2.698588e+02,2.698588e+02,2.000000e+01
15,0.150000,2.490435e-01,2.544684e-01,-2.888586e+02,2.544684e-01,-2.883496e+02,2.883496e+02,2.000000e+01
16,0.160000,1.920883e-01,1.925070e-01,-2.743729e+02,1.925070e-01,-2.739879e+02,2.739879e+02,2.000000e+01
17,0.170000,2.578023e-01,2.596725e-01,-2.879981e+02,2.596725e-01,-2.874788e+02,2.874788e+02,2.000000e+01
18,0.180000,2.222378e-01,2.230107e-01,-2.782243e+02,2.230107e-01,-2.777782e+02,2.777782e+02,2.000000e+01
19,0.190000,2.674599e-01,2.649118e-01,-2.864546e+02,2.649118e-01,-2.859248e+02,2.859248e+02,2.000000e+01
20,0.200000,2.556907e-01,2.564541e-01,-2.799818e+02,2.564541e-01,-2.794689e+02,2.794689e+02,2.000000e+01
21,0.210000,2.803727e-01,2.733655e-01,-2.834441e+02,2.733655e-01,-2.828974e+02,2.828974e+02,2.000000e+01
22,0.220000,2.859785e-01,2.847869e-01,-2.821782e+02,2.847869e-01,-2.816087e+02,2.816087e+02,2.000000e+01
23,0.230000,2.921746e-01,2.815197e-01,-2.829949e+02,2.815197e-01,-2.824319e+02,2.824319e+02,2.000000e+01
