k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm,P_weld_W,P_aocs_W,dyn_residual_norm
0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,8.948398e-14,0.000000e+00,0.000000e+00,2.462040e-05
1,1.000000e-02,1.880686e-15,2.157382e-15,-9.211795e-13,2.157382e-15,-9.168647e-13,9.168647e-13,5.440353e-06,9.228448e-13,0.000000e+00,6.887500e-05
2,2.000000e-02,1.950852e-14,2.187605e-14,-5.719077e-11,2.187605e-14,-5.714702e-11,5.714702e-11,4.003422e-05,5.664214e-11,0.000000e+00,5.029711e-04
3,3.000000e-02,7.914835e-13,7.712525e-13,-1.230291e-08,7.712525e-13,-1.230137e-08,1.230137e-08,5.102419e-04,1.225335e-08,0.000000e+00,5.998092e-03
4,4.000000e-02,1.724937e-10,1.731541e-10,-3.914214e-06,1.731541e-10,-3.913868e-06,3.913868e-06,8.460878e-03,3.899713e-06,0.000000e+00,9.949639e-02
5,5.000000e-02,5.743195e-08,5.803307e-08,-1.360222e-03,5.803307e-08,-1.360106e-03,1.360106e-03,1.609642e-01,1.355492e-03,0.000000e+00,1.820550e+00
6,6.000000e-02,2.003455e-05,2.031083e-05,-4.734869e-01,2.031083e-05,-4.734463e-01,4.734463e-01,3.125363e+00,4.718979e-01,0.000000e+00,3.130327e+01
7,7.000000e-02,4.549155e-03,4.625645e-03,-3.553597e+01,4.625645e-03,-3.552672e+01,3.552672e+01,2.000000e+01,3.534343e+01,0.000000e+00,1.466551e+02
8,8.000000e-02,1.195927e-01,1.203517e-01,-2.330371e+02,1.203517e-01,-2.327964e+02,2.327964e+02,2.000000e+01,2.308423e+02,0.000000e+00,2.459780e+02
9,9.000000e-02,2.215383e-01,2.348810e-01,-3.042576e+02,2.348810e-01,-3.037878e+02,3.037878e+02,2.000000e+01,2.941290e+02,0.000000e+00,3.390876e+02
10,1.000000e-01,2.226965e-01,2.383530e-01,-2.846582e+02,2.383530e-01,-2.841815e+02,2.841815e+02,2.000000e+01,2.727799e+02,0.000000e+00,3.560446e+02
11,1.100000e-01,2.208349e-01,2.282954e-01,-2.944688e+02,2.282954e-01,-2.940122e+02,2.940122e+02,2.000000e+01,2.857044e+02,0.000000e+00,3.076521e+02
12,1.200000e-01,1.699052e-01,1.699772e-01,-2.728532e+02,1.699772e-01,-2.725133e+02,2.725133e+02,2.000000e+01,2.619432e+02,0.000000e+00,2.982103e+02
13,1.300000e-01,1.906301e-01,1.954763e-01,-2.875441e+02,1.954763e-01,-2.871531e+02,2.871531e+02,2.000000e+01,2.788392e+02,0.000000e+00,3.067236e+02
14,1.400000e-01,1.732226e-01,1.686641e-01,-2.787764e+02,1.686641e-01,-2.784390e+02,2.784390e+02,2.000000e+01,2.685766e+02,0.000000e+00,3.115949e+02
15,1.500000e-01,1.844769e-01,1.889859e-01,-2.861283e+02,1.889859e-01,-2.857503e+02,2.857503e+02,2.000000e+01,2.764782e+02,0.000000e+00,3.184007e+02
16,1.600000e-01,1.790534e-01,1.744569e-01,-2.830020e+02,1.744569e-01,-2.826531e+02,2.826531e+02,2.000000e+01,2.735268e+02,0.000000e+00,3.221234e+02
17,1.700000e-01,1.836638e-01,1.892522e-01,-2.862127e+02,1.892522e-01,-2.858342e+02,2.858342e+02,2.000000e+01,2.757918e+02,0.000000e+00,3.263522e+02
18,1.800000e-01,1.816100e-01,1.782760e-01,-2.845832e+02,1.782760e-01,-2.842266e+02,2.842266e+02,2.000000e+01,2.754946e+02,0.000000e+00,3.210099e+02
19,1.900000e-01,1.757773e-01,1.831715e-01,-2.845637e+02,1.831715e-01,-2.841973e+02,2.841973e+02,2.000000e+01,2.738378e+02,0.000000e+00,3.262886e+02
20,2.000000e-01,1.859463e-01,1.835831e-01,-2.860125e+02,1.835831e-01,-2.856454e+02,2.856454e+02,2.000000e+01,2.771985e+02,0.000000e+00,3.203453e+02
21,2.100000e-01,1.679978e-01,1.775208e-01,-2.828800e+02,1.775208e-01,-2.825249e+02,2.825249e+02,2.000000e+01,2.719834e+02,0.000000e+00,3.245700e+02
22,2.200000e-01,1.904326e-01,1.887261e-01,-2.870688e+02,1.887261e-01,-2.866914e+02,2.866914e+02,2.000000e+01,2.784740e+02,0.000000e+00,3.199901e+02
23,2.300000e-01,1.623475e-01,1.742180e-01,-2.815515e+02,1.742180e-01,-2.812030e+02,2.812030e+02,2.000000e+01,2.705111e+02,0.000000e+00,3.229295e+02
24,2.400000e-01,1.947736e-01,1.933887e-01,-2.877910e+02,1.933887e-01,-2.874043e+02,2.874043e+02,2.000000e+01,2.793829e+02,0.000000e+00,3.198625e+02
25,2.500000e-01,1.591374e-01,1.734631e-01,-2.806013e+02,1.734631e-01,-2.802544e+02,2.802544e+02,2.000000e+01,2.694148e+02,0.000000e+00,3.216916e+02
26,2.600000e-01,1.989230e-01,1.975242e-01,-2.882349e+02,1.975242e-01,-2.878399e+02,2.878399e+02,2.000000e+01,2.799901e+02,0.000000e+00,3.198430e+02
27,2.700000e-01,1.581660e-01,1.749198e-01,-2.799764e+02,1.749198e-01,-2.796266e+02,2.796266e+02,2.000000e+01,2.686416e+02,0.000000e+00,3.207832e+02
28,2.800000e-01,2.027795e-01,2.010720e-01,-2.883826e+02,2.010720e-01,-2.879804e+02,2.879804e+02,2.000000e+01,2.802902e+02,0.000000e+00,3.189835e+02
29,2.900000e-01,1.583692e-01,1.769966e-01,-2.794565e+02,1.769966e-01,-2.791025e+02,2.791025e+02,2.000000e+01,2.680358e+02,0.000000e+00,3.195454e+02
