k,t_s,T_full_J,T_jj_J,dq_dot_tau_W,alpha_times_T_jj_W,passivity_lhs_W,constraint_slack_W,tau_max_Nm
0,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,8.948398e-14
1,0.010000,2.057792e-15,2.515130e-15,-4.280609e-13,2.515130e-15,-4.230306e-13,4.230306e-13,3.619081e-06
2,0.020000,5.812994e-15,6.958882e-15,-7.580256e-13,6.958882e-15,-7.441078e-13,7.441078e-13,3.774521e-06
3,0.030000,3.058179e-15,2.646103e-15,-1.849896e-12,2.646103e-15,-1.844604e-12,1.844604e-12,7.184637e-06
4,0.040000,1.126609e-14,1.105710e-14,-6.170655e-12,1.105710e-14,-6.148541e-12,6.148541e-12,1.364426e-05
5,0.050000,1.532513e-14,1.457906e-14,-1.923668e-11,1.457906e-14,-1.920752e-11,1.920752e-11,2.536180e-05
6,0.060000,6.465945e-14,6.337182e-14,-6.599435e-11,6.337182e-14,-6.586761e-11,6.586761e-11,4.744681e-05
7,0.070000,1.872402e-13,1.939213e-13,-2.197795e-10,1.939213e-13,-2.193917e-10,2.193917e-10,8.775185e-05
8,0.080000,6.539577e-13,6.614300e-13,-7.453311e-10,6.614300e-13,-7.440083e-10,7.440083e-10,1.625047e-04
9,0.090000,2.166163e-12,2.240496e-12,-2.514769e-09,2.240496e-12,-2.510288e-09,2.510288e-09,2.998388e-04
