k,t_s,T_full_J,P_weld_W,tau_max_Nm,Jcq_norm_full,Jcq_norm_lin,Jcq_norm_ang,Jcq_A_lin_x,Jcq_A_lin_y,Jcq_A_lin_z,Jcq_A_ang_x,Jcq_A_ang_y,Jcq_A_ang_z,Jcq_B_lin_x,Jcq_B_lin_y,Jcq_B_lin_z,Jcq_B_ang_x,Jcq_B_ang_y,Jcq_B_ang_z
0,0.000000e+00,0.000000e+00,0.000000e+00,8.948398e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-02,1.880686e-15,9.228448e-13,5.440353e-06,8.807939e-08,3.246187e-08,8.187922e-08,-1.513117e-08,1.006505e-08,8.546914e-09,-1.398076e-08,-5.503594e-08,-8.115580e-09,-2.025899e-08,1.031836e-08,1.155727e-08,-2.048547e-08,-5.411485e-08,-8.115194e-09
2,2.000000e-02,1.950852e-14,5.664214e-11,4.003422e-05,1.516772e-06,3.220089e-08,1.516430e-06,-1.476300e-08,9.643400e-09,7.018148e-09,-6.353147e-09,7.842112e-08,7.719019e-07,-2.000338e-08,1.088321e-08,1.257467e-08,-1.010033e-07,1.271967e-07,1.292732e-06
3,3.000000e-02,7.914835e-13,1.225335e-08,5.102419e-04,2.164109e-05,7.754613e-08,2.164095e-05,-3.388510e-08,1.986744e-08,4.189759e-08,-1.749116e-07,-1.225928e-06,-1.590383e-05,-3.711652e-08,1.629598e-08,3.273964e-08,1.507752e-07,-7.729625e-07,-1.460291e-05
4,4.000000e-02,1.724937e-10,3.899713e-06,8.460878e-03,3.781890e-04,5.351294e-07,3.781886e-04,1.588980e-07,-8.436758e-08,-4.084021e-07,4.333604e-06,1.525073e-05,3.223457e-04,-6.411509e-09,-9.803217e-08,-2.784840e-07,4.039580e-06,2.226086e-06,1.970971e-04
5,5.000000e-02,5.743195e-08,1.355492e-03,1.609642e-01,6.984221e-03,8.844691e-06,6.984215e-03,-1.948607e-06,9.513123e-07,6.565367e-06,-8.954112e-05,-2.387137e-04,-6.228826e-03,1.819392e-06,1.853116e-06,4.866027e-06,-1.319840e-04,4.308612e-05,-3.145903e-03
6,6.000000e-02,2.003455e-05,4.718979e-01,3.125363e+00,1.277064e-01,1.575938e-04,1.277063e-01,2.523726e-05,-1.177957e-05,-1.136285e-04,1.746333e-03,4.132262e-03,1.151870e-01,-4.897658e-05,-3.367770e-05,-8.726843e-05,2.879260e-03,-1.420658e-03,5.486749e-02
7,7.000000e-02,4.549155e-03,3.534343e+01,2.000000e+01,1.487027e+00,2.671260e-03,1.487025e+00,1.910617e-04,6.889519e-05,1.817541e-03,-3.837592e-02,-6.127152e-02,-1.325349e+00,8.924115e-04,1.934789e-04,1.719619e-03,-3.596535e-02,2.314560e-02,-6.690576e-01
8,8.000000e-02,1.195927e-01,2.308423e+02,2.000000e+01,7.694791e+00,1.322315e-02,7.694780e+00,-4.838632e-03,3.108682e-03,-5.789818e-03,2.970411e-01,4.875302e-02,7.042133e+00,-5.773409e-03,3.575259e-03,-7.882813e-03,-1.414483e-01,-4.137294e-02,3.083126e+00
9,9.000000e-02,2.215383e-01,2.941290e+02,2.000000e+01,8.646466e+00,1.151736e-02,8.646458e+00,-3.315360e-03,9.647759e-04,7.644465e-03,-2.063850e-02,-6.891059e-01,-5.582207e+00,2.007239e-05,-8.429854e-04,7.847187e-03,3.596434e-01,-1.439594e-01,-6.555521e+00
10,1.000000e-01,2.226965e-01,2.727799e+02,2.000000e+01,7.736310e+00,1.499752e-02,7.736295e+00,8.775750e-04,6.318135e-03,-3.528045e-03,-1.969687e-01,3.420176e-01,5.225182e+00,-3.972238e-03,8.623102e-03,-9.036204e-03,-7.212846e-01,1.925689e-02,5.645471e+00
11,1.100000e-01,2.208349e-01,2.857044e+02,2.000000e+01,8.309928e+00,1.501265e-02,8.309914e+00,-2.426626e-03,-5.963685e-05,7.828058e-03,2.137198e-02,-6.791346e-01,-6.205662e+00,1.309215e-03,-3.263067e-03,1.207673e-02,4.458129e-01,-2.110615e-01,-5.462551e+00
12,1.200000e-01,1.699052e-01,2.619432e+02,2.000000e+01,7.844327e+00,1.289097e-02,7.844316e+00,7.113651e-04,6.085525e-03,-3.018171e-03,-1.522304e-01,3.354971e-01,5.140028e+00,-4.041209e-03,7.848396e-03,-6.449753e-03,-5.749154e-01,-1.004076e-01,5.885326e+00
13,1.300000e-01,1.906301e-01,2.788392e+02,2.000000e+01,8.189179e+00,1.454540e-02,8.189166e+00,-2.151004e-03,-1.611739e-03,7.321423e-03,8.614296e-02,-6.754568e-01,-6.071995e+00,3.855396e-03,-2.263471e-03,1.143475e-02,4.024592e-01,-1.184748e-01,-5.436327e+00
14,1.400000e-01,1.732226e-01,2.685766e+02,2.000000e+01,7.930654e+00,1.278041e-02,7.930644e+00,7.649745e-04,5.236673e-03,-3.616640e-03,-1.270101e-01,3.493702e-01,5.331853e+00,-3.288632e-03,7.715975e-03,-7.204139e-03,-6.353457e-01,1.099804e-03,5.824482e+00
15,1.500000e-01,1.844769e-01,2.764782e+02,2.000000e+01,8.107743e+00,1.418130e-02,8.107731e+00,-2.161011e-03,-1.983309e-03,6.543962e-03,1.552340e-01,-6.711690e-01,-5.885289e+00,3.212118e-03,-3.191765e-03,1.136562e-02,4.139412e-01,-1.121336e-01,-5.517262e+00
16,1.600000e-01,1.790534e-01,2.735268e+02,2.000000e+01,7.981650e+00,1.275698e-02,7.981640e+00,8.742174e-04,5.182274e-03,-3.956893e-03,-1.287588e-01,3.785639e-01,5.486050e+00,-3.442673e-03,7.030752e-03,-7.627566e-03,-6.569656e-01,5.654827e-02,5.745880e+00
17,1.700000e-01,1.836638e-01,2.757918e+02,2.000000e+01,8.065443e+00,1.433556e-02,8.065430e+00,-2.099465e-03,-1.978844e-03,6.315880e-03,1.879151e-01,-6.460066e-01,-5.765698e+00,2.601156e-03,-3.969766e-03,1.160902e-02,4.415214e-01,-1.326128e-01,-5.580567e+00
18,1.800000e-01,1.816100e-01,2.754946e+02,2.000000e+01,8.008379e+00,1.258113e-02,8.008369e+00,1.016804e-03,5.253049e-03,-3.762343e-03,-1.478989e-01,4.192533e-01,5.573363e+00,-3.466740e-03,6.672085e-03,-7.678948e-03,-6.505917e-01,8.029368e-02,5.695984e+00
19,1.900000e-01,1.757773e-01,2.738378e+02,2.000000e+01,8.043087e+00,1.444983e-02,8.043074e+00,-1.997883e-03,-2.051812e-03,6.529239e-03,1.923920e-01,-6.038690e-01,-5.703302e+00,2.737080e-03,-4.109355e-03,1.155798e-02,4.493858e-01,-1.282278e-01,-5.616345e+00
20,2.000000e-01,1.859463e-01,2.771985e+02,2.000000e+01,8.022425e+00,1.246346e-02,8.022415e+00,1.084773e-03,5.144306e-03,-3.503185e-03,-1.640626e-01,4.630034e-01,5.616513e+00,-3.354890e-03,6.582736e-03,-7.799814e-03,-6.439985e-01,1.106644e-01,5.669714e+00
21,2.100000e-01,1.679978e-01,2.719834e+02,2.000000e+01,8.031514e+00,1.455139e-02,8.031500e+00,-1.927856e-03,-2.180873e-03,6.721866e-03,1.904795e-01,-5.594659e-01,-5.673758e+00,2.887968e-03,-4.144529e-03,1.151387e-02,4.551726e-01,-1.180861e-01,-5.634098e+00
22,2.200000e-01,1.904326e-01,2.784740e+02,2.000000e+01,8.029775e+00,1.240006e-02,8.029765e+00,1.104558e-03,5.022881e-03,-3.361685e-03,-1.731367e-01,5.049116e-01,5.636347e+00,-3.298937e-03,6.545452e-03,-7.892104e-03,-6.324046e-01,1.416245e-01,5.657191e+00
23,2.300000e-01,1.623475e-01,2.705111e+02,2.000000e+01,8.025388e+00,1.460262e-02,8.025375e+00,-1.901207e-03,-2.267865e-03,6.826232e-03,1.866194e-01,-5.172688e-01,-5.660614e+00,2.960284e-03,-4.140995e-03,1.148783e-02,4.621115e-01,-1.068561e-01,-5.642405e+00
24,2.400000e-01,1.947736e-01,2.793829e+02,2.000000e+01,8.033877e+00,1.240763e-02,8.033867e+00,1.093156e-03,4.955200e-03,-3.332501e-03,-1.753651e-01,5.431075e-01,5.645118e+00,-3.293915e-03,6.536484e-03,-7.969895e-03,-6.159917e-01,1.710953e-01,5.651657e+00
25,2.500000e-01,1.591374e-01,2.694148e+02,2.000000e+01,8.022036e+00,1.459869e-02,8.022023e+00,-1.912574e-03,-2.291386e-03,6.868945e-03,1.810392e-01,-4.787683e-01,-5.655089e+00,2.967099e-03,-4.105208e-03,1.146187e-02,4.699213e-01,-9.542218e-02,-5.646316e+00
26,2.600000e-01,1.989230e-01,2.799901e+02,2.000000e+01,8.036415e+00,1.247569e-02,8.036405e+00,1.062710e-03,4.939816e-03,-3.379132e-03,-1.718202e-01,5.766627e-01,5.648982e+00,-3.319174e-03,6.550490e-03,-8.047813e-03,-5.958011e-01,1.981074e-01,5.649471e+00
27,2.700000e-01,1.581660e-01,2.686416e+02,2.000000e+01,8.020177e+00,1.455747e-02,8.020164e+00,-1.949305e-03,-2.265276e-03,6.883979e-03,1.730709e-01,-4.445456e-01,-5.652969e+00,2.932533e-03,-4.046241e-03,1.142925e-02,4.776700e-01,-8.383809e-02,-5.648380e+00
28,2.800000e-01,2.027795e-01,2.802902e+02,2.000000e+01,8.038127e+00,1.258015e-02,8.038117e+00,1.024828e-03,4.955153e-03,-3.469744e-03,-1.637384e-01,6.050237e-01,5.650774e+00,-3.358344e-03,6.578598e-03,-8.127782e-03,-5.728334e-01,2.220300e-01,5.648874e+00
29,2.900000e-01,1.583692e-01,2.680358e+02,2.000000e+01,8.019039e+00,1.453801e-02,8.019026e+00,-1.962940e-03,-2.213798e-03,6.919754e-03,1.591468e-01,-4.137810e-01,-5.652384e+00,2.910614e-03,-4.002435e-03,1.141164e-02,4.832960e-01,-7.132893e-02,-5.649790e+00
30,3.000000e-01,2.061877e-01,2.803573e+02,2.000000e+01,8.039352e+00,1.264446e-02,8.039342e+00,1.012965e-03,4.956658e-03,-3.552108e-03,-1.538239e-01,6.283146e-01,5.651679e+00,-3.378531e-03,6.591439e-03,-8.173659e-03,-5.480300e-01,2.425343e-01,5.649065e+00
31,3.100000e-01,1.597452e-01,2.676824e+02,2.000000e+01,8.018450e+00,1.457728e-02,8.018437e+00,-1.949907e-03,-2.173783e-03,7.000155e-03,1.406373e-01,-3.880343e-01,-5.652421e+00,2.908305e-03,-3.973001e-03,1.143348e-02,4.874132e-01,-5.891579e-02,-5.651024e+00
32,3.200000e-01,2.086713e-01,2.801635e+02,2.000000e+01,8.040111e+00,1.264848e-02,8.040101e+00,1.033610e-03,4.933996e-03,-3.605405e-03,-1.426134e-01,6.459594e-01,5.652196e+00,-3.367805e-03,6.589642e-03,-8.173556e-03,-5.217043e-01,2.590811e-01,5.649691e+00
33,3.300000e-01,1.620321e-01,2.676020e+02,2.000000e+01,8.018282e+00,1.468799e-02,8.018269e+00,-1.901842e-03,-2.150565e-03,7.134158e-03,1.180783e-01,-3.680877e-01,-5.652670e+00,2.936093e-03,-3.960872e-03,1.150173e-02,4.900992e-01,-4.706756e-02,-5.652266e+00
34,3.400000e-01,2.099191e-01,2.797031e+02,2.000000e+01,8.040395e+00,1.258066e-02,8.040385e+00,1.093409e-03,4.885677e-03,-3.616183e-03,-1.309979e-01,6.578369e-01,5.652503e+00,-3.317619e-03,6.570853e-03,-8.120852e-03,-4.943499e-01,2.713235e-01,5.650584e+00
35,3.500000e-01,1.649674e-01,2.677989e+02,2.000000e+01,8.018448e+00,1.488092e-02,8.018434e+00,-1.811266e-03,-2.147137e-03,7.327139e-03,9.195037e-02,-3.544393e-01,-5.652927e+00,3.002191e-03,-3.969733e-03,1.162291e-02,4.914004e-01,-3.612089e-02,-5.653569e+00
36,3.600000e-01,2.097692e-01,2.789782e+02,2.000000e+01,8.040192e+00,1.243141e-02,8.040182e+00,1.197444e-03,4.810796e-03,-3.573062e-03,-1.199019e-01,6.641009e-01,5.652651e+00,-3.222195e-03,6.532727e-03,-8.008523e-03,-4.664813e-01,2.790323e-01,5.651654e+00
37,3.700000e-01,1.683696e-01,2.682688e+02,2.000000e+01,8.018888e+00,1.516699e-02,8.018873e+00,-1.672478e-03,-2.166234e-03,7.583233e-03,6.281300e-02,-3.473985e-01,-5.653078e+00,3.112620e-03,-4.002375e-03,1.180402e-02,4.914075e-01,-2.634877e-02,-5.654930e+00
38,3.800000e-01,2.082335e-01,2.779975e+02,2.000000e+01,8.039507e+00,1.219413e-02,8.039497e+00,1.349097e-03,4.709191e-03,-3.465975e-03,-1.101943e-01,6.651280e-01,5.652643e+00,-3.077796e-03,6.473888e-03,-7.829641e-03,-4.386066e-01,2.820827e-01,5.652845e+00
39,3.900000e-01,1.721722e-01,2.689996e+02,2.000000e+01,8.019561e+00,1.555661e-02,8.019546e+00,-1.481659e-03,-2.209854e-03,7.905663e-03,3.132318e-02,-3.471092e-01,-5.653048e+00,3.271513e-03,-4.060277e-03,1.205161e-02,4.902561e-01,-1.796849e-02,-5.656326e+00
40,4.000000e-01,2.055097e-01,2.767770e+02,2.000000e+01,8.038372e+00,1.186665e-02,8.038363e+00,1.550160e-03,4.581800e-03,-3.286373e-03,-1.026416e-01,6.614802e-01,5.652474e+00,-2.882384e-03,6.394039e-03,-7.578218e-03,-4.112228e-01,2.804504e-01,5.654111e+00
41,4.100000e-01,1.764320e-01,2.699720e+02,2.000000e+01,8.020442e+00,1.605900e-02,8.020426e+00,-1.236799e-03,-2.279060e-03,8.296631e-03,-1.767779e-03,-3.535620e-01,-5.652786e+00,3.481289e-03,-4.143688e-03,1.237110e-02,4.881160e-01,-1.114156e-02,-5.657726e+00
42,4.200000e-01,2.019741e-01,2.753402e+02,2.000000e+01,8.036844e+00,1.145234e-02,8.036836e+00,1.800982e-03,4.430618e-03,-3.027553e-03,-9.787175e-02,6.538662e-01,5.652139e+00,-2.635432e-03,6.293790e-03,-7.249749e-03,-3.848112e-01,2.742079e-01,5.655410e+00
43,4.300000e-01,1.813181e-01,2.711592e+02,2.000000e+01,8.021519e+00,1.668139e-02,8.021502e+00,-9.375639e-04,-2.374050e-03,8.757145e-03,-3.562488e-02,-3.666051e-01,-5.652257e+00,3.742787e-03,-4.251856e-03,1.276633e-02,4.851783e-01,-5.974449e-03,-5.659097e+00
44,4.400000e-01,1.981523e-01,2.737174e+02,2.000000e+01,8.035001e+00,1.096136e-02,8.034994e+00,2.100625e-03,4.258480e-03,-2.684922e-03,-9.634757e-02,6.430984e-01,5.651638e+00,-2.337763e-03,6.174416e-03,-6.841541e-03,-3.598340e-01,2.635197e-01,5.656707e+00
45,4.500000e-01,1.870832e-01,2.725283e+02,2.000000e+01,8.022786e+00,1.742840e-02,8.022767e+00,-5.851120e-04,-2.494320e-03,9.286875e-03,-6.934568e-02,-3.859557e-01,-5.651441e+00,4.055422e-03,-4.383310e-03,1.323931e-02,4.816426e-01,-2.521024e-03,-5.660410e+00
46,4.600000e-01,1.946737e-01,2.719460e+02,2.000000e+01,8.032935e+00,1.041206e-02,8.032928e+00,2.447019e-03,4.068780e-03,-2.256168e-03,-9.835037e-02,6.300494e-01,5.650975e+00,-1.991388e-03,6.037622e-03,-6.352901e-03,-3.367300e-01,2.486353e-01,5.657966e+00
47,4.700000e-01,1.940223e-01,2.740402e+02,2.000000e+01,8.024238e+00,1.830149e-02,8.024217e+00,-1.818921e-04,-2.638860e-03,9.884032e-03,-1.019818e-01,-4.112109e-01,-5.650329e+00,4.417351e-03,-4.536117e-03,1.379001e-02,4.777050e-01,-7.862440e-04,-5.661638e+00
48,4.800000e-01,1.922121e-01,2.700694e+02,2.000000e+01,8.030743e+00,9.832863e-03,8.030736e+00,2.837112e-03,3.865193e-03,-1.741352e-03,-1.039745e-01,6.156102e-01,5.650152e+00,-1.599352e-03,5.885323e-03,-5.785241e-03,-3.159105e-01,2.298828e-01,5.659159e+00
49,4.900000e-01,2.024220e-01,2.756509e+02,2.000000e+01,8.025870e+00,1.929851e-02,8.025847e+00,2.685539e-04,-2.806332e-03,1.054527e-02,-1.325646e-01,-4.418590e-01,-5.648920e+00,4.825635e-03,-4.708116e-03,1.441627e-02,4.735469e-01,-7.308349e-04,-5.662760e+00
