metric,value,threshold,status
torso_pos_err_peak_mm,889.717193,10.000000,FAIL
torso_ori_err_peak_deg,179.879666,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,83.730647,15.000000,FAIL
hw_saturation_ratio_peak,0.595904,1.000000,PASS
hw_saturation_ratio_rms,0.308458,0.700000,PASS
platform_rotation_total_deg,5.968843,5.000000,FAIL
platform_omega_peak_deg_s,0.909325,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.963576,0.950000,PASS
nmpc_infeasibility_rate,0.006623,0.020000,PASS
torso_ori_peak_deg_SS,7.940361,5.000000,FAIL
torso_ori_peak_deg_DS,179.879666,5.000000,FAIL
torso_ori_peak_deg_global,179.879666,5.000000,WARN
torso_pos_peak_mm_SS,101.771451,10.000000,FAIL
torso_pos_peak_mm_DS,889.717193,10.000000,FAIL
torso_pos_peak_mm_global,889.717193,10.000000,WARN
ee_pos_peak_mm_SS,105.681882,5.000000,FAIL
ee_pos_peak_mm_DS,1190.895125,5.000000,FAIL
ee_pos_peak_mm_global,1190.895125,5.000000,WARN
ee_ori_peak_deg_SS,2.019326,5.000000,PASS
ee_ori_peak_deg_DS,179.997230,5.000000,FAIL
ee_ori_peak_deg_global,179.997230,5.000000,WARN
hw_sat_peak_SS,0.595904,1.000000,PASS
hw_sat_peak_DS,0.235356,1.000000,PASS
hw_sat_peak_global,0.595904,1.000000,WARN
tau_peak_Nm_SS,4.199646,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,7.640151,,INFO
ds_entry_torso_ori_deg,2.351845,,INFO
q_torso_ref_ss_to_ds_jump_deg,9.383631,,INFO
