metric,value,threshold,status
torso_pos_err_peak_mm,912.359889,10.000000,FAIL
torso_ori_err_peak_deg,178.601638,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,83.738828,15.000000,FAIL
hw_saturation_ratio_peak,0.029872,1.000000,PASS
hw_saturation_ratio_rms,0.015465,0.700000,PASS
platform_rotation_total_deg,4.578027,5.000000,PASS
platform_omega_peak_deg_s,0.967507,2.000000,PASS
tau_w_peak_ratio,0.103610,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.976821,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,7.940859,5.000000,FAIL
torso_ori_peak_deg_DS,178.601638,5.000000,FAIL
torso_ori_peak_deg_global,178.601638,5.000000,WARN
torso_pos_peak_mm_SS,101.836979,10.000000,FAIL
torso_pos_peak_mm_DS,912.359889,10.000000,FAIL
torso_pos_peak_mm_global,912.359889,10.000000,WARN
ee_pos_peak_mm_SS,105.706165,5.000000,FAIL
ee_pos_peak_mm_DS,1749.086170,5.000000,FAIL
ee_pos_peak_mm_global,1749.086170,5.000000,WARN
ee_ori_peak_deg_SS,2.018220,5.000000,PASS
ee_ori_peak_deg_DS,178.598107,5.000000,FAIL
ee_ori_peak_deg_global,178.598107,5.000000,WARN
hw_sat_peak_SS,0.029872,1.000000,PASS
hw_sat_peak_DS,0.011796,1.000000,PASS
hw_sat_peak_global,0.029872,1.000000,WARN
tau_peak_Nm_SS,4.199739,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,0.103610,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,0.103610,1.000000,WARN
ss_end_torso_ori_deg,7.639975,,INFO
ds_entry_torso_ori_deg,2.351895,,INFO
q_torso_ref_ss_to_ds_jump_deg,9.383586,,INFO
