metric,value,threshold,status
torso_pos_err_peak_mm,790.461552,10.000000,FAIL
torso_ori_err_peak_deg,61.240456,5.000000,FAIL
ee_pos_err_at_dock_mm,,5.000000,SKIP
ee_ori_err_at_dock_deg,,5.000000,SKIP
com_tracking_err_rms_mm,71.628965,15.000000,FAIL
hw_saturation_ratio_peak,0.595904,1.000000,PASS
hw_saturation_ratio_rms,0.325112,0.700000,PASS
platform_rotation_total_deg,4.570539,5.000000,PASS
platform_omega_peak_deg_s,0.664679,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.836257,0.950000,FAIL
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,7.940361,5.000000,FAIL
torso_ori_peak_deg_DS,61.240456,5.000000,FAIL
torso_ori_peak_deg_global,61.240456,5.000000,WARN
torso_pos_peak_mm_SS,101.771451,10.000000,FAIL
torso_pos_peak_mm_DS,790.461552,10.000000,FAIL
torso_pos_peak_mm_global,790.461552,10.000000,WARN
ee_pos_peak_mm_SS,105.681882,5.000000,FAIL
ee_pos_peak_mm_DS,1903.996597,5.000000,FAIL
ee_pos_peak_mm_global,1903.996597,5.000000,WARN
ee_ori_peak_deg_SS,2.019326,5.000000,PASS
ee_ori_peak_deg_DS,135.279561,5.000000,FAIL
ee_ori_peak_deg_global,135.279561,5.000000,WARN
hw_sat_peak_SS,0.595904,1.000000,PASS
hw_sat_peak_DS,0.279344,1.000000,PASS
hw_sat_peak_global,0.595904,1.000000,WARN
tau_peak_Nm_SS,4.199646,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,7.868997,,INFO
ds_entry_torso_ori_deg,2.334496,,INFO
q_torso_ref_ss_to_ds_jump_deg,9.718610,,INFO
