metric,value,threshold,status
torso_pos_err_peak_mm,155.885989,10.000000,FAIL
torso_ori_err_peak_deg,7.940361,5.000000,FAIL
ee_pos_err_at_dock_mm,0.217802,5.000000,PASS
ee_ori_err_at_dock_deg,0.313593,5.000000,PASS
com_tracking_err_rms_mm,67.970403,15.000000,FAIL
hw_saturation_ratio_peak,0.595904,1.000000,PASS
hw_saturation_ratio_rms,0.305605,0.700000,PASS
platform_rotation_total_deg,2.830703,5.000000,PASS
platform_omega_peak_deg_s,0.170405,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,1.000000,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,7.940361,5.000000,FAIL
torso_ori_peak_deg_DS,2.626017,5.000000,PASS
torso_ori_peak_deg_global,7.940361,5.000000,FAIL
torso_pos_peak_mm_SS,101.771451,10.000000,FAIL
torso_pos_peak_mm_DS,155.885989,10.000000,FAIL
torso_pos_peak_mm_global,155.885989,10.000000,FAIL
ee_pos_peak_mm_SS,105.681882,5.000000,FAIL
ee_pos_peak_mm_DS,0.217802,5.000000,PASS
ee_pos_peak_mm_global,105.681882,5.000000,FAIL
ee_ori_peak_deg_SS,2.019326,5.000000,PASS
ee_ori_peak_deg_DS,0.313593,5.000000,PASS
ee_ori_peak_deg_global,2.019326,5.000000,PASS
hw_sat_peak_SS,0.595904,1.000000,PASS
hw_sat_peak_DS,0.239369,1.000000,PASS
hw_sat_peak_global,0.595904,1.000000,PASS
tau_peak_Nm_SS,4.199646,20.000000,PASS
tau_peak_Nm_DS,0.903154,20.000000,PASS
tau_peak_Nm_global,4.199646,20.000000,PASS
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,PASS
ss_end_torso_ori_deg,7.804018,,INFO
ds_entry_torso_ori_deg,2.232986,,INFO
q_torso_ref_ss_to_ds_jump_deg,9.368937,,INFO
