step_idx,anchor_pair,tau,ext_a,ext_b,sig_a,sig_b
0,"[2, 3]",0.0,0.6108394390737374,0.7078529130069255,0.15520011096650985,0.14436795885769402
0,"[2, 3]",0.2,0.5944170250583845,0.6960729907514844,0.14444885976119637,0.15670009376170213
0,"[2, 3]",0.4,0.517744237484449,0.6340010574358768,0.14716438976295382,0.20853439144612118
0,"[2, 3]",0.6,0.40649259036467333,0.5256279410490289,0.22685294761190228,0.271620220269821
0,"[2, 3]",0.8,0.33140305051901164,0.43910856268483167,0.24997796356457008,0.3092867839214625
0,"[2, 3]",1.0,0.31589011791849175,0.41936190675594415,0.24393940786847243,0.3167727627034413
1,"[3, 3]",0.0,0.4729541869672861,0.6176255693072364,0.14550573418827928,0.22369744853429496
1,"[3, 3]",0.2,0.44905102580611916,0.5997420522467506,0.16974429869799937,0.23444620591554236
1,"[3, 3]",0.4,0.3415779616639849,0.512900621547704,0.24955834430015064,0.27821177583852147
1,"[3, 3]",0.6,0.2130260505160331,0.379450534214082,0.19958174816240612,0.3271658538378046
1,"[3, 3]",0.8,0.1743111373401426,0.28842286052091526,0.11808167959040629,0.26026946046818916
1,"[3, 3]",1.0,0.17475531543712963,0.27051208136198385,0.09764374969464522,0.23594934272026935
2,"[3, 4]",0.0,0.4374234984915127,0.5602914705011655,0.27411294708631434,0.2607449908491013
2,"[3, 4]",0.2,0.41143653458942536,0.5587723888355232,0.28221234320097016,0.2601565242135484
2,"[3, 4]",0.4,0.2958801037640677,0.5517332015433375,0.28837791095954174,0.25704848722738033
2,"[3, 4]",0.6,0.17576790862770017,0.5413858120732408,0.19077289116293883,0.25225245179594524
2,"[3, 4]",0.8,0.16010860876545227,0.53389577773156,0.11364727886769974,0.24881585163790054
2,"[3, 4]",1.0,0.1637009354333638,0.5322239756822157,0.09272978519810444,0.2480433650560106
