t,phase,step_idx,mask_ss,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.110000,SS,0,1,0.457022404,-1.444439155,2.471734672,-0.080429283,1.383290366,-0.406043603,0.006741902,-0.000409052,-0.000184320,0.000028889,0.799651727,0.009167113,b,2,2,3,1
0.210000,SS,0,1,0.666590453,-1.297909375,3.091223003,-0.039199295,1.335510493,-0.746742062,0.027132761,-0.000707535,-0.000243791,0.000249778,0.797374153,0.027983567,b,2,2,3,1
0.310000,SS,0,1,0.890060472,-1.071464569,4.265351869,-0.057453609,1.497170970,-0.796999110,0.064316638,-0.001318523,-0.000325984,0.000517963,0.791611450,0.048450071,b,2,2,3,1
0.410000,SS,0,1,1.103182737,-0.804814379,4.999994984,-0.140750647,1.539098820,-0.793530830,0.112091484,-0.002063429,-0.000409345,0.000793555,0.781206739,0.066589075,b,2,2,3,1
0.510000,SS,0,1,1.302184864,-0.446886346,5.000001836,-0.263599749,1.462886126,-0.745208915,0.169356385,-0.002926824,-0.000527288,0.001054086,0.765374806,0.081066073,b,2,2,3,1
0.610000,SS,0,1,1.453501387,-0.033729735,5.000002754,-0.410765548,1.316498272,-0.646138495,0.234272195,-0.003852748,-0.000676597,0.001273391,0.743683018,0.091675680,b,2,2,3,1
0.710000,SS,0,1,1.533102913,0.310166340,5.000002611,-0.530401065,1.136950832,-0.554908904,0.304853754,-0.004827279,-0.000861225,0.001433163,0.716016522,0.098386436,b,2,2,3,1
0.810000,SS,0,1,1.531945519,0.598567229,5.000002160,-0.639611075,0.927796778,-0.462612367,0.379565401,-0.005805061,-0.001075976,0.001517207,0.682539710,0.101079272,b,2,2,3,1
0.910000,SS,0,1,1.443423286,0.778018903,5.000001603,-0.707011503,0.719339150,-0.398278541,0.456388441,-0.006765277,-0.001308315,0.001518802,0.643659239,0.099514419,b,2,2,3,1
1.010000,SS,0,1,1.270205212,0.841707012,5.000001040,-0.730441462,0.519262314,-0.366886397,0.533425871,-0.007542502,-0.001515585,0.001424241,0.599988550,0.093655150,b,2,2,3,1
1.110000,SS,0,1,1.023208752,0.810276209,5.000000504,-0.711320466,0.329015224,-0.368534722,0.608936982,-0.008279813,-0.001706604,0.001254250,0.552311865,0.083890259,b,2,2,3,1
1.210000,SS,0,1,0.719239290,0.685995980,5.000000049,-0.648988120,0.159643015,-0.404033985,0.681104356,-0.009009136,-0.001886666,0.001017539,0.501549352,0.071217663,b,2,2,3,1
1.310000,SS,0,1,0.380308761,0.473807089,4.999999724,-0.556209223,0.018643819,-0.461443627,0.748421566,-0.009549255,-0.001997897,0.000715903,0.448721717,0.057382272,b,2,2,3,1
1.410000,SS,0,1,0.022611409,0.197033160,4.999999538,-0.441075838,-0.096166346,-0.539158263,0.809613231,-0.009930435,-0.002044275,0.000367139,0.394914107,0.045495985,b,2,2,3,1
1.510000,SS,0,1,-0.330576626,-0.132137809,4.999999520,-0.322374376,-0.177666299,-0.626533296,0.863338558,-0.010129557,-0.002019599,-0.000011694,0.341241502,0.040620145,b,2,2,3,1
1.610000,SS,0,1,-0.674840998,-0.483847496,4.999999651,-0.206677915,-0.225151207,-0.715888616,0.908286771,-0.010131947,-0.001923646,-0.000401631,0.288813636,0.046109652,b,2,2,3,1
1.710000,SS,0,1,-0.988473191,-0.846023349,4.999999950,-0.107071684,-0.240833249,-0.806043535,0.943304886,-0.009936655,-0.001766333,-0.000781896,0.238700063,0.058827332,b,2,2,3,1
1.810000,SS,0,1,-1.277819564,-1.180141168,5.000000365,-0.020582401,-0.231169952,-0.890435141,0.967476702,-0.009552571,-0.001560231,-0.001132435,0.191895270,0.074390080,b,2,2,3,1
1.910000,SS,0,1,-1.520523647,-1.470893770,5.000000886,0.044719264,-0.207796750,-0.968146939,0.980344393,-0.009005934,-0.001327278,-0.001432302,0.149283845,0.090488499,b,2,2,3,1
2.010000,SS,0,1,-1.721522586,-1.687762590,5.000001429,0.095633026,-0.184202776,-1.030894542,0.981827195,-0.008332348,-0.001088197,-0.001662634,0.111605656,0.106063781,b,2,2,3,1
2.110000,SS,0,1,-1.852186523,-1.861583016,5.000001994,0.144281704,-0.168385603,-1.087956681,0.972091013,-0.007533397,-0.000850166,-0.001799570,0.079420947,0.120551136,b,2,2,3,1
2.210000,SS,0,1,-1.895782400,-1.976682419,5.000002435,0.197479913,-0.180104352,-1.129276963,0.951838459,-0.006722060,-0.000660016,-0.001821649,0.053074042,0.133659367,b,2,2,3,1
2.310000,SS,0,1,-1.825927795,-2.031309810,5.000002374,0.267352339,-0.230611509,-1.152073442,0.922033932,-0.005988813,-0.000547283,-0.001704853,0.032656512,0.145467885,b,2,2,3,1
2.410000,SS,0,1,-1.517179667,-1.832451209,4.997751244,0.381998620,-0.314816732,-1.135850167,0.883898706,-0.004943608,-0.000380452,-0.001403604,0.017971124,0.156405127,b,2,2,3,1
2.510000,SS,0,1,-1.368756305,-2.032769115,4.314280370,0.362662261,-0.381994761,-1.086712183,0.838826282,-0.003899495,-0.000285891,-0.000985277,0.008507168,0.166380133,b,2,2,3,1
2.610000,SS,0,1,-0.951475766,-1.941683008,2.653370974,0.314343414,-0.306407964,-1.015694118,0.787935221,-0.002888162,-0.000190980,-0.000454245,0.003457224,0.173295948,b,2,2,3,1
