metric,value,threshold,status
torso_pos_err_peak_mm,48.729660,10.000000,FAIL
torso_ori_err_peak_deg,6.748315,5.000000,FAIL
ee_pos_err_at_dock_mm,0.174489,5.000000,PASS
ee_ori_err_at_dock_deg,0.197117,5.000000,PASS
com_tracking_err_rms_mm,195.437983,15.000000,FAIL
hw_saturation_ratio_peak,0.218609,1.000000,PASS
hw_saturation_ratio_rms,0.103780,0.700000,PASS
platform_rotation_total_deg,1.321847,5.000000,PASS
platform_omega_peak_deg_s,0.130519,2.000000,PASS
tau_w_peak_ratio,0.447200,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,1.000000,0.950000,PASS
nmpc_infeasibility_rate,0.000000,0.020000,PASS
torso_ori_peak_deg_SS,1.657373,5.000000,PASS
torso_ori_peak_deg_DS,6.748315,5.000000,FAIL
torso_ori_peak_deg_global,6.748315,5.000000,FAIL
torso_pos_peak_mm_SS,48.729660,10.000000,FAIL
torso_pos_peak_mm_DS,32.423928,10.000000,FAIL
torso_pos_peak_mm_global,48.729660,10.000000,FAIL
ee_pos_peak_mm_SS,44.904323,5.000000,FAIL
ee_pos_peak_mm_DS,0.174489,5.000000,PASS
ee_pos_peak_mm_global,44.904323,5.000000,FAIL
ee_ori_peak_deg_SS,1.779445,5.000000,PASS
ee_ori_peak_deg_DS,0.217794,5.000000,PASS
ee_ori_peak_deg_global,1.779445,5.000000,PASS
hw_sat_peak_SS,0.218609,1.000000,PASS
hw_sat_peak_DS,0.102032,1.000000,PASS
hw_sat_peak_global,0.218609,1.000000,PASS
tau_peak_Nm_SS,3.579245,20.000000,PASS
tau_peak_Nm_DS,8.318185,20.000000,PASS
tau_peak_Nm_global,8.318185,20.000000,PASS
tau_w_peak_ratio_SS,0.447200,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,0.447200,1.000000,PASS
ss_end_torso_ori_deg,0.485397,,INFO
ds_entry_torso_ori_deg,1.580672,,INFO
q_torso_ref_ss_to_ds_jump_deg,1.493812,,INFO
