metric,value,threshold,status
torso_pos_err_peak_mm,1279.265856,10.000000,FAIL
torso_ori_err_peak_deg,178.650015,5.000000,FAIL
ee_pos_err_at_dock_mm,4.842097,5.000000,PASS
ee_ori_err_at_dock_deg,0.215187,5.000000,PASS
com_tracking_err_rms_mm,456.511026,15.000000,FAIL
hw_saturation_ratio_peak,0.455192,1.000000,PASS
hw_saturation_ratio_rms,0.316381,0.700000,PASS
platform_rotation_total_deg,11.164075,5.000000,FAIL
platform_omega_peak_deg_s,1.667556,2.000000,PASS
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.890041,0.950000,FAIL
nmpc_infeasibility_rate,0.035270,0.020000,FAIL
torso_ori_peak_deg_SS,2.425814,5.000000,PASS
torso_ori_peak_deg_DS,178.650015,5.000000,FAIL
torso_ori_peak_deg_global,178.650015,5.000000,WARN
torso_pos_peak_mm_SS,77.013004,10.000000,FAIL
torso_pos_peak_mm_DS,1279.265856,10.000000,FAIL
torso_pos_peak_mm_global,1279.265856,10.000000,WARN
ee_pos_peak_mm_SS,414.314036,5.000000,FAIL
ee_pos_peak_mm_DS,3002.611900,5.000000,FAIL
ee_pos_peak_mm_global,3002.611900,5.000000,WARN
ee_ori_peak_deg_SS,11.163728,5.000000,FAIL
ee_ori_peak_deg_DS,178.601895,5.000000,FAIL
ee_ori_peak_deg_global,178.601895,5.000000,WARN
hw_sat_peak_SS,0.455192,1.000000,PASS
hw_sat_peak_DS,0.454965,1.000000,PASS
hw_sat_peak_global,0.455192,1.000000,WARN
tau_peak_Nm_SS,13.492912,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,1.519688,,INFO
ds_entry_torso_ori_deg,1.649314,,INFO
q_torso_ref_ss_to_ds_jump_deg,1.854309,,INFO
