metric,value,threshold,status
torso_pos_err_peak_mm,4447.225559,10.000000,FAIL
torso_ori_err_peak_deg,178.725075,5.000000,FAIL
ee_pos_err_at_dock_mm,4.842097,5.000000,PASS
ee_ori_err_at_dock_deg,0.215187,5.000000,PASS
com_tracking_err_rms_mm,450.746313,15.000000,FAIL
hw_saturation_ratio_peak,0.441278,1.000000,PASS
hw_saturation_ratio_rms,0.292843,0.700000,PASS
platform_rotation_total_deg,54.680358,5.000000,FAIL
platform_omega_peak_deg_s,5.578869,2.000000,FAIL
tau_w_peak_ratio,1.000000,1.000000,PASS
passivity_violations,,0.000000,SKIP
nmpc_solve_rate_50ms,0.867925,0.950000,FAIL
nmpc_infeasibility_rate,0.186583,0.020000,FAIL
torso_ori_peak_deg_SS,2.165254,5.000000,PASS
torso_ori_peak_deg_DS,178.725075,5.000000,FAIL
torso_ori_peak_deg_global,178.725075,5.000000,WARN
torso_pos_peak_mm_SS,76.573614,10.000000,FAIL
torso_pos_peak_mm_DS,4447.225559,10.000000,FAIL
torso_pos_peak_mm_global,4447.225559,10.000000,WARN
ee_pos_peak_mm_SS,423.450907,5.000000,FAIL
ee_pos_peak_mm_DS,2714.414181,5.000000,FAIL
ee_pos_peak_mm_global,2714.414181,5.000000,WARN
ee_ori_peak_deg_SS,11.309215,5.000000,FAIL
ee_ori_peak_deg_DS,179.012762,5.000000,FAIL
ee_ori_peak_deg_global,179.012762,5.000000,WARN
hw_sat_peak_SS,0.441278,1.000000,PASS
hw_sat_peak_DS,0.415400,1.000000,PASS
hw_sat_peak_global,0.441278,1.000000,WARN
tau_peak_Nm_SS,10.209570,20.000000,PASS
tau_peak_Nm_DS,20.000000,20.000000,PASS
tau_peak_Nm_global,20.000000,20.000000,WARN
tau_w_peak_ratio_SS,1.000000,1.000000,PASS
tau_w_peak_ratio_DS,0.000000,1.000000,PASS
tau_w_peak_ratio_global,1.000000,1.000000,WARN
ss_end_torso_ori_deg,0.975129,,INFO
ds_entry_torso_ori_deg,1.924465,,INFO
q_torso_ref_ss_to_ds_jump_deg,1.324062,,INFO
