t_s,phase,phase_raw,step_index,Hdot_s_planned_x_Nm,Hdot_s_planned_y_Nm,Hdot_s_planned_z_Nm,Hdot_s_realized_x_Nm,Hdot_s_realized_y_Nm,Hdot_s_realized_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,tauw_norm_Nm,tauw_saturated,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,theta_s_geodesic_deg
0.010000,DS,DS_interstep,-1,,,,-1.169731e-13,-7.921025e-14,2.370326e-15,3.486331e-16,3.441309e-16,-9.480456e-16,1.169731e-13,7.921025e-14,-2.370326e-15,1.412890e-13,0,0.000000,0.000000,0.000000,0.000000e+00
0.020000,DS,DS_interstep,-1,,,,-9.037196e-09,3.484725e-10,-1.728708e-10,4.578754e-11,-1.609467e-12,3.249987e-12,9.157671e-09,-3.219974e-10,6.503443e-10,9.186379e-09,0,0.000000,0.000000,0.000000,0.000000e+00
0.030000,DS,DS_interstep,-1,,,,-7.046527e-09,3.283866e-09,-7.817905e-09,8.108467e-11,-1.837143e-11,4.418316e-11,7.060074e-09,-3.352504e-09,8.186965e-09,1.131858e-08,0,0.000000,-0.000000,0.000000,0.000000e+00
0.040000,DS,DS_interstep,-1,,,,-3.502370e-09,1.448628e-09,-7.356063e-09,9.876708e-11,-2.576625e-11,8.222344e-11,3.537403e-09,-1.479192e-09,7.608741e-09,8.520221e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.050000,DS,DS_interstep,-1,,,,-1.263225e-09,1.554935e-09,-9.867880e-09,1.053669e-10,-3.364752e-11,1.323395e-10,1.321003e-09,-1.576548e-09,1.002433e-08,1.023317e-08,0,0.000000,-0.000000,0.000000,0.000000e+00
0.060000,DS,DS_interstep,-1,,,,3.785053e-10,2.473516e-11,-8.507967e-09,1.037343e-10,-3.374382e-11,1.753911e-10,-3.254673e-10,-1.959332e-11,8.611865e-09,8.618035e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.070000,DS,DS_interstep,-1,,,,1.094206e-09,1.467354e-10,-9.350583e-09,9.846479e-11,-3.443522e-11,2.224518e-10,-1.052879e-09,-1.386123e-10,9.414131e-09,9.473839e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.080000,DS,DS_interstep,-1,,,,1.534074e-09,-4.167756e-10,-8.317734e-09,9.088949e-11,-3.224977e-11,2.642418e-10,-1.514113e-09,4.367624e-10,8.360429e-09,8.507648e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.090000,DS,DS_interstep,-1,,,,1.553624e-09,-1.000038e-11,-8.616546e-09,8.312372e-11,-3.210784e-11,3.074342e-10,-1.552294e-09,2.807360e-11,8.641345e-09,8.779707e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.100000,DS,DS_interstep,-1,,,,1.510965e-09,-9.513876e-12,-7.883330e-09,7.547904e-11,-3.195585e-11,3.469104e-10,-1.528156e-09,3.008260e-11,7.898510e-09,8.045037e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.110000,SS,SS,0,4.570210e-01,-1.444435e+00,2.471737e+00,,,,-1.381843e-02,3.432399e-02,-4.686168e-02,-6.477173e-01,1.272677e+00,-1.235408e+00,1.888247e+00,0,-0.000061,0.000067,-0.000088,1.263091e-04
