t_s,phase,phase_raw,step_index,Hdot_s_planned_x_Nm,Hdot_s_planned_y_Nm,Hdot_s_planned_z_Nm,Hdot_s_realized_x_Nm,Hdot_s_realized_y_Nm,Hdot_s_realized_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,tauw_norm_Nm,tauw_saturated,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,theta_s_geodesic_deg
0.010000,DS,DS_interstep,-1,,,,-8.637813e-14,-5.839634e-14,1.984524e-15,1.956614e-16,2.400628e-16,-9.461157e-16,8.637813e-14,5.839634e-14,-1.984524e-15,1.042845e-13,0,0.000000,0.000000,0.000000,0.000000e+00
0.020000,DS,DS_interstep,-1,,,,-9.037221e-09,3.484450e-10,-1.728139e-10,4.578751e-11,-1.609430e-12,3.249702e-12,9.157696e-09,-3.219693e-10,6.502869e-10,9.186399e-09,0,0.000000,0.000000,0.000000,0.000000e+00
0.030000,DS,DS_interstep,-1,,,,-7.046559e-09,3.283879e-09,-7.817941e-09,8.108480e-11,-1.837146e-11,4.418306e-11,7.060106e-09,-3.352518e-09,8.187002e-09,1.131863e-08,0,0.000000,-0.000000,0.000000,0.000000e+00
0.040000,DS,DS_interstep,-1,,,,-3.502334e-09,1.448623e-09,-7.356052e-09,9.876701e-11,-2.576624e-11,8.222329e-11,3.537363e-09,-1.479185e-09,7.608731e-09,8.520194e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.050000,DS,DS_interstep,-1,,,,-1.263074e-09,1.554977e-09,-9.867790e-09,1.053662e-10,-3.364769e-11,1.323389e-10,1.320871e-09,-1.576584e-09,1.002424e-08,1.023307e-08,0,0.000000,-0.000000,0.000000,0.000000e+00
0.060000,DS,DS_interstep,-1,,,,3.784482e-10,2.473413e-11,-8.508244e-09,1.037336e-10,-3.374403e-11,1.753918e-10,-3.254508e-10,-1.960183e-11,8.612134e-09,8.618303e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.070000,DS,DS_interstep,-1,,,,1.094131e-09,1.465298e-10,-9.350312e-09,9.846454e-11,-3.443443e-11,2.224512e-10,-1.052798e-09,-1.384120e-10,9.413863e-09,9.473561e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.080000,DS,DS_interstep,-1,,,,1.533918e-09,-4.165878e-10,-8.317829e-09,9.089010e-11,-3.224998e-11,2.642417e-10,-1.513944e-09,4.365635e-10,8.360530e-09,8.507707e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.090000,DS,DS_interstep,-1,,,,1.553439e-09,-9.877128e-12,-8.616644e-09,8.312529e-11,-3.210855e-11,3.074346e-10,-1.552101e-09,2.797365e-11,8.641444e-09,8.779770e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.100000,DS,DS_interstep,-1,,,,1.510480e-09,-9.565409e-12,-7.883170e-09,7.548300e-11,-3.195643e-11,3.469101e-10,-1.527678e-09,3.010959e-11,7.898358e-09,8.044797e-09,0,0.000000,-0.000000,0.000000,0.000000e+00
0.110000,SS,SS,0,4.570210e-01,-1.444435e+00,2.471738e+00,,,,-1.381843e-02,3.432399e-02,-4.686168e-02,-6.477173e-01,1.272677e+00,-1.235408e+00,1.888247e+00,0,-0.000061,0.000067,-0.000088,1.263091e-04
0.210000,SS,SS,0,6.068923e-01,-1.413428e+00,2.706244e+00,,,,-4.859188e-02,1.136927e-01,-1.338797e-01,-8.399353e-01,1.993741e+00,-2.388137e+00,3.222374e+00,0,-0.000473,0.000417,-0.000415,7.548795e-04
0.310000,SS,SS,0,6.781446e-01,-1.226730e+00,3.344714e+00,,,,-9.368482e-02,2.202234e-01,-2.669136e-01,-1.059581e+00,2.541465e+00,-3.258239e+00,4.265897e+00,0,-0.001358,0.001175,-0.001146,2.130283e-03
0.410000,SS,SS,0,6.889688e-01,-9.818339e-01,3.891936e+00,,,,-1.484632e-01,3.482563e-01,-4.338151e-01,-1.214027e+00,2.934835e+00,-3.910494e+00,5.037766e+00,0,-0.002822,0.002434,-0.002404,4.434778e-03
0.510000,SS,SS,0,6.272738e-01,-7.061408e-01,4.429178e+00,,,,-2.089267e-01,4.902465e-01,-6.269505e-01,-1.274505e+00,3.160978e+00,-4.390829e+00,5.558374e+00,0,-0.004928,0.004253,-0.004280,7.790481e-03
0.610000,SS,SS,0,5.016704e-01,-4.266809e-01,4.895322e+00,,,,-2.715244e-01,6.394116e-01,-8.381348e-01,-1.262580e+00,3.241946e+00,-4.681698e+00,5.832891e+00,0,-0.007692,0.006659,-0.006838,1.225836e-02
0.710000,SS,SS,0,3.178258e-01,-1.712868e-01,5.269580e+00,,,,-3.332782e-01,7.897964e-01,-1.059113e+00,-1.189359e+00,3.197547e+00,-4.789831e+00,5.880592e+00,0,-0.011092,0.009653,-0.010111,1.784503e-02
0.810000,SS,SS,0,8.384586e-02,4.300190e-02,5.541807e+00,,,,-3.917111e-01,9.363668e-01,-1.281976e+00,-1.068731e+00,3.050378e+00,-4.724672e+00,5.724467e+00,0,-0.015074,0.013212,-0.014103,2.450871e-02
0.910000,SS,SS,0,-1.963641e-01,2.163808e-01,5.697268e+00,,,,-4.448510e-01,1.074994e+00,-1.499182e+00,-9.115255e-01,2.819690e+00,-4.498111e+00,5.386514e+00,0,-0.019562,0.017295,-0.018795,3.217205e-02
1.010000,SS,SS,0,-5.122470e-01,3.517673e-01,5.739567e+00,,,,-4.910740e-01,1.202325e+00,-1.703870e+00,-7.248821e-01,2.522330e+00,-4.127304e+00,4.891037e+00,0,-0.024460,0.021849,-0.024140,4.072358e-02
1.110000,SS,SS,0,-8.549218e-01,4.680251e-01,5.658139e+00,,,,-5.289275e-01,1.315532e+00,-1.889777e+00,-5.123490e-01,2.167411e+00,-3.627780e+00,4.256872e+00,0,-0.029658,0.026808,-0.030072,5.002590e-02
1.210000,SS,SS,0,-1.208692e+00,5.819662e-01,5.451868e+00,,,,-5.571042e-01,1.412091e+00,-2.051300e+00,-2.784291e-01,1.761171e+00,-3.014376e+00,3.502243e+00,0,-0.035033,0.032098,-0.036505,5.991834e-02
1.310000,SS,SS,0,-1.554141e+00,7.061455e-01,5.124923e+00,,,,-5.745537e-01,1.489674e+00,-2.183410e+00,-3.085572e-02,1.307339e+00,-2.300770e+00,2.646437e+00,0,-0.040453,0.037636,-0.043336,7.022053e-02
