t_s,tick,phase,step_index,stance_a_idx,stance_b_idx,lambda_qp_0,lambda_qp_1,lambda_qp_2,lambda_qp_3,lambda_qp_4,lambda_qp_5,lambda_qp_6,lambda_qp_7,lambda_qp_8,lambda_qp_9,lambda_qp_10,lambda_qp_11
0.010000,0,DS_interstep,-1,2,2,-3.486100e-14,-3.574918e-14,-4.923839e-14,-6.306067e-14,-1.998401e-14,-1.511291e-14,-3.758105e-14,-4.174439e-14,-4.773959e-14,-5.540013e-14,-1.862399e-14,-1.269818e-14
0.020000,1,DS_interstep,-1,2,2,-1.514772e-09,3.016165e-09,3.832654e-09,-3.575848e-09,-1.767676e-09,1.049164e-09,-6.927303e-10,3.504508e-09,7.122271e-09,-4.311446e-09,-2.210634e-09,1.139622e-09
0.030000,2,DS_interstep,-1,2,2,-4.774783e-09,4.552693e-09,3.229078e-09,-2.637350e-09,-4.593373e-11,-1.616395e-09,-5.857669e-09,5.186374e-09,6.048988e-09,-3.319727e-09,-1.156159e-10,-1.981018e-09
0.040000,3,DS_interstep,-1,2,2,-3.152534e-09,4.823689e-09,2.327944e-09,-1.092693e-09,-4.979880e-10,-1.375754e-09,-4.256805e-09,5.308054e-09,3.921674e-09,-1.678264e-09,-3.679980e-10,-1.596330e-09
0.050000,4,DS_interstep,-1,2,2,-2.704141e-09,2.985262e-09,1.185098e-09,-2.536953e-10,-4.261579e-12,-3.114774e-09,-5.227342e-09,3.367016e-09,1.833563e-09,-6.561833e-10,5.500194e-10,-3.455234e-09
0.060000,5,DS_interstep,-1,2,2,-7.905145e-10,1.431920e-09,4.669112e-10,3.562461e-10,-4.666577e-10,-3.127839e-09,-3.485952e-09,1.658855e-09,3.662695e-10,6.933608e-11,2.650322e-10,-3.335188e-09
0.070000,6,DS_interstep,-1,2,2,-3.582241e-10,-4.116691e-10,-1.909675e-10,5.374214e-10,-1.684307e-10,-4.146449e-09,-3.858891e-09,-2.605772e-10,-7.134867e-10,3.832228e-10,7.823757e-10,-4.422832e-09
0.080000,7,DS_interstep,-1,2,2,4.771160e-10,-1.545882e-09,-5.330035e-10,6.468037e-10,-2.991983e-10,-4.121339e-09,-3.038321e-09,-1.475783e-09,-1.326559e-09,5.736616e-10,6.902778e-10,-4.350430e-09
0.090000,8,DS_interstep,-1,2,2,3.216530e-10,-2.531080e-09,-8.070409e-10,5.768631e-10,1.844625e-11,-4.588880e-09,-3.498592e-09,-2.488539e-09,-1.689478e-09,5.865390e-10,1.049584e-09,-4.889441e-09
0.100000,9,DS_interstep,-1,2,2,3.548097e-10,-2.956056e-09,-8.945737e-10,5.167693e-10,8.779156e-11,-4.422388e-09,-3.290090e-09,-2.941810e-09,-1.796886e-09,5.760548e-10,1.052661e-09,-4.726618e-09
0.110000,10,SS,0,2,2,2.697023e+00,8.099107e-01,-6.569544e-01,7.649929e-01,-1.101121e+00,2.528252e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.210000,11,SS,0,2,2,4.581158e+00,1.296732e+00,-8.228338e-01,1.139712e+00,-1.741815e+00,4.242777e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.310000,12,SS,0,2,2,6.096895e+00,1.730502e+00,-8.758984e-01,1.397412e+00,-2.262309e+00,5.651488e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.410000,13,SS,0,2,2,7.222202e+00,2.078156e+00,-8.408011e-01,1.546973e+00,-2.643549e+00,6.725367e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.510000,14,SS,0,2,2,7.982576e+00,2.348844e+00,-7.095239e-01,1.583376e+00,-2.901005e+00,7.482978e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.610000,15,SS,0,2,2,8.393834e+00,2.541976e+00,-4.966004e-01,1.519095e+00,-3.044280e+00,7.929664e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.710000,16,SS,0,2,2,8.462292e+00,2.650583e+00,-2.288945e-01,1.374696e+00,-3.078484e+00,8.061497e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.810000,17,SS,0,2,2,8.224850e+00,2.667407e+00,6.588649e-02,1.170482e+00,-3.022379e+00,7.906337e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.910000,18,SS,0,2,2,7.707950e+00,2.580881e+00,3.586693e-01,9.245747e-01,-2.886366e+00,7.483350e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.010000,19,SS,0,2,2,6.937133e+00,2.384608e+00,6.253189e-01,6.511194e-01,-2.676811e+00,6.812940e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.110000,20,SS,0,2,2,5.937402e+00,2.075630e+00,8.472608e-01,3.600604e-01,-2.395812e+00,5.914402e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.210000,21,SS,0,2,2,4.737559e+00,1.661261e+00,1.012028e+00,6.068499e-02,-2.044366e+00,4.811515e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.310000,22,SS,0,2,2,3.369655e+00,1.158751e+00,1.111918e+00,-2.359343e-01,-1.623149e+00,3.531852e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.410000,23,SS,0,2,2,1.849619e+00,5.908973e-01,1.141924e+00,-5.163516e-01,-1.124096e+00,2.087608e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.510000,24,SS,0,2,2,2.318112e-01,-6.628039e-03,1.103395e+00,-7.643395e-01,-5.594514e-01,5.319911e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
