t_s,tick,phase,step_index,stance_a_idx,stance_b_idx,lambda_qp_0,lambda_qp_1,lambda_qp_2,lambda_qp_3,lambda_qp_4,lambda_qp_5,lambda_qp_6,lambda_qp_7,lambda_qp_8,lambda_qp_9,lambda_qp_10,lambda_qp_11
0.010000,0,DS_interstep,-1,2,2,-2.570166e-14,-2.642331e-14,-3.619327e-14,-4.646283e-14,-1.471046e-14,-1.107447e-14,-2.764455e-14,-3.075318e-14,-3.530509e-14,-4.107825e-14,-1.375289e-14,-9.228729e-15
0.020000,1,DS_interstep,-1,2,2,-1.514738e-09,3.016153e-09,3.832660e-09,-3.575858e-09,-1.767693e-09,1.049183e-09,-6.926846e-10,3.504496e-09,7.122284e-09,-4.311459e-09,-2.210654e-09,1.139646e-09
0.030000,2,DS_interstep,-1,2,2,-4.774798e-09,4.552686e-09,3.229087e-09,-2.637364e-09,-4.593279e-11,-1.616412e-09,-5.857696e-09,5.186369e-09,6.049008e-09,-3.319742e-09,-1.156134e-10,-1.981037e-09
0.040000,3,DS_interstep,-1,2,2,-3.152534e-09,4.823707e-09,2.327935e-09,-1.092676e-09,-4.979844e-10,-1.375743e-09,-4.256797e-09,5.308071e-09,3.921655e-09,-1.678247e-09,-3.679957e-10,-1.596319e-09
0.050000,4,DS_interstep,-1,2,2,-2.704184e-09,2.985410e-09,1.185047e-09,-2.536232e-10,-4.206077e-12,-3.114683e-09,-5.227307e-09,3.367161e-09,1.833482e-09,-6.561058e-10,5.500591e-10,-3.455142e-09
0.060000,5,DS_interstep,-1,2,2,-7.905329e-10,1.431762e-09,4.669141e-10,3.562133e-10,-4.666718e-10,-3.128012e-09,-3.486106e-09,1.658700e-09,3.662726e-10,6.930402e-11,2.650472e-10,-3.335375e-09
0.070000,6,DS_interstep,-1,2,2,-3.580471e-10,-4.117082e-10,-1.909100e-10,5.373892e-10,-1.685606e-10,-4.146351e-09,-3.858655e-09,-2.606212e-10,-7.134159e-10,3.831817e-10,7.822384e-10,-4.422710e-09
0.080000,7,DS_interstep,-1,2,2,4.770249e-10,-1.545954e-09,-5.329948e-10,6.467314e-10,-2.991160e-10,-4.121403e-09,-3.038452e-09,-1.475850e-09,-1.326499e-09,5.735900e-10,6.903615e-10,-4.350506e-09
0.090000,8,DS_interstep,-1,2,2,3.215803e-10,-2.531052e-09,-8.070078e-10,5.767879e-10,1.848262e-11,-4.588909e-09,-3.498683e-09,-2.488500e-09,-1.689374e-09,5.864526e-10,1.049620e-09,-4.889477e-09
0.100000,9,DS_interstep,-1,2,2,3.548758e-10,-2.956099e-09,-8.943913e-10,5.165641e-10,8.766787e-11,-4.422335e-09,-3.289992e-09,-2.941838e-09,-1.796552e-09,5.758195e-10,1.052522e-09,-4.726550e-09
0.110000,10,SS,0,2,2,2.697023e+00,8.099107e-01,-6.569544e-01,7.649929e-01,-1.101121e+00,2.528252e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.210000,11,SS,0,2,2,4.581158e+00,1.296732e+00,-8.228338e-01,1.139712e+00,-1.741815e+00,4.242777e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.310000,12,SS,0,2,2,6.096895e+00,1.730502e+00,-8.758984e-01,1.397412e+00,-2.262309e+00,5.651488e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
