t_s,tick,phase,step_index,Hdot_s_x_Nm,Hdot_s_y_Nm,Hdot_s_z_Nm,Hdot_s_proxy_x_Nm,Hdot_s_proxy_y_Nm,Hdot_s_proxy_z_Nm,Hdot_s_source,hw_x_Nms,hw_y_Nms,hw_z_Nms,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,rcom_x_m,rcom_y_m,rcom_z_m,rref_x_m,rref_y_m,rref_z_m,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,torso_pos_x_m,torso_pos_y_m,torso_pos_z_m,torso_pos_ref_x_m,torso_pos_ref_y_m,torso_pos_ref_z_m,torso_ori_err_deg,swing_dist_m,swing_active,swing_arm
0.010000,0,DS_interstep,-1,-8.637813e-14,-5.839634e-14,1.984524e-15,-1.103665e-13,-7.453209e-14,3.278629e-14,realized,1.956614e-16,2.400628e-16,-9.461157e-16,0.000000,0.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,8.637813e-14,5.839634e-14,-1.984524e-15,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.020000,1,DS_interstep,-1,-9.037221e-09,3.484450e-10,-1.728139e-10,-4.577764e-09,-8.126298e-10,1.416867e-09,realized,4.578751e-11,-1.609430e-12,3.249702e-12,0.000000,0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,9.157696e-09,-3.219693e-10,6.502869e-10,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.030000,2,DS_interstep,-1,-7.046559e-09,3.283879e-09,-7.817941e-09,-4.745479e-09,-7.665073e-10,-9.293327e-10,realized,8.108480e-11,-1.837146e-11,4.418306e-11,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,7.060106e-09,-3.352518e-09,8.187002e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.040000,3,DS_interstep,-1,-3.502334e-09,1.448623e-09,-7.356052e-09,-3.202452e-09,-1.366262e-09,-2.437057e-09,realized,9.876701e-11,-2.576624e-11,8.222329e-11,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,3.537363e-09,-1.479185e-09,7.608731e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.050000,4,DS_interstep,-1,-1.263074e-09,1.554977e-09,-9.867790e-09,-1.628868e-09,-1.328086e-09,-4.761471e-09,realized,1.053662e-10,-3.364769e-11,1.323389e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,1.320871e-09,-1.576584e-09,1.002424e-08,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.060000,5,DS_interstep,-1,3.784482e-10,2.473413e-11,-8.508244e-09,-1.904696e-10,-1.501635e-09,-5.766804e-09,realized,1.037336e-10,-3.374403e-11,1.753918e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-3.254508e-10,-1.960183e-11,8.612134e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.070000,6,DS_interstep,-1,1.094131e-09,1.465298e-10,-9.350312e-09,7.729230e-10,-1.297247e-09,-6.779191e-09,realized,9.846454e-11,-3.443443e-11,2.224512e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-1.052798e-09,-1.384120e-10,9.413863e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.080000,7,DS_interstep,-1,1.533918e-09,-4.165878e-10,-8.317829e-09,1.447215e-09,-1.247147e-09,-6.848682e-09,realized,9.089010e-11,-3.224998e-11,2.642417e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-1.513944e-09,4.365635e-10,8.360530e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.090000,8,DS_interstep,-1,1.553439e-09,-9.877128e-12,-8.616644e-09,1.774007e-09,-1.033338e-09,-6.839452e-09,realized,8.312529e-11,-3.210855e-11,3.074346e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-1.552101e-09,2.797365e-11,8.641444e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.100000,9,DS_interstep,-1,1.510480e-09,-9.565409e-12,-7.883170e-09,1.918749e-09,-9.414318e-10,-6.286045e-09,realized,7.548300e-11,-3.195643e-11,3.469101e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-1.527678e-09,3.010959e-11,7.898358e-09,0.176592,-0.815596,-0.343580,0.176592,-0.815596,-0.343580,0.000000,0.000000,0,
0.110000,10,SS,0,4.570210e-01,-1.444435e+00,2.471738e+00,-6.782590e-03,2.139342e-02,-5.839275e-02,planned,-1.381843e-02,3.432399e-02,-4.686168e-02,-0.000061,0.000067,-0.000088,-4.308058e-21,-4.530971e-21,4.729781e-21,-0.035400,-0.615407,-0.350046,-0.000400,-0.604066,-0.349921,-6.477173e-01,1.272677e+00,-1.235408e+00,0.176652,-0.815569,-0.343572,0.176629,-0.815578,-0.343578,0.006953,0.799631,1,b
0.210000,11,SS,0,6.068923e-01,-1.413428e+00,2.706244e+00,1.174358e-01,2.863598e-01,-2.314091e-01,planned,-4.859188e-02,1.136927e-01,-1.338797e-01,-0.000473,0.000417,-0.000415,,,,-0.034945,-0.615286,-0.350195,0.007835,-0.601526,-0.349943,-8.399353e-01,1.993741e+00,-2.388137e+00,0.176954,-0.815430,-0.343517,0.176919,-0.815440,-0.343559,0.011884,0.797353,1,b
0.310000,12,SS,0,6.781446e-01,-1.226730e+00,3.344714e+00,2.159523e-01,6.002228e-01,1.835387e-01,planned,-9.368482e-02,2.202234e-01,-2.669136e-01,-0.001358,0.001175,-0.001146,,,,-0.033822,-0.614975,-0.350470,0.016833,-0.598823,-0.349987,-1.059581e+00,2.541465e+00,-3.258239e+00,0.177646,-0.815106,-0.343404,0.177688,-0.815071,-0.343508,0.013654,0.791659,1,b
