tick,phase,alpha,kp_shape,er_x,er_y,er_z,er_norm,er_sum,er_par_norm,er_perp_norm,perp_frac,ev_x,ev_y,ev_z,ev_norm,aff_norm,fb_app_x,fb_app_y,fb_app_z,fb_app_norm,fb_diag_x,fb_diag_y,fb_diag_z,fb_diag_norm,fb_delta_norm,eta_fb,ades_norm,achieved_norm,resid_norm,delivered_frac
10,SS,400.0,3x3,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.149799150e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,7.149799150e-02,1.937904182e-02,5.400045775e-02,0.251514
11,SS,400.0,3x3,2.720321768e-05,2.296814930e-05,3.179256587e-06,3.574435070e-05,5.335062357e-05,3.080199688e-05,1.813547891e-05,0.507366,5.144244237e-04,4.792916320e-04,1.185111723e-04,7.130202341e-04,7.149799150e-02,3.496733555e-03,3.496733555e-03,3.496733555e-03,6.056520178e-03,1.624882924e-03,1.506779344e-03,3.650712868e-04,2.245864099e-03,4.155845414e-03,0.078094,7.675278134e-02,1.970351065e-02,5.923009612e-02,0.235191
12,SS,400.0,3x3,5.418969563e-05,4.603252130e-05,6.974694667e-06,7.144342164e-05,1.071969116e-04,6.189016577e-05,3.568991282e-05,0.499555,1.026152925e-03,9.433920597e-04,2.380697098e-04,1.414091790e-03,7.149799150e-02,6.944434818e-03,6.944434818e-03,6.944434818e-03,1.202811393e-02,3.241027861e-03,2.968273743e-03,7.351332135e-04,4.455932164e-03,8.251091224e-03,0.144004,8.204218034e-02,2.009433832e-02,6.444223053e-02,0.221508
13,SS,400.0,3x3,8.083010014e-05,6.895835733e-05,1.138714782e-05,1.068570413e-04,1.611756053e-04,9.305477910e-05,5.252842427e-05,0.491577,1.513597268e-03,1.375849308e-03,3.570396128e-04,2.076394783e-03,7.149799150e-02,1.022298538e-02,1.022298538e-02,1.022298538e-02,1.770673009e-02,4.783282104e-03,4.334422996e-03,1.105280282e-03,6.548943037e-03,1.214076130e-02,0.198495,8.715387425e-02,2.054401303e-02,6.942387550e-02,0.210523
14,SS,400.0,3x3,1.067538920e-04,9.131537501e-05,1.640902927e-05,1.414360188e-04,2.144782963e-04,1.238291021e-04,6.834106295e-05,0.483194,1.952377883e-03,1.756045818e-03,4.752236366e-04,2.668578989e-03,7.149799150e-02,1.319437690e-02,1.319437690e-02,1.319437690e-02,2.285333117e-02,6.177395326e-03,5.542083579e-03,1.474897998e-03,8.429129701e-03,1.565700512e-02,0.242215,9.184422168e-02,2.104371019e-02,7.393563049e-02,0.202227
15,SS,400.0,3x3,1.314325730e-04,1.125711262e-04,2.203115449e-05,1.744481340e-04,2.660348537e-04,1.535952944e-04,8.270814354e-05,0.474113,2.338980851e-03,2.086157415e-03,5.924649420e-04,3.189654980e-03,7.149799150e-02,1.585091418e-02,1.585091418e-02,1.585091418e-02,2.745458871e-02,7.411240273e-03,6.596185622e-03,1.843488290e-03,1.009131291e-02,1.879058479e-02,0.277452,9.607713059e-02,2.157830478e-02,7.795589551e-02,0.196045
16,SS,400.0,3x3,1.543991309e-04,1.323064556e-04,2.824561667e-05,2.052849353e-04,3.149512031e-04,1.818371619e-04,9.527408469e-05,0.464107,2.686142158e-03,2.382315395e-03,7.091235887e-04,3.659732585e-03,7.149799150e-02,1.827759703e-02,1.827759703e-02,1.827759703e-02,3.165772670e-02,8.521623865e-03,7.543865551e-03,2.212107616e-03,1.159402436e-02,2.164467496e-02,0.306893,9.997224193e-02,2.213924088e-02,8.161610631e-02,0.191276
17,SS,400.0,3x3,1.753235823e-04,1.502645168e-04,3.504900379e-05,2.335513138e-04,3.606371029e-04,2.082139284e-04,1.057978081e-04,0.452996,3.006887581e-03,2.659168271e-03,8.256914163e-04,4.098086765e-03,7.149799150e-02,2.055715311e-02,2.055715311e-02,2.055715311e-02,3.560603365e-02,9.546633491e-03,8.428298363e-03,2.582221260e-03,1.299393285e-02,2.431951552e-02,0.332443,1.036531211e-01,2.272262776e-02,8.504680583e-02,0.187423
18,SS,400.0,3x3,1.939899999e-04,1.663153782e-04,4.244232993e-05,2.590256289e-04,4.027477080e-04,2.325264976e-04,1.141302079e-04,0.440614,3.310783950e-03,2.927374430e-03,9.425459850e-04,4.518761373e-03,7.149799150e-02,2.275035622e-02,2.275035622e-02,2.275035622e-02,3.940477286e-02,1.051432185e-02,9.281069424e-03,2.954964945e-03,1.433251658e-02,2.688865447e-02,0.355309,1.072125269e-01,2.332586799e-02,8.834506569e-02,0.184165
19,SS,400.0,3x3,2.102631038e-04,1.804195980e-04,5.042984930e-05,2.816113880e-04,4.411125511e-04,2.546764501e-04,1.201868529e-04,0.426783,3.604470172e-03,3.194537967e-03,1.059951128e-03,4.931609720e-03,7.149799150e-02,2.490021545e-02,2.490021545e-02,2.490021545e-02,4.312843828e-02,1.144419983e-02,1.012487269e-02,3.331142933e-03,1.563903034e-02,2.940408134e-02,0.376252,1.107170274e-01,2.394640914e-02,9.158039308e-02,0.181295
20,SS,400.0,3x3,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.066871080e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000,8.066871080e-02,2.619081843e-02,5.717274924e-02,0.301553
21,SS,400.0,3x3,3.060511168e-05,2.412964566e-05,4.025092916e-06,3.918053131e-05,5.875985026e-05,3.392501536e-05,1.960120829e-05,0.500279,3.483381774e-04,3.349737435e-04,1.456144965e-04,5.047281211e-04,8.066871080e-02,2.663058803e-03,2.663058803e-03,2.663058803e-03,4.612553150e-03,1.136829867e-03,1.077310167e-03,4.489187682e-04,1.629265910e-03,3.121920818e-03,0.054086,8.467733826e-02,2.680283762e-02,6.105223241e-02,0.290176
22,SS,400.0,3x3,5.859413510e-05,4.649786185e-05,8.753713052e-06,7.531235833e-05,1.138457100e-04,6.572885131e-05,3.676505707e-05,0.488168,6.971765359e-04,6.769956423e-04,2.882706613e-04,1.013645992e-03,8.066871080e-02,5.328865649e-03,5.328865649e-03,5.328865649e-03,9.229866050e-03,2.267312013e-03,2.170480512e-03,8.910731230e-04,3.262775005e-03,6.248400582e-03,0.102670,8.874887870e-02,2.742937849e-02,6.498597775e-02,0.279669
