t_s,theta_s_norm_deg,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,hw_x_Nms,hw_y_Nms,hw_z_Nms,omega_s_x_dps,omega_s_y_dps,omega_s_z_dps,omega_s_norm_dps
0.010,6.192922e-14,1.461351e-14,3.295215e-15,6.009005e-14,-2.319809e-16,-4.596853e-17,-9.352192e-16,2.706960e-12,5.949187e-13,1.072825e-11,1.108048e-11
0.040,6.654555e-13,1.487094e-13,-3.760085e-15,6.486157e-13,7.085971e-11,-2.323102e-11,6.592769e-11,5.853723e-12,-9.203792e-13,2.521432e-11,2.590126e-11
0.070,1.499034e-12,3.337503e-13,-3.669836e-14,1.460947e-12,7.461072e-11,-2.783976e-11,1.805416e-10,5.814188e-12,-1.090615e-12,2.802015e-11,2.863779e-11
0.100,2.341533e-12,4.652621e-13,-6.206498e-14,2.294005e-12,5.174978e-11,-3.009695e-11,2.917297e-10,2.623751e-12,-6.122922e-13,2.717619e-11,2.730941e-11
0.310,1.237053e-03,-8.979916e-04,8.048582e-04,-2.758873e-04,-5.985079e-02,1.351611e-01,-6.230803e-02,-5.934334e-03,5.884405e-03,-1.735191e-03,8.535422e-03
0.610,5.284696e-03,-3.683684e-03,3.650548e-03,-1.015869e-03,-1.505092e-01,3.080654e-01,-1.187999e-01,-1.285120e-02,1.273881e-02,-3.053060e-03,1.835079e-02
0.910,1.223042e-02,-8.805909e-03,8.236911e-03,-2.047528e-03,-2.761588e-01,4.445869e-01,-1.683698e-01,-2.145485e-02,1.727938e-02,-3.785600e-03,2.780680e-02
1.210,2.172397e-02,-1.647913e-02,1.375304e-02,-3.350049e-03,-4.044848e-01,5.297194e-01,-2.368597e-01,-2.928917e-02,1.922348e-02,-5.167795e-03,3.541333e-02
1.510,3.283981e-02,-2.575014e-02,1.964214e-02,-5.437815e-03,-4.719023e-01,5.883933e-01,-3.705058e-01,-3.170130e-02,2.010416e-02,-9.247744e-03,3.866097e-02
1.810,4.417568e-02,-3.461704e-02,2.582003e-02,-9.299298e-03,-4.410588e-01,6.462449e-01,-5.870192e-01,-2.704199e-02,2.134036e-02,-1.687126e-02,3.835778e-02
2.110,5.490776e-02,-4.133135e-02,3.248114e-02,-1.586054e-02,-3.330116e-01,7.083566e-01,-8.541828e-01,-1.808832e-02,2.325899e-02,-2.689628e-02,3.989459e-02
2.410,6.530572e-02,-4.513506e-02,3.970555e-02,-2.551732e-02,-1.926585e-01,7.578589e-01,-1.121570e+00,-7.949776e-03,2.497764e-02,-3.718688e-02,4.549665e-02
2.710,7.615316e-02,-4.616923e-02,4.726840e-02,-3.786032e-02,-7.875479e-02,7.823431e-01,-1.321100e+00,-7.153485e-05,2.531446e-02,-4.413524e-02,5.087973e-02
3.020,8.425650e-02,-4.590102e-02,5.250643e-02,-4.727927e-02,-3.732778e-02,7.885648e-01,-1.386810e+00,-1.204242e-03,2.227567e-02,-4.482181e-02,5.006646e-02
3.050,8.562181e-02,-4.604255e-02,5.325549e-02,-4.873428e-02,-3.294784e-02,7.521879e-01,-1.351875e+00,-5.342684e-03,2.751350e-02,-5.051054e-02,5.776549e-02
3.080,8.709164e-02,-4.618244e-02,5.409705e-02,-5.025580e-02,-7.022954e-02,7.240190e-01,-1.334521e+00,-4.182848e-03,2.771323e-02,-5.033699e-02,5.761365e-02
3.110,8.849991e-02,-4.631007e-02,5.488258e-02,-5.172537e-02,-1.076979e-01,6.904741e-01,-1.318808e+00,-4.387290e-03,2.441118e-02,-4.714677e-02,5.327262e-02
3.140,8.977891e-02,-4.645578e-02,5.554959e-02,-5.306935e-02,-1.334265e-01,6.528737e-01,-1.283057e+00,-5.152199e-03,2.003450e-02,-4.221638e-02,4.701222e-02
3.170,9.089745e-02,-4.661815e-02,5.608326e-02,-5.425646e-02,-1.545907e-01,6.169760e-01,-1.245368e+00,-5.525620e-03,1.572885e-02,-3.700047e-02,4.058280e-02
3.200,9.186612e-02,-4.678361e-02,5.650215e-02,-5.530085e-02,-1.658420e-01,5.861828e-01,-1.207684e+00,-5.318091e-03,1.247023e-02,-3.282538e-02,3.551470e-02
3.230,9.272013e-02,-4.693391e-02,5.684329e-02,-5.624118e-02,-1.697170e-01,5.603194e-01,-1.170006e+00,-4.578375e-03,1.054449e-02,-3.007791e-02,3.219982e-02
3.260,9.350199e-02,-4.705905e-02,5.714465e-02,-5.711881e-02,-1.688717e-01,5.388845e-01,-1.132358e+00,-3.712483e-03,9.743382e-03,-2.859168e-02,3.043353e-02
