t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
0.010,-1.355621e-21,-1.409058e-21,9.042756e-22,2.154267e-21
0.510,-8.509184e-08,1.955835e-07,1.984332e-07,2.913233e-07
1.010,-2.775006e-07,4.976161e-07,-1.777662e-07,5.968494e-07
1.510,-5.248700e-07,7.847578e-07,-1.045733e-07,9.498784e-07
2.010,-7.665237e-07,8.391404e-07,3.021038e-07,1.176003e-06
2.510,-9.346617e-07,8.261841e-07,4.045590e-07,1.311427e-06
3.010,5.165317e-04,-4.526285e-04,1.330976e-04,6.995660e-04
3.510,-5.341189e-05,-4.683277e-05,-1.787869e-04,1.923822e-04
4.010,-5.347236e-05,-4.711005e-05,-1.788213e-04,1.924986e-04
4.510,-5.349642e-05,-4.724391e-05,-1.788160e-04,1.925332e-04
5.010,-5.349501e-05,-4.725070e-05,-1.788167e-04,1.925351e-04
5.510,-5.349466e-05,-4.725040e-05,-1.788167e-04,1.925349e-04
6.010,-5.349175e-05,-4.725474e-05,-1.788076e-04,1.925268e-04
6.510,-5.348849e-05,-4.729129e-05,-1.787402e-04,1.924722e-04
7.010,-5.348499e-05,-4.729694e-05,-1.786632e-04,1.924011e-04
7.510,-5.348049e-05,-4.727123e-05,-1.786100e-04,1.923441e-04
8.010,-5.347422e-05,-4.721922e-05,-1.785871e-04,1.923083e-04
8.510,-5.346675e-05,-4.715392e-05,-1.785743e-04,1.922784e-04
9.010,-5.346216e-05,-4.708102e-05,-1.785000e-04,1.921902e-04
9.510,-5.346206e-05,-4.700667e-05,-1.783676e-04,1.920490e-04
10.010,-5.346504e-05,-4.691996e-05,-1.782021e-04,1.918749e-04
10.510,-5.346755e-05,-4.683398e-05,-1.780324e-04,1.916970e-04
11.010,-5.346935e-05,-4.677633e-05,-1.778970e-04,1.915577e-04
11.510,-5.347023e-05,-4.673568e-05,-1.777771e-04,1.914367e-04
12.010,-5.347115e-05,-4.671479e-05,-1.777024e-04,1.913625e-04
12.510,-5.347284e-05,-4.671180e-05,-1.776620e-04,1.913247e-04
13.010,-5.347131e-05,-4.670395e-05,-1.776665e-04,1.913265e-04
13.510,-5.347140e-05,-4.671270e-05,-1.776868e-04,1.913475e-04
14.010,-5.348119e-05,-4.675710e-05,-1.776329e-04,1.913111e-04
14.510,-5.348824e-05,-4.679007e-05,-1.776066e-04,1.912966e-04
15.010,-4.992715e-06,5.213918e-04,-6.426924e-04,8.276037e-04
15.510,-4.955738e-06,5.214299e-04,-6.428414e-04,8.277432e-04
16.010,-4.953940e-06,5.214258e-04,-6.428356e-04,8.277361e-04
16.510,-4.953858e-06,5.214256e-04,-6.428354e-04,8.277358e-04
17.010,-4.953817e-06,5.214255e-04,-6.428355e-04,8.277358e-04
17.510,-4.953806e-06,5.214254e-04,-6.428355e-04,8.277357e-04
18.010,-4.953804e-06,5.214254e-04,-6.428354e-04,8.277357e-04
18.510,-5.403975e-06,5.214072e-04,-6.423669e-04,8.273632e-04
19.010,-5.524449e-06,5.215596e-04,-6.418096e-04,8.270275e-04
19.510,-5.674753e-06,5.217149e-04,-6.412688e-04,8.267069e-04
20.010,-5.816556e-06,5.217036e-04,-6.407289e-04,8.262820e-04
20.510,-5.892239e-06,5.215413e-04,-6.407125e-04,8.261674e-04
21.010,-5.917468e-06,5.213735e-04,-6.410037e-04,8.262875e-04
21.510,-5.811637e-06,5.213026e-04,-6.410974e-04,8.263148e-04
22.010,-5.829315e-06,5.212764e-04,-6.410963e-04,8.262975e-04
22.510,-5.862971e-06,5.212305e-04,-6.410232e-04,8.262120e-04
23.010,-5.895766e-06,5.211883e-04,-6.409938e-04,8.261629e-04
23.510,-5.899548e-06,5.211488e-04,-6.411676e-04,8.262728e-04
24.010,-5.899723e-06,5.211214e-04,-6.413467e-04,8.263945e-04
24.510,-5.900379e-06,5.211026e-04,-6.414758e-04,8.264828e-04
25.010,-5.901530e-06,5.210917e-04,-6.415560e-04,8.265383e-04
25.510,-5.903151e-06,5.210871e-04,-6.415968e-04,8.265671e-04
26.010,-5.904879e-06,5.210867e-04,-6.416089e-04,8.265762e-04
26.510,-5.906381e-06,5.210888e-04,-6.416019e-04,8.265720e-04
27.010,-5.909153e-06,5.210971e-04,-6.415552e-04,8.265410e-04
27.510,-5.911632e-06,5.211100e-04,-6.414773e-04,8.264888e-04
28.010,-5.914882e-06,5.211212e-04,-6.414021e-04,8.264375e-04
28.510,6.663539e-04,-2.661536e-05,-2.053898e-04,6.977971e-04
29.010,7.286604e-04,5.249107e-05,-1.638429e-04,7.486961e-04
29.510,7.288140e-04,5.218448e-05,-1.637854e-04,7.488115e-04
30.010,7.288203e-04,5.214905e-05,-1.637798e-04,7.488139e-04
30.510,7.288210e-04,5.214876e-05,-1.637797e-04,7.488147e-04
