t_s,omega_s_x_dps,omega_s_y_dps,omega_s_z_dps,hw_x_Nms,hw_y_Nms,hw_z_Nms,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,tau_w_x_Nm,tau_w_y_Nm,tau_w_z_Nm
0.010,2.706960e-12,5.949187e-13,1.072825e-11,-2.319809e-16,-4.596853e-17,-9.352192e-16,1.461351e-14,3.295215e-15,6.009005e-14,8.479328e-16,1.189326e-15,1.942890e-16
0.210,-4.100109e-03,3.601931e-03,-1.092707e-03,-3.879511e-02,8.124363e-02,-3.989160e-02,-3.938036e-04,3.235088e-04,-1.305917e-04,-4.144067e-01,1.111207e+00,-4.853268e-01
0.410,-8.052130e-03,8.277550e-03,-2.254061e-03,-8.598456e-02,1.933104e-01,-8.226290e-02,-1.600188e-03,1.521419e-03,-4.780065e-04,-5.801752e-01,1.270799e+00,-4.378423e-01
0.610,-1.285120e-02,1.273881e-02,-3.053060e-03,-1.505092e-01,3.080654e-01,-1.187999e-01,-3.683684e-03,3.650548e-03,-1.015869e-03,-7.500628e-01,1.157310e+00,-4.037881e-01
0.810,-1.847101e-02,1.610247e-02,-3.562465e-03,-2.314015e-01,4.053260e-01,-1.517365e-01,-6.809286e-03,6.564348e-03,-1.680628e-03,-8.904395e-01,8.912674e-01,-3.878874e-01
1.010,-2.438117e-02,1.815267e-02,-4.071763e-03,-3.215653e-01,4.778014e-01,-1.868804e-01,-1.109686e-02,1.000979e-02,-2.439550e-03,-9.034181e-01,6.162117e-01,-4.645553e-01
1.210,-2.928917e-02,1.922348e-02,-5.167795e-03,-4.044848e-01,5.297194e-01,-2.368597e-01,-1.647913e-02,1.375304e-02,-3.350049e-03,-6.991340e-01,4.274077e-01,-6.964377e-01
1.410,-3.171420e-02,1.982740e-02,-7.491933e-03,-4.597275e-01,5.699433e-01,-3.164948e-01,-2.259703e-02,1.765160e-02,-4.598362e-03,-2.878035e-01,3.394205e-01,-1.060376e+00
1.610,-3.086099e-02,2.042791e-02,-1.141406e-02,-4.726116e-01,6.069018e-01,-4.341732e-01,-2.885535e-02,2.166214e-02,-6.474983e-03,2.164161e-01,3.320440e-01,-1.449755e+00
1.810,-2.704199e-02,2.134036e-02,-1.687126e-02,-4.410588e-01,6.462449e-01,-5.870192e-01,-3.461704e-02,2.582003e-02,-9.299298e-03,6.646782e-01,3.622876e-01,-1.745370e+00
