t_s,phase,step_index,swing_arm,d_grip_swing_mm,ori_err_deg,pos_ok,ori_ok,gate_eval,twist_norm_at_gateeval,docked_at_gateeval,Hdot_s_realized_cont_x_Nm,Hdot_s_realized_cont_y_Nm,Hdot_s_realized_cont_z_Nm,Hdot_s_realized_norm_Nm,Hdot_s_planned_ss_x_Nm,Hdot_s_planned_ss_y_Nm,Hdot_s_planned_ss_z_Nm,Hdot_s_planned_norm_Nm,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,r_com_x_m,r_com_y_m,r_com_z_m,r_com_ref_x_m,r_com_ref_y_m,r_com_ref_z_m,e_com_m,v_com_x_mps,v_com_y_mps,v_com_z_mps,v_com_ref_x_mps,v_com_ref_y_mps,v_com_ref_z_mps,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,e_torso_pos_m,e_torso_ori_deg,p_torso_x_m,p_torso_y_m,p_torso_z_m,p_torso_ref_x_m,p_torso_ref_y_m,p_torso_ref_z_m,e_ee_pos_mm,e_ee_ori_deg,qp_ok,nmpc_ok,qp_time_ms,nmpc_time_ms,nmpc_iterations,lambda_qp_norm,lambda_ref_norm,tau_max_joint_Nm
0.0100,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,1.590394e-15,3.105849e-15,1.265654e-15,-2.282686e-16,-3.638611e-17,-9.298624e-16,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,1.284931e-14,2.692161e-12,-2.391641e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.461351e-14,3.295213e-15,6.009005e-14,7.522580e-15,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,3.627814e-15,,7.216450e-16
0.0200,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,5.831081e-09,-9.806017e-10,1.185913e-09,2.915433e-11,-4.902865e-12,5.927865e-12,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-4.573686e-13,6.827060e-12,9.775335e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.845668e-14,6.193643e-15,2.064654e-13,3.541668e-14,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,7.810551e-09,,3.988689e-09
0.0300,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,5.124860e-09,-2.293031e-09,5.439491e-09,5.477645e-11,-1.636745e-11,3.312395e-11,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-9.690168e-13,1.043044e-11,2.217251e-12,0.000000e+00,0.000000e+00,0.000000e+00,9.388154e-14,3.409157e-15,4.095888e-13,9.210284e-14,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,9.139334e-09,,3.948201e-09
0.0400,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,3.217267e-09,-1.372845e-09,6.561142e-09,7.085957e-11,-2.323065e-11,6.592694e-11,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-1.405756e-12,1.310818e-11,3.211998e-12,0.000000e+00,0.000000e+00,0.000000e+00,1.487020e-13,-3.763092e-15,6.486154e-13,1.746013e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,7.808619e-09,,2.934753e-09
0.0500,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,1.428420e-09,-7.339175e-10,7.453261e-09,7.799791e-11,-2.689896e-11,1.031889e-10,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-1.737014e-12,1.483178e-11,3.854796e-12,0.000000e+00,0.000000e+00,0.000000e+00,2.098013e-13,-1.396975e-14,9.093046e-13,2.755370e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,6.604618e-09,,2.630402e-09
0.0600,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,1.003251e-10,-1.986965e-10,7.699067e-09,7.849563e-11,-2.789107e-11,1.416780e-10,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-1.984126e-12,1.576466e-11,4.185698e-12,0.000000e+00,0.000000e+00,0.000000e+00,2.729723e-13,-2.543204e-14,1.182209e-12,3.869931e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,6.038882e-09,,3.129368e-09
0.0700,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,-7.761174e-10,1.008297e-11,7.774096e-09,7.461125e-11,-2.783927e-11,1.805404e-10,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-2.189196e-12,1.608580e-11,4.263153e-12,0.000000e+00,0.000000e+00,0.000000e+00,3.337283e-13,-3.671115e-14,1.460949e-12,5.029520e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,6.227236e-09,,3.525824e-09
0.0800,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,-1.306026e-09,1.539927e-11,7.665825e-09,6.807763e-11,-2.776090e-11,2.188595e-10,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-2.402091e-12,1.595692e-11,4.159483e-12,0.000000e+00,0.000000e+00,0.000000e+00,3.880033e-13,-4.682596e-14,1.741126e-12,6.196517e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,6.601224e-09,,3.769433e-09
0.0900,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,-1.579956e-09,-1.268782e-10,7.449368e-09,6.017474e-11,-2.839390e-11,2.560945e-10,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-2.668960e-12,1.550286e-11,3.929596e-12,0.000000e+00,0.000000e+00,0.000000e+00,4.325853e-13,-5.528531e-14,2.019592e-12,7.349174e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,6.904864e-09,,3.892154e-09
0.1000,DS_interstep,-1,,0.0000,0.0000,1,1,0,,,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,-1.684725e-09,-3.409507e-10,7.129638e-09,5.174843e-11,-3.009720e-11,2.917291e-10,-3.546131e-02,-6.154010e-01,-3.500000e-01,-3.546131e-02,-6.154010e-01,-3.500000e-01,0.000000e+00,-3.025665e-12,1.481853e-11,3.624228e-12,0.000000e+00,0.000000e+00,0.000000e+00,4.652625e-13,-6.208542e-14,2.294009e-12,8.484894e-13,0.000000e+00,1.765921e-01,-8.155960e-01,-3.435803e-01,1.765921e-01,-8.155960e-01,-3.435803e-01,0.000000e+00,0.000000e+00,1,0,0.000000e+00,0.000000e+00,0,7.034012e-09,,3.898227e-09
