t_s,phase,step_index,Hdot_s_realized_cont_x_Nm,Hdot_s_realized_cont_y_Nm,Hdot_s_realized_cont_z_Nm,Hdot_s_realized_norm_Nm,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,d_grip_swing_mm
0.0100,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.590394e-15,3.105849e-15,1.265654e-15,-2.282686e-16,-3.638611e-17,-9.298624e-16,1.461351e-14,3.295213e-15,6.009005e-14,0.0000
0.0200,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.831081e-09,-9.806017e-10,1.185913e-09,2.915433e-11,-4.902865e-12,5.927865e-12,4.845668e-14,6.193643e-15,2.064654e-13,0.0000
0.0300,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.124860e-09,-2.293031e-09,5.439491e-09,5.477645e-11,-1.636745e-11,3.312395e-11,9.388154e-14,3.409157e-15,4.095888e-13,0.0000
0.0400,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.217267e-09,-1.372845e-09,6.561142e-09,7.085957e-11,-2.323065e-11,6.592694e-11,1.487020e-13,-3.763092e-15,6.486154e-13,0.0000
0.0500,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.428420e-09,-7.339175e-10,7.453261e-09,7.799791e-11,-2.689896e-11,1.031889e-10,2.098013e-13,-1.396975e-14,9.093046e-13,0.0000
0.0600,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.003251e-10,-1.986965e-10,7.699067e-09,7.849563e-11,-2.789107e-11,1.416780e-10,2.729723e-13,-2.543204e-14,1.182209e-12,0.0000
0.0700,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.761174e-10,1.008297e-11,7.774096e-09,7.461125e-11,-2.783927e-11,1.805404e-10,3.337283e-13,-3.671115e-14,1.460949e-12,0.0000
0.0800,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.306026e-09,1.539927e-11,7.665825e-09,6.807763e-11,-2.776090e-11,2.188595e-10,3.880033e-13,-4.682596e-14,1.741126e-12,0.0000
0.0900,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.579956e-09,-1.268782e-10,7.449368e-09,6.017474e-11,-2.839390e-11,2.560945e-10,4.325853e-13,-5.528531e-14,2.019592e-12,0.0000
0.1000,DS_interstep,-1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.684725e-09,-3.409507e-10,7.129638e-09,5.174843e-11,-3.009720e-11,2.917291e-10,4.652625e-13,-6.208542e-14,2.294009e-12,0.0000
0.1100,SS,0,8.320767e-02,-9.300186e-01,4.795115e-01,1.049662e+00,-1.424144e-01,1.165593e+00,-2.842052e-01,-3.047785e-03,3.323630e-02,-2.568678e-02,-1.954668e-05,6.591305e-05,-5.872598e-05,799.5962
0.2100,SS,0,9.296357e-02,-1.163524e+00,5.709421e-01,1.299387e+00,-1.111855e-01,1.149814e+00,-5.882722e-01,-9.102902e-03,8.582338e-02,-4.917707e-02,-1.113380e-04,3.609693e-04,-1.903269e-04,797.4333
0.3100,SS,0,1.296740e-01,-1.346481e+00,6.825628e-01,1.515163e+00,-1.549436e-01,1.371833e+00,-6.955722e-01,-1.537112e-02,1.447104e-01,-8.233960e-02,-2.592710e-04,9.000744e-04,-4.308899e-04,792.1387
0.4100,SS,0,1.884530e-01,-1.448294e+00,7.734685e-01,1.652672e+00,-2.347627e-01,1.494615e+00,-7.829086e-01,-2.510074e-02,2.121416e-01,-1.185136e-01,-4.786950e-04,1.719067e-03,-7.931706e-04,782.5628
0.5100,SS,0,2.806672e-01,-1.427467e+00,7.672661e-01,1.644729e+00,-3.460115e-01,1.461814e+00,-8.042575e-01,-3.943882e-02,2.810422e-01,-1.551385e-01,-7.987148e-04,2.829243e-03,-1.279168e-03,767.8663
0.6100,SS,0,3.987215e-01,-1.333151e+00,7.344769e-01,1.573444e+00,-4.844814e-01,1.377043e+00,-7.925662e-01,-5.982508e-02,3.475475e-01,-1.914392e-01,-1.260016e-03,4.214943e-03,-1.883004e-03,747.5333
0.7100,SS,0,5.226673e-01,-1.193828e+00,6.978540e-01,1.478312e+00,-6.230310e-01,1.252530e+00,-7.794922e-01,-8.681430e-02,4.096154e-01,-2.269860e-01,-1.912220e-03,5.849301e-03,-2.594352e-03,721.3556
0.8100,SS,0,6.408081e-01,-1.029166e+00,6.672356e-01,1.383843e+00,-7.524017e-01,1.100438e+00,-7.730768e-01,-1.202460e-01,4.656366e-01,-2.620229e-01,-2.804802e-03,7.697754e-03,-3.402871e-03,689.4110
0.9100,SS,0,7.351593e-01,-8.614878e-01,6.587335e-01,1.310172e+00,-8.515308e-01,9.452573e-01,-7.858223e-01,-1.592300e-01,5.149444e-01,-2.972515e-01,-3.982188e-03,9.721847e-03,-4.300475e-03,652.0344
1.0100,SS,0,7.911641e-01,-7.097054e-01,6.884448e-01,1.266325e+00,-9.041798e-01,8.057393e-01,-8.322689e-01,-2.020159e-01,5.578603e-01,-3.340990e-01,-5.476110e-03,1.188450e-02,-5.284455e-03,609.7831
1.1100,SS,0,7.986507e-01,-5.821990e-01,7.622412e-01,1.248123e+00,-8.996152e-01,6.883726e-01,-9.183190e-01,-2.462469e-01,5.952184e-01,-3.743181e-01,-7.300041e-03,1.415347e-02,-6.359668e-03,563.3987
1.2100,SS,0,7.548783e-01,-4.817467e-01,8.789261e-01,1.254764e+00,-8.349621e-01,5.955494e-01,-1.042763e+00,-2.892537e-01,6.280590e-01,-4.197845e-01,-9.446150e-03,1.650263e-02,-7.539433e-03,513.7690
1.3100,SS,0,6.629323e-01,-4.087745e-01,1.032340e+00,1.293175e+00,-7.128788e-01,5.277795e-01,-1.199333e+00,-3.283412e-01,6.574989e-01,-4.722234e-01,-1.188538e-02,1.891230e-02,-8.845224e-03,461.8901
1.4100,SS,0,5.299122e-01,-3.623803e-01,1.212008e+00,1.371528e+00,-5.402233e-01,4.837814e-01,-1.377159e+00,-3.609995e-01,6.846298e-01,-5.329463e-01,-1.456963e-02,2.136927e-02,-1.030549e-02,408.8290
1.5100,SS,0,3.715634e-01,-3.403836e-01,1.404184e+00,1.491862e+00,-3.363960e-01,4.604536e-01,-1.560695e+00,-3.853601e-01,7.104711e-01,-6.026834e-01,-1.743662e-02,2.386653e-02,-1.195382e-02,355.6882
1.6100,SS,0,2.012284e-01,-3.345499e-01,1.588540e+00,1.635810e+00,-1.169977e-01,4.479383e-01,-1.729806e+00,-4.003158e-01,7.356848e-01,-6.811054e-01,-2.041729e-02,2.640221e-02,-1.382562e-02,303.5703
1.7100,SS,0,3.527886e-02,-3.420215e-01,1.755819e+00,1.789168e+00,9.677175e-02,4.455069e-01,-1.873105e+00,-4.056220e-01,7.607967e-01,-7.674702e-01,-2.344215e-02,2.897822e-02,-1.595573e-02,253.5412
1.8100,SS,0,-1.204967e-01,-3.512804e-01,1.890890e+00,1.927014e+00,2.973458e-01,4.403314e-01,-1.977829e+00,-4.016260e-01,7.859076e-01,-8.601289e-01,-2.644693e-02,3.159913e-02,-1.837553e-02,206.5922
1.9100,SS,0,-2.563297e-01,-3.570660e-01,1.990961e+00,2.038903e+00,4.694567e-01,4.291581e-01,-2.040856e+00,-3.892437e-01,8.108566e-01,-9.574414e-01,-2.937446e-02,3.427017e-02,-2.111161e-02,163.6016
2.0100,SS,0,-3.644928e-01,-3.322488e-01,2.024243e+00,2.083460e+00,5.991354e-01,3.781430e-01,-2.036769e+00,-3.701083e-01,8.344081e-01,-1.056244e+00,-3.217834e-02,3.699409e-02,-2.418155e-02,125.2988
2.1100,SS,0,-4.504436e-01,-2.938277e-01,2.015704e+00,2.086216e+00,6.983535e-01,3.185873e-01,-1.990472e+00,-3.456925e-01,8.556232e-01,-1.154691e+00,-3.482308e-02,3.976764e-02,-2.759372e-02,92.2273
2.2100,SS,0,-4.984682e-01,-2.117043e-01,1.921565e+00,1.996422e+00,7.380723e-01,2.031469e-01,-1.867404e+00,-3.181597e-01,8.727831e-01,-1.248989e+00,-3.728236e-02,4.258267e-02,-3.134423e-02,64.7171
2.3100,SS,0,-5.224362e-01,-8.186946e-02,1.705705e+00,1.785797e+00,7.382250e-01,3.462610e-02,-1.634639e+00,-2.895639e-01,8.831887e-01,-1.333616e+00,-3.954191e-02,4.541826e-02,-3.540876e-02,42.8650
2.4100,SS,0,-5.219823e-01,9.163511e-02,1.352333e+00,1.452469e+00,7.109173e-01,-1.678721e-01,-1.287901e+00,-2.617214e-01,8.848929e-01,-1.402271e+00,-4.159271e-02,4.824192e-02,-3.973746e-02,26.5173
2.5100,SS,0,-4.939756e-01,2.149286e-01,1.000760e+00,1.136542e+00,6.594417e-01,-3.041538e-01,-9.621348e-01,-2.350838e-01,8.795975e-01,-1.456581e+00,-4.342501e-02,5.101853e-02,-4.427040e-02,15.2393
2.6100,SS,0,-4.303550e-01,2.751126e-01,6.609756e-01,8.353329e-01,5.505954e-01,-3.685655e-01,-6.529070e-01,-2.116200e-01,8.699921e-01,-1.497550e+00,-4.503824e-02,5.372258e-02,-4.894694e-02,8.2680
2.7100,SS,0,-3.303825e-01,2.635754e-01,3.437684e-01,5.447947e-01,3.896660e-01,-3.318636e-01,-3.653266e-01,-1.939649e-01,8.598674e-01,-1.525966e+00,-4.645306e-02,5.634072e-02,-5.370419e-02,4.4800
2.8100,SS,0,-1.771160e-01,1.866123e-01,7.737584e-02,2.686656e-01,2.000543e-01,-2.195303e-01,-1.534255e-01,-1.839510e-01,8.533803e-01,-1.543645e+00,-4.770717e-02,5.887623e-02,-5.847984e-02,2.5652
2.9200,DS_interstep,0,-1.758900e+00,4.473300e+00,-5.000000e+00,6.935715e+00,1.752778e+00,-4.454830e+00,4.964178e+00,-1.751780e-01,8.310646e-01,-1.518748e+00,-4.781062e-02,5.906722e-02,-5.889126e-02,2.4061
2.9300,DS_interstep,0,-3.863518e-01,3.893002e+00,-5.000000e+00,6.348601e+00,4.805993e-02,-3.930831e+00,4.865464e+00,-1.749287e-01,8.113694e-01,-1.494346e+00,-4.796179e-02,5.925452e-02,-5.931872e-02,1.9205
2.9400,DS_interstep,0,6.865604e-01,3.657375e+00,-5.000000e+00,6.232797e+00,-8.144441e-01,-3.629184e+00,4.912269e+00,-1.789920e-01,7.931833e-01,-1.469710e+00,-4.812662e-02,5.944658e-02,-5.975401e-02,1.4468
2.9500,DS_interstep,0,1.269022e+00,3.629344e+00,-5.000000e+00,6.307341e+00,-1.303174e+00,-3.586100e+00,4.939064e+00,-1.854988e-01,7.752136e-01,-1.444942e+00,-4.829090e-02,5.964416e-02,-6.019195e-02,1.0502
2.9600,DS_interstep,0,1.528652e+00,3.641894e+00,-5.000000e+00,6.371826e+00,-1.526372e+00,-3.602463e+00,4.958532e+00,-1.931213e-01,7.571629e-01,-1.420078e+00,-4.844989e-02,5.984530e-02,-6.062855e-02,0.7426
2.9700,DS_interstep,0,1.584358e+00,3.558855e+00,-4.800296e+00,6.182110e+00,-1.572603e+00,-3.531019e+00,4.774776e+00,-2.009745e-01,7.394704e-01,-1.396133e+00,-4.860310e-02,6.004684e-02,-6.106057e-02,0.5145
2.9800,DS_interstep,0,1.529111e+00,3.325611e+00,-4.231121e+00,5.594663e+00,-1.519747e+00,-3.312905e+00,4.218734e+00,-2.085630e-01,7.228694e-01,-1.374970e+00,-4.875175e-02,6.024525e-02,-6.148545e-02,0.3502
2.9900,DS_interstep,0,1.453006e+00,3.332069e+00,-4.197875e+00,5.553023e+00,-1.450247e+00,-3.334904e+00,4.195933e+00,-2.158037e-01,7.061592e-01,-1.353923e+00,-4.889728e-02,6.043760e-02,-6.190108e-02,0.2341
3.0000,DS_interstep,0,1.331600e+00,3.389927e+00,-4.395786e+00,5.708564e+00,-1.334193e+00,-3.404093e+00,4.403542e+00,-2.224637e-01,6.891039e-01,-1.331838e+00,-4.904088e-02,6.062174e-02,-6.230556e-02,0.1534
3.0100,DS_interstep,0,1.188987e+00,3.462996e+00,-4.732114e+00,5.983222e+00,-1.195969e+00,-3.485782e+00,4.748763e+00,-2.284323e-01,6.716411e-01,-1.308028e+00,-4.918339e-02,6.079617e-02,-6.269720e-02,0.0981
3.0200,DS_interstep,0,1.036342e+00,3.476960e+00,-5.000000e+00,6.177642e+00,-1.046343e+00,-3.506102e+00,5.000000e+00,-2.336524e-01,6.540775e-01,-1.282964e+00,-4.932540e-02,6.095981e-02,-6.307456e-02,0.0614
3.0300,DS_interstep,0,8.840758e-01,3.371092e+00,-5.000000e+00,6.094740e+00,-8.959520e-01,-3.405142e+00,5.000000e+00,-2.381204e-01,6.370196e-01,-1.257900e+00,-4.946723e-02,6.111187e-02,-6.343660e-02,0.0391
3.0400,DS_interstep,0,7.509892e-01,3.279415e+00,-5.000000e+00,6.026487e+00,-7.638146e-01,-3.317478e+00,5.000000e+00,-2.419275e-01,6.204009e-01,-1.232838e+00,-4.960892e-02,6.125190e-02,-6.378272e-02,0.0292
3.0500,DS_interstep,0,6.228115e-01,3.190474e+00,-5.000000e+00,5.963809e+00,-6.351355e-01,-3.230647e+00,5.000000e+00,-2.450910e-01,6.042172e-01,-1.207777e+00,-4.975025e-02,6.137983e-02,-6.411269e-02,0.0284
3.0600,DS_interstep,0,4.963683e-01,3.100392e+00,-5.000000e+00,5.904135e+00,-5.073350e-01,-3.141140e+00,5.000000e+00,-2.476153e-01,5.884818e-01,-1.182718e+00,-4.989087e-02,6.149591e-02,-6.442659e-02,0.0312
