tick,t_s,phase,step_index,Hdot_s_x,Hdot_s_y,Hdot_s_z,Hdot_s_source,tau_w_x,tau_w_y,tau_w_z,dq_joint_norm,T_kin,L_com_norm,hw_norm,settle_exit
0,0.01,DS,-1,-0.0,-0.0,0.0,realized,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0
1,0.02,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.03,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.04,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.05,DS,-1,-0.0,0.0,-0.0,realized,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.06,DS,-1,0.0,0.0,-0.0,realized,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.07,DS,-1,0.0,0.0,-0.0,realized,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.08,DS,-1,0.0,-0.0,-0.0,realized,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.09,DS,-1,0.0,-0.0,-0.0,realized,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.1,DS,-1,0.0,-0.0,-0.0,realized,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.11,SS,0,0.45702,-1.44443,2.47174,planned,-0.64772,1.27268,-1.23541,0.067851,0.000977592,0.0359,0.059708,0
11,0.21,SS,0,0.60689,-1.41343,2.70624,planned,-0.83994,1.99374,-2.38814,0.110236,0.00792375,0.072444,0.182239,0
12,0.31,SS,0,0.67814,-1.22673,3.34471,planned,-1.05958,2.54146,-3.25824,0.198191,0.030647168,0.126662,0.358494,0
13,0.41,SS,0,0.68897,-0.98183,3.89193,planned,-1.21403,2.93483,-3.91049,0.305437,0.078647162,0.189908,0.575777,0
14,0.51,SS,0,0.62727,-0.70614,4.42917,planned,-1.27451,3.16098,-4.39083,0.419092,0.158316197,0.255769,0.822836,0
15,0.61,SS,0,0.50167,-0.42667,4.89527,planned,-1.26258,3.24194,-4.6817,0.527785,0.271307482,0.320191,1.088597,0
16,0.71,SS,0,0.32174,-0.13615,4.99998,planned,-1.19018,3.19027,-4.7818,0.623315,0.414399264,0.381059,1.362125,0
17,0.81,SS,0,0.09142,0.11289,4.99999,planned,-1.06929,3.03884,-4.70906,0.701254,0.580492849,0.436855,1.633869,0
18,0.91,SS,0,-0.18754,0.30416,4.99999,planned,-0.91114,2.80793,-4.47961,0.760302,0.759671485,0.48692,1.895404,0
19,1.01,SS,0,-0.50386,0.44197,4.99999,planned,-0.7235,2.51258,-4.1103,0.801756,0.940200638,0.530139,2.139284,0
