t_s,tick,phase,step_index,Hdot_s_x_Nm,Hdot_s_y_Nm,Hdot_s_z_Nm,Hdot_s_proxy_x_Nm,Hdot_s_proxy_y_Nm,Hdot_s_proxy_z_Nm,hw_x_Nms,hw_y_Nms,hw_z_Nms,theta_s_x_deg,theta_s_y_deg,theta_s_z_deg,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,rcom_x_m,rcom_y_m,rcom_z_m,rref_x_m,rref_y_m,rref_z_m,tauw_x_Nm,tauw_y_Nm,tauw_z_Nm,torso_pos_x_m,torso_pos_y_m,torso_pos_z_m,torso_pos_ref_x_m,torso_pos_ref_y_m,torso_pos_ref_z_m,torso_ori_err_deg,swing_dist_m,swing_active,swing_arm
0.010000,0,DS_interstep,-1,,,,,,,7.966571e-16,2.265843e-16,-1.680526e-15,0.000000,0.000000,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,2.065792e-13,5.570084e-14,-1.488702e-13,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.020000,1,DS_interstep,-1,,,,,,,1.367820e-10,1.575195e-11,-9.712648e-12,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,2.735689e-08,3.150321e-09,-1.942015e-09,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.030000,2,DS_interstep,-1,,,,,,,1.229371e-10,-6.849355e-11,1.722883e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-2.767593e-09,-1.684929e-08,3.640106e-08,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.040000,3,DS_interstep,-1,,,,,,,1.536398e-10,9.515395e-11,-1.637615e-10,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,6.142005e-09,3.272947e-08,-6.720991e-08,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.050000,4,DS_interstep,-1,,,,,,,2.277578e-10,-5.185182e-10,1.264409e-09,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,1.482529e-08,-1.227360e-07,2.856398e-07,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.060000,5,DS_interstep,-1,,,,,,,-1.042882e-10,1.572756e-09,-3.457380e-09,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-6.640756e-08,4.182584e-07,-9.443697e-07,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.070000,6,DS_interstep,-1,,,,,,,1.110035e-09,-5.755330e-09,1.331864e-08,-0.000000,0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,2.428662e-07,-1.465632e-06,3.355257e-06,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.080000,7,DS_interstep,-1,,,,,,,-3.221654e-09,1.990269e-08,-4.521350e-08,0.000000,-0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-8.663357e-07,5.131655e-06,-1.170660e-05,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.090000,8,DS_interstep,-1,,,,,,,1.195587e-08,-6.998551e-08,1.600738e-07,-0.000000,0.000000,0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,3.035504e-06,-1.797782e-05,4.105809e-05,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
0.100000,9,DS_interstep,-1,,,,,,,-4.128085e-08,2.449327e-07,-5.589418e-07,0.000000,-0.000000,-0.000000,,,,-0.035461,-0.615401,-0.350000,-0.035461,-0.615401,-0.350000,-1.064734e-05,6.298426e-05,-1.438053e-04,0.176592,-0.815596,-0.343580,0.000000,0.000000,0.000000,5.156996,0.000000,0,
