t,phase,step_idx,mask_ss,theta_s_deg,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,torso_ref_mode,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.010000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,0.000000000,0.000000000,0.000000000,nan,0.000000000,,2,2,-1,0
0.020000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.030000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.040000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.050000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.060000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000003,,2,2,-1,0
0.070000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,-0.000000000,0.000000000,nan,0.000000010,,2,2,-1,0
0.080000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000001,0.000000000,0.000000000,0.000000000,nan,0.000000034,,2,2,-1,0
0.090000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000002,-0.000000000,-0.000000000,0.000000000,nan,0.000000121,,2,2,-1,0
0.100000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000008,0.000000000,0.000000000,-0.000000000,nan,0.000000420,,2,2,-1,0
0.110000,SS,0,1,0.000128306,0.457021375,-1.444435897,2.471731458,-0.576395296,1.303576019,-1.199686438,planner_track,0.007126267,0.000028140,0.000011065,0.000010049,0.799631969,0.003328359,b,2,2,3,1
0.210000,SS,0,1,0.000733283,0.614410686,-1.398958565,2.717648700,-0.780194563,1.920804752,-2.252098393,planner_track,0.009907618,0.000036398,0.000002466,0.000060657,0.797351594,0.005948791,b,2,2,3,1
0.310000,SS,0,1,0.002043943,0.704137997,-1.211047884,3.396476605,-0.999385750,2.448071944,-3.074019637,planner_track,0.010069386,-0.000078661,-0.000068969,0.000145339,0.791649482,0.009484613,b,2,2,3,1
0.410000,SS,0,1,0.004238094,0.727476458,-0.978167395,3.986449061,-1.170065198,2.839029540,-3.719017236,planner_track,0.009267895,-0.000376925,-0.000219005,0.000256108,0.781380871,0.016576604,b,2,2,3,1
0.510000,SS,0,1,0.007444121,0.678559041,-0.716068076,4.579432143,-1.255723835,3.074002181,-4.223297535,planner_track,0.008186273,-0.000884100,-0.000444843,0.000381811,0.765765145,0.027941349,b,2,2,3,1
0.610000,SS,0,1,0.011734191,0.562193390,-0.439928912,4.999941551,-1.272521999,3.171414453,-4.553372222,planner_track,0.007731128,-0.001600022,-0.000729282,0.000508595,0.744362517,0.042258287,b,2,2,3,1
0.710000,SS,0,1,0.017128003,0.386584578,-0.146844971,4.999990446,-1.227654775,3.139892403,-4.700897680,planner_track,0.008186277,-0.002505894,-0.001045885,0.000621701,0.717044731,0.057830556,b,2,2,3,1
