| metric | baseline | TMOM-only | M-dom 30k:0.5k | bal 5k:5k | TP-dom 0.5k:30k |
|---|---|---|---|---|---|
| docked | True | True | False | True | True |
| d_final_mm | 1.85 | 2.79 | 6.99 | 4.95 | 4.97 |
| arrival_mm | 127.07 | 99.58 | 5.51 | 14.27 | 4.16 |
| mom_com_track_mm | 130.78 | 126.58 | 108.29 | 92.02 | 83.27 |
| torso_pos_track_mm | 10.33 | 10.44 | 85.42 | 22.15 | 5.24 |
| torso_ori_track_deg | 0.98 | 0.76 | 0.73 | 0.05 | 0.03 |
| ee_dock_min_mm | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| hw_inf | 0.83 | 1.41 | 1.79 | 2.22 | 2.25 |
| tau_w_sat_100hz_pct | 0.00 | 0.00 | 0.00 | 1.32 | 23.79 |
| Hdot_real_pk | 1.97 | 2.28 | 2.21 | 0.96 | 0.59 |
| Hdot_plan_pk | 1.96 | 2.26 | 2.18 | 0.96 | 0.59 |
| envelope_binding_pct | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |
| tau_peak_Nm | 3.26 | 3.18 | 4.86 | 8.19 | 9.71 |
| qp_p50 | 82.42 | 78.79 | 76.56 | 77.39 | 84.58 |
| qp_p99 | 89.64 | 91.59 | 89.18 | 82.19 | 104.51 |

VERDICT: WALL (arrival pinned; check residual transfer)
