t_s,phase,step_index,num_rot_Nm,num_origin_Nm,denominator_Nm,rho_rot,rho_origin,valid
0.010000,DS_interstep,-1,1.093643e-23,9.519166e-25,0.000000e+00,nan,nan,0
0.020000,DS_interstep,-1,1.832228e-23,1.140323e-24,0.000000e+00,nan,nan,0
0.030000,DS_interstep,-1,2.499863e-23,2.331797e-24,0.000000e+00,nan,nan,0
0.040000,DS_interstep,-1,3.287102e-23,4.788190e-24,0.000000e+00,nan,nan,0
0.050000,DS_interstep,-1,4.102114e-23,1.002707e-23,0.000000e+00,nan,nan,0
0.060000,DS_interstep,-1,4.693633e-23,7.951612e-24,0.000000e+00,nan,nan,0
0.070000,DS_interstep,-1,4.886641e-23,7.387139e-24,0.000000e+00,nan,nan,0
0.080000,DS_interstep,-1,4.605979e-23,7.905771e-24,0.000000e+00,nan,nan,0
0.090000,DS_interstep,-1,3.879978e-23,9.614369e-24,0.000000e+00,nan,nan,0
0.100000,DS_interstep,-1,2.830675e-23,3.521936e-14,0.000000e+00,nan,nan,0
0.110000,SS,0,2.008743e-06,5.202152e-08,1.006924e+00,1.994930e-06,5.166381e-08,1
0.210000,SS,0,9.108678e-06,2.471016e-07,1.230580e+00,7.401939e-06,2.008009e-07,1
0.310000,SS,0,2.093274e-05,6.494726e-07,1.333311e+00,1.569982e-05,4.871126e-07,1
0.410000,SS,0,3.871879e-05,2.637436e-07,1.376864e+00,2.812099e-05,1.915538e-07,1
0.510000,SS,0,6.229973e-05,8.803413e-07,1.359321e+00,4.583150e-05,6.476329e-07,1
0.610000,SS,0,9.194183e-05,3.355945e-06,1.300681e+00,7.068746e-05,2.580144e-06,1
0.710000,SS,0,1.272876e-04,7.073487e-06,1.219125e+00,1.044090e-04,5.802101e-06,1
0.810000,SS,0,1.679455e-04,1.207059e-05,1.136057e+00,1.478320e-04,1.062499e-05,1
0.910000,SS,0,2.128058e-04,1.791358e-05,1.058547e+00,2.010358e-04,1.692280e-05,1
1.010000,SS,0,2.604038e-04,2.414091e-05,9.908948e-01,2.627966e-04,2.436274e-05,1
1.110000,SS,0,3.086765e-04,3.003869e-05,9.317930e-01,3.312715e-04,3.223751e-05,1
1.210000,SS,0,3.554781e-04,3.491280e-05,8.982164e-01,3.957600e-04,3.886903e-05,1
1.310000,SS,0,3.986505e-04,3.797057e-05,9.193347e-01,4.336294e-04,4.130222e-05,1
1.410000,SS,0,4.361222e-04,3.847491e-05,1.018277e+00,4.282944e-04,3.778434e-05,1
1.510000,SS,0,4.660246e-04,3.573346e-05,1.189674e+00,3.917245e-04,3.003634e-05,1
1.610000,SS,0,4.867136e-04,2.977836e-05,1.400506e+00,3.475271e-04,2.126258e-05,1
1.710000,SS,0,4.966526e-04,2.182094e-05,1.620722e+00,3.064391e-04,1.346372e-05,1
1.810000,SS,0,4.951918e-04,2.000408e-05,1.816277e+00,2.726412e-04,1.101379e-05,1
1.910000,SS,0,4.817607e-04,3.366298e-05,1.976960e+00,2.436876e-04,1.702765e-05,1
2.010000,SS,0,4.574071e-04,5.619582e-05,2.077924e+00,2.201269e-04,2.704421e-05,1
2.110000,SS,0,4.225159e-04,8.318051e-05,2.130813e+00,1.982886e-04,3.903698e-05,1
2.210000,SS,0,3.773776e-04,1.132316e-04,2.136280e+00,1.766517e-04,5.300409e-05,1
2.310000,SS,0,3.237902e-04,1.448873e-04,2.093746e+00,1.546463e-04,6.920003e-05,1
2.410000,SS,0,2.651198e-04,1.773960e-04,2.002801e+00,1.323745e-04,8.857395e-05,1
2.510000,SS,0,2.064715e-04,2.093983e-04,1.827018e+00,1.130101e-04,1.146121e-04,1
2.610000,SS,0,1.520236e-04,2.346909e-04,1.434464e+00,1.059793e-04,1.636088e-04,1
2.710000,SS,0,1.059902e-04,2.552141e-04,1.052877e+00,1.006672e-04,2.423969e-04,1
2.810000,SS,0,7.666363e-05,2.686427e-04,7.005957e-01,1.094263e-04,3.834489e-04,1
2.910000,SS,0,7.141369e-05,1.398070e-04,4.765839e-01,1.498450e-04,2.933523e-04,1
3.020000,DS_interstep,0,1.730423e-04,4.419071e-05,4.180876e+00,4.138900e-05,1.056972e-05,1
3.030000,DS_interstep,0,3.514605e-04,2.712026e-04,4.330127e+00,8.116632e-05,6.263156e-05,1
3.040000,DS_interstep,0,4.144867e-04,2.737935e-04,3.614751e+00,1.146653e-04,7.574338e-05,1
3.050000,DS_interstep,0,4.010953e-04,2.784563e-04,3.978650e+00,1.008119e-04,6.998764e-05,1
3.060000,DS_interstep,0,3.678824e-04,2.757261e-04,4.277108e+00,8.601195e-05,6.446554e-05,1
3.070000,DS_interstep,0,3.397381e-04,2.713942e-04,3.108404e+00,1.092966e-04,8.730983e-05,1
3.080000,DS_interstep,0,3.150550e-04,2.643037e-04,3.042996e+00,1.035345e-04,8.685642e-05,1
3.090000,DS_interstep,0,2.932319e-04,2.552825e-04,3.203543e+00,9.153362e-05,7.968754e-05,1
3.100000,DS_interstep,0,2.739412e-04,2.446388e-04,3.496954e+00,7.833708e-05,6.995769e-05,1
3.110000,DS_interstep,0,2.574081e-04,2.337824e-04,3.902185e+00,6.596513e-05,5.991065e-05,1
3.120000,DS_interstep,0,2.484672e-04,2.210558e-04,3.774988e+00,6.581934e-05,5.855802e-05,1
3.130000,DS_interstep,0,2.410013e-04,2.071337e-04,3.834880e+00,6.284455e-05,5.401309e-05,1
3.140000,DS_interstep,0,2.296341e-04,1.951475e-04,3.929603e+00,5.843697e-05,4.966087e-05,1
3.150000,DS_interstep,0,2.186428e-04,1.838968e-04,3.895645e+00,5.612493e-05,4.720573e-05,1
3.160000,DS_interstep,0,2.101017e-04,1.729825e-04,3.687839e+00,5.697149e-05,4.690620e-05,1
3.170000,DS_interstep,0,2.018202e-04,1.631901e-04,3.534402e+00,5.710165e-05,4.617192e-05,1
3.180000,DS_interstep,0,1.929923e-04,1.545451e-04,3.404614e+00,5.668552e-05,4.539285e-05,1
3.190000,DS_interstep,0,1.833474e-04,1.470406e-04,3.290376e+00,5.572232e-05,4.468808e-05,1
3.200000,DS_interstep,0,1.728775e-04,1.406293e-04,3.190217e+00,5.418988e-05,4.408141e-05,1
3.210000,DS_interstep,0,1.616951e-04,1.352372e-04,3.104146e+00,5.209004e-05,4.356662e-05,1
3.220000,DS_interstep,0,1.500366e-04,1.307632e-04,3.031264e+00,4.949639e-05,4.313817e-05,1
3.230000,DS_interstep,0,1.383555e-04,1.270630e-04,2.968744e+00,4.660406e-05,4.280025e-05,1
3.240000,DS_interstep,0,1.270285e-04,1.239877e-04,2.915725e+00,4.356670e-05,4.252378e-05,1
3.250000,DS_interstep,0,1.162197e-04,1.213988e-04,2.872123e+00,4.046473e-05,4.226796e-05,1
3.260000,DS_interstep,0,1.059514e-04,1.191877e-04,2.837613e+00,3.733823e-05,4.200279e-05,1
3.270000,DS_interstep,0,9.627941e-05,1.172243e-04,2.811317e+00,3.424708e-05,4.169728e-05,1
3.280000,DS_interstep,0,8.726451e-05,1.153877e-04,2.791463e+00,3.126120e-05,4.133592e-05,1
3.290000,DS_interstep,0,7.896108e-05,1.136098e-04,2.776034e+00,2.844384e-05,4.092523e-05,1
3.300000,DS_interstep,0,7.148347e-05,1.118221e-04,2.763645e+00,2.586565e-05,4.046180e-05,1
3.310000,DS_interstep,0,6.496978e-05,1.099645e-04,2.753457e+00,2.359571e-05,3.993690e-05,1
3.320000,DS_interstep,0,5.952230e-05,1.079923e-04,2.745129e+00,2.168288e-05,3.933962e-05,1
3.330000,DS_interstep,0,5.518607e-05,1.058763e-04,2.738688e+00,2.015055e-05,3.865950e-05,1
3.340000,DS_interstep,0,5.195755e-05,1.036046e-04,2.734250e+00,1.900249e-05,3.789142e-05,1
3.350000,DS_interstep,0,4.980668e-05,1.011803e-04,2.731782e+00,1.823230e-05,3.703820e-05,1
3.360000,DS_interstep,0,4.868994e-05,9.861656e-05,2.731097e+00,1.782798e-05,3.610877e-05,1
3.370000,DS_interstep,0,4.855800e-05,9.593186e-05,2.731976e+00,1.777395e-05,3.511446e-05,1
3.380000,DS_interstep,0,4.935604e-05,9.314675e-05,2.734255e+00,1.805100e-05,3.406659e-05,1
3.390000,DS_interstep,0,5.102143e-05,9.028252e-05,2.737833e+00,1.863570e-05,3.297590e-05,1
3.400000,DS_interstep,0,5.347787e-05,8.735983e-05,2.742620e+00,1.949882e-05,3.185269e-05,1
3.410000,DS_interstep,0,5.663087e-05,8.439925e-05,2.748482e+00,2.060442e-05,3.070759e-05,1
3.420000,DS_interstep,0,6.036470e-05,8.142187e-05,2.755192e+00,2.190944e-05,2.955216e-05,1
3.430000,DS_interstep,0,6.454337e-05,7.844868e-05,2.762411e+00,2.336487e-05,2.839863e-05,1
3.440000,DS_interstep,0,6.901719e-05,7.549977e-05,2.769700e+00,2.491865e-05,2.725918e-05,1
3.450000,DS_interstep,0,7.363369e-05,7.259384e-05,2.776566e+00,2.651970e-05,2.614519e-05,1
3.460000,DS_interstep,0,7.824870e-05,6.974724e-05,2.782524e+00,2.812148e-05,2.506617e-05,1
3.470000,DS_interstep,0,8.273592e-05,6.697320e-05,2.787173e+00,2.968453e-05,2.402908e-05,1
3.480000,DS_interstep,0,8.699266e-05,6.428163e-05,2.790237e+00,3.117752e-05,2.303806e-05,1
3.490000,DS_interstep,0,9.094285e-05,6.167937e-05,2.791601e+00,3.257731e-05,2.209462e-05,1
3.500000,DS_interstep,0,9.453588e-05,5.916994e-05,2.791301e+00,3.386803e-05,2.119798e-05,1
3.510000,DS_interstep,0,9.774407e-05,5.675365e-05,2.789497e+00,3.504004e-05,2.034548e-05,1
3.520000,DS_interstep,0,1.005584e-04,5.442962e-05,2.786437e+00,3.608853e-05,1.953377e-05,1
3.530000,DS_interstep,0,1.029850e-04,5.219439e-05,2.782416e+00,3.701279e-05,1.875865e-05,1
3.540000,DS_interstep,0,1.050399e-04,5.004345e-05,2.777743e+00,3.781482e-05,1.801587e-05,1
3.550000,DS_interstep,0,1.067466e-04,4.797189e-05,2.772708e+00,3.849906e-05,1.730146e-05,1
3.560000,DS_interstep,0,1.081318e-04,4.597399e-05,2.767562e+00,3.907115e-05,1.661173e-05,1
3.570000,DS_interstep,0,1.092238e-04,4.404431e-05,2.762513e+00,3.953784e-05,1.594357e-05,1
3.580000,DS_interstep,0,1.100499e-04,4.217755e-05,2.757715e+00,3.990619e-05,1.529438e-05,1
3.590000,DS_interstep,0,1.106358e-04,4.036894e-05,2.753272e+00,4.018339e-05,1.466217e-05,1
3.600000,DS_interstep,0,1.110044e-04,3.861416e-05,2.749242e+00,4.037635e-05,1.404538e-05,1
3.610000,DS_interstep,0,1.111756e-04,3.690959e-05,2.745648e+00,4.049157e-05,1.344294e-05,1
3.620000,DS_interstep,0,1.111662e-04,3.525224e-05,2.742481e+00,4.053491e-05,1.285414e-05,1
3.630000,DS_interstep,0,1.109899e-04,3.363985e-05,2.739712e+00,4.051151e-05,1.227861e-05,1
3.640000,DS_interstep,0,1.106577e-04,3.207068e-05,2.737299e+00,4.042588e-05,1.171618e-05,1
3.650000,DS_interstep,0,1.101782e-04,3.054349e-05,2.735190e+00,4.028173e-05,1.116686e-05,1
3.660000,DS_interstep,0,1.095580e-04,2.905752e-05,2.733333e+00,4.008220e-05,1.063080e-05,1
3.670000,DS_interstep,0,1.088019e-04,2.761230e-05,2.731677e+00,3.982969e-05,1.010819e-05,1
3.680000,DS_interstep,0,1.079131e-04,2.620774e-05,2.730172e+00,3.952613e-05,9.599302e-06,1
3.690000,DS_interstep,0,1.068945e-04,2.484390e-05,2.728775e+00,3.917307e-05,9.104416e-06,1
3.700000,DS_interstep,0,1.057480e-04,2.352091e-05,2.727451e+00,3.877173e-05,8.623773e-06,1
